country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Australia,1975,ANSTO / Atomic Energy Commission,science_agency,,,,,,,,gap: no matching rows in this year
Australia,1976,ANSTO / Atomic Energy Commission,science_agency,18310.0,thousand,AUD,section_total,For expenditure under the Atomic Energy Act— Running expenses,1976 No1 C2004A01425.docx,46,AAEC renamed ANSTO in 1987.
Australia,1977,ANSTO / Atomic Energy Commission,science_agency,19668.0,thousand,AUD,line_item,For expenditure under the Atomic Energy Act—Running expenses,1977 No1 C2004A01546.docx,51,AAEC renamed ANSTO in 1987.
Australia,1978,ANSTO / Atomic Energy Commission,science_agency,,,,,,,,gap: no matching rows in this year
Australia,1979,ANSTO / Atomic Energy Commission,science_agency,22534.0,thousand,AUD,section_total,Total,1979 No1 C2004A01940.docx,48,AAEC renamed ANSTO in 1987.
Australia,1980,ANSTO / Atomic Energy Commission,science_agency,,,,,,,,gap: no matching rows in this year
Australia,1981,ANSTO / Atomic Energy Commission,science_agency,883.0,thousand,AUD,section_total,For expenditure under the Atomic Energy Act 1953— Running expenses,1981 No3 C2004A02433.docx,22,AAEC renamed ANSTO in 1987.
Australia,1982,ANSTO / Atomic Energy Commission,science_agency,,,,,,,,gap: no matching rows in this year
Australia,1983,ANSTO / Atomic Energy Commission,science_agency,31742.0,thousand,AUD,section_total,Total: Division 436,1983 No5 C2004A02725.docx,24,AAEC renamed ANSTO in 1987.
Australia,1984,ANSTO / Atomic Energy Commission,science_agency,1415.0,thousand,AUD,line_item,For expenditure under the Atomic Energy Act 1953—Running expenses,1984 No3 C2004A02896.docx,35,AAEC renamed ANSTO in 1987.
Australia,1985,ANSTO / Atomic Energy Commission,science_agency,,,,,,,,gap: no matching rows in this year
Australia,1986,ANSTO / Atomic Energy Commission,science_agency,,,,,,,,gap: no matching rows in this year
Australia,1987,ANSTO / Atomic Energy Commission,science_agency,,,,,,,,gap: no matching rows in this year
Australia,1988,ANSTO / Atomic Energy Commission,science_agency,,,,,,,,gap: no matching rows in this year
Australia,1989,ANSTO / Atomic Energy Commission,science_agency,40155.8,thousand,AUD,line_item,For expenditure under the Australian Nuclear Science and Technology Organisation Act 1987—Recurrent expenditure,1989 No1 C2004A03695.docx,30,AAEC renamed ANSTO in 1987.
Australia,1990,ANSTO / Atomic Energy Commission,science_agency,45770.7,thousand,AUD,section_total,Total: Division 383,1990 No3 C2004A03960.docx,12,AAEC renamed ANSTO in 1987.
Australia,1991,ANSTO / Atomic Energy Commission,science_agency,44026.5,thousand,AUD,section_total,For expenditure under the Australian Nuclear Science and Technology Organisation Act 1987 — Operating expenses,1991 No1 C2004A04029.docx,33,AAEC renamed ANSTO in 1987.
Australia,1992,ANSTO / Atomic Energy Commission,science_agency,48300.0,thousand,AUD,section_total,Total: Division 383,1992 No1 C2004A04239.docx,32,AAEC renamed ANSTO in 1987.
Australia,1993,ANSTO / Atomic Energy Commission,science_agency,,,,,,,,gap: no matching rows in this year
Australia,1994,ANSTO / Atomic Energy Commission,science_agency,46628.0,thousand,AUD,program_total,For expenditure under the Australian Nuclear Science and Technology Organisation Act 1987,1994 No1 C2004A04627.docx,33,AAEC renamed ANSTO in 1987.
Australia,1995,ANSTO / Atomic Energy Commission,science_agency,46628.0,thousand,AUD,line_item,For expenditure under the Australian Nuclear Science and Technology Organisation Act 1987,1995 No3 C1995A00027.docx,22,AAEC renamed ANSTO in 1987.
Australia,1996,ANSTO / Atomic Energy Commission,science_agency,,,,,,,,gap: no matching rows in this year
Australia,1997,ANSTO / Atomic Energy Commission,science_agency,47431.0,thousand,AUD,section_total,For expenditure under the Australian Nuclear Science and Technology Organisation Act 1987,1997 No1 C1996A00065.docx,40,AAEC renamed ANSTO in 1987.
