canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
ANSTO / Atomic Energy Commission,science_agency,1975,1975 No1 C2004A00152.docx,1.—For expenditure under the Atomic Energy Act—Running expenses,14345.997,Division 359.—AUSTRALIAN ATOMIC ENERGY COMMISSION,73.0,11.0,True
ANSTO / Atomic Energy Commission,science_agency,1975,1975 No2 C2004A00153.docx,3.—For expenditure under the Atomic Energy Act,1280.887,1.—Plant and Equipment—,15.0,27.0,True
ANSTO / Atomic Energy Commission,science_agency,1975,1975 No6 C2004A00254.docx,6.—For expenditure under the Atomic Energy Act— Advances for uranium exploration and development,947.0,1.—Plant and Equipment—,8.0,9.0,True
ANSTO / Atomic Energy Commission,science_agency,1976,1976 No1 C2004A01425.docx,AUSTRALIAN ATOMIC ENERGY COMMISSION,16997.725,2.—Administrative Expenses—,69.0,11.0,True
ANSTO / Atomic Energy Commission,science_agency,1976,1976 No1 C2004A01425.docx,1.—For expenditure under the Atomic Energy Act— Running expenses,16997.725,Division 436.—AUSTRALIAN ATOMIC ENERGY COMMISSION,72.0,11.0,True
ANSTO / Atomic Energy Commission,science_agency,1976,1976 No2 C2004A01426.docx,3.—For expenditure under the Atomic Energy Act,1192.571,1.—Plant and Equipment—,15.0,24.0,True
ANSTO / Atomic Energy Commission,science_agency,1976,1976 No2 C2004A01426.docx,6.—Australian Atomic Energy Commission—Uranium exploration and development,932.808,Division 883.—CAPITAL WORKS AND SERVICES—continued,16.0,4.0,True
ANSTO / Atomic Energy Commission,science_agency,1977,1977 No1 C2004A01546.docx,AUSTRALIAN ATOMIC ENERGY COMMISSION,18367.278,Division 385.—RESERVE STOCKS,86.0,11.0,True
ANSTO / Atomic Energy Commission,science_agency,1977,1977 No1 C2004A01546.docx,1.—For expenditure under the Atomic Energy Act—Running expenses,18367.278,Division 436.—AUSTRALIAN ATOMIC ENERGY COMMISSION,89.0,12.0,True
ANSTO / Atomic Energy Commission,science_agency,1977,1977 No2 C2004A01547.docx,6.—Australian Atomic Energy Commission—Uranium exploration and development,10674.466,1.—Plant and Equipment—,16.0,20.0,True
ANSTO / Atomic Energy Commission,science_agency,1977,1977 No2 C2004A01547.docx,3.—For expenditure under the Atomic Energy Act,1579.0,1.—Plant and Equipment—,16.0,17.0,True
ANSTO / Atomic Energy Commission,science_agency,1978,1978 No1 C2004A01777.docx,1.—For expenditure under the Atomic Energy Act—Running expenses,19536.971,Division 436.—AUSTRALIAN ATOMIC ENERGY COMMISSION,84.0,10.0,True
ANSTO / Atomic Energy Commission,science_agency,1978,1978 No2 C2004A01778.docx,3.—Australian Atomic Energy Commission—For expenditure under the Atomic Energy Act,1297.0,1.—Plant and Equipment—,15.0,12.0,True
ANSTO / Atomic Energy Commission,science_agency,1978,1978 No3 C2004A01841.docx,1.—For expenditure under the Atomic Energy Act— Running expenses,19536.971,Division 436.—AUSTRALIAN ATOMIC ENERGY COMMISSION,38.0,4.0,True
ANSTO / Atomic Energy Commission,science_agency,1979,1979 No1 C2004A01940.docx,1.—For expenditure under the Atomic Energy Act—Running expenses,21523.036,Division 436.—AUSTRALIAN ATOMIC ENERGY COMMISSION,89.0,8.0,True
ANSTO / Atomic Energy Commission,science_agency,1979,1979 No2 C2004A01941.docx,01. Ranger Uranium Project—Payment to Australian Atomic Energy Commission or otherwise,20000.0,Division 953.—OTHER SERVICES,23.0,4.0,True
ANSTO / Atomic Energy Commission,science_agency,1979,1979 No2 C2004A01941.docx,3.—Australian Atomic Energy Commission—For expenditure under the Atomic Energy Act,1130.0,1.—Plant and Equipment—,16.0,18.0,True
ANSTO / Atomic Energy Commission,science_agency,1979,1979 No2 C2004A01941.docx,Australian Atomic Energy Commission—Uranium exploration and development,89.832,1.—Plant and Equipment—,16.0,23.0,True
ANSTO / Atomic Energy Commission,science_agency,1980,1980 No3 C2004A02262.docx,1.—For expenditure under the Atomic Energy Act—Running expenses,22900.0,Division 436.—AUSTRALIAN ATOMIC ENERGY COMMISSION,38.0,10.0,True
ANSTO / Atomic Energy Commission,science_agency,1981,1981 No1 C2004A02342.docx,1.—For expenditure under the Atomic Energy Act 1953— Running expenses,24768.0,Division 436.—AUSTRALIAN ATOMIC ENERGY COMMISSION,83.0,6.0,True
ANSTO / Atomic Energy Commission,science_agency,1981,1981 No1 C2004A02342.docx,07. Ranger Uranium Project—Payment to Australian Atomic Energy Commission or otherwise,33.02,3.—Other Services—,111.0,22.0,True
ANSTO / Atomic Energy Commission,science_agency,1981,1981 No2 C2004A02343.docx,2.—Australian Atomic Energy Commission—For expenditure under the Atomic Energy Act 1953,1428.0,1.—Plant and Equipment—,17.0,18.0,True
ANSTO / Atomic Energy Commission,science_agency,1982,1982 No1 C2004A02541.docx,1.—For Expenditure under the Atomic Energy Act 1953—Running expenses,27874.0,Division 436.—AUSTRALIAN ATOMIC ENERGY COMMISSION,89.0,28.0,True
ANSTO / Atomic Energy Commission,science_agency,1982,1982 No1 C2004A02541.docx,Australian Atomic Energy Commission,27874.0,Administrative Expenses—,86.0,11.0,True
ANSTO / Atomic Energy Commission,science_agency,1982,1982 No2 C2004A02542.docx,2.—Australian Atomic Energy Commission—For expenditure under the Atomic Energy Act 1953,1600.44,1.—Plant and Equipment—continued,19.0,8.0,True
ANSTO / Atomic Energy Commission,science_agency,1983,1983 No1 C2004A02675.docx,1.—For expenditure under the Atomic Energy Act. 1953— Running expenses,35258.5,Division 436.—AUSTRALIAN ATOMIC ENERGY COMMISSION,87.0,16.0,True
