country,year,source_file,page_number,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,amount_prior,unit,currency,rd_category,decision,confidence,llm_model,extraction_pass,notes
Australia,2025,2025 No1 C2024A00047.docx,3,section_total,,Abstract,Abstract,,Total: Bill 1,Total: Bill 1,162591075.0,,thousand,AUD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 3, row 50"
Australia,2025,2025 No1 C2024A00047.docx,1,section_total,,Abstract,Abstract,,Total,Total,162591075.0,,thousand,AUD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 20"
Australia,2024,2024 No1 C2023A00031.docx,3,section_total,,Abstract,Abstract,,Total: Bill 1,Total: Bill 1,146174564.0,,thousand,AUD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 3, row 50"
Australia,2024,2024 No1 C2023A00031.docx,1,section_total,,Abstract,Abstract,,Total,Total,146174564.0,,thousand,AUD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 20"
Australia,2022,2022 No1 C2021A00067.docx,1,section_total,,Abstract,Abstract,,Total,Total,122017626.0,,thousand,AUD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 18"
Australia,2022,2022 No1 C2021A00067.docx,3,section_total,,Abstract,Abstract,,Total: Bill 1,Total: Bill 1,122017626.0,,thousand,AUD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 3, row 44"
Australia,2018,2018 No1 C2017A00060.docx,1,section_total,,Abstract Abstract Abstract Abstract Abstract,Abstract Abstract Abstract Abstract Abstract,,Total,Total,88751598.0,,thousand,AUD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 21"
Australia,2018,2018 No1 C2017A00060.docx,1,section_total,,Abstract Abstract Abstract Abstract Abstract,Abstract Abstract Abstract Abstract Abstract,,Total: Bill 1,Total: Bill 1,88751598.0,,thousand,AUD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 87"
Australia,2018,2018 No1 C2017A00060.docx,1,line_item,,Abstract Abstract Abstract Abstract Abstract,"52,944,545",,"52,944,545","52,944,545",85928345.0,,thousand,AUD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 88"
Australia,2026,2026 No1 C2025A00047.docx,1,section_total,,Arts,Arts,,Total,Total,83444802.0,,thousand,AUD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 1, row 21"
Australia,2026,2026 No1 C2025A00047.docx,3,section_total,,Arts,Arts,,Total: Bill 1,Total: Bill 1,83444802.0,,thousand,AUD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 3, row 50"
