country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Australia,ANSTO / Atomic Energy Commission,1975,46422.888,44195.001,3,1975 No1 C2004A00152.docx | 1975 No2 C2004A00153.docx | 1975 No6 C2004A00254.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1976,20703.296,16997.725,3,1976 No1 C2004A01425.docx | 1976 No2 C2004A01426.docx | 1976 No3 C2004A01469.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1977,56222.342,45547.876,2,1977 No1 C2004A01546.docx | 1977 No2 C2004A01547.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1978,70849.364,50015.393,3,1978 No1 C2004A01777.docx | 1978 No2 C2004A01778.docx | 1978 No3 C2004A01841.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1979,69461.157,49461.157,2,1979 No1 C2004A01940.docx | 1979 No2 C2004A01941.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1980,6875.0,6875.0,1,1980 No3 C2004A02262.docx,single,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1981,67605.265,66177.265,2,1981 No1 C2004A02342.docx | 1981 No2 C2004A02343.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1982,83257.282,81656.842,2,1982 No1 C2004A02541.docx | 1982 No2 C2004A02542.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1983,132123.464,94300.714,3,1983 No1 C2004A02675.docx | 1983 No2 C2004A02676.docx | 1983 No5 C2004A02725.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1984,36377.0,33348.0,2,1984 No1 C2004A02815.docx | 1984 No2 C2004A02804.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1985,35151.0,35151.0,3,1985 No1 C2004A03034.docx | 1985 No2 C2004A03035.docx | 1985 No3 C2004A03075.docx,restatement,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1986,41909.0,37527.0,2,1986 No1 C2004A03177.docx | 1986 No2 C2004A03178.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1987,45402.0,40330.0,2,1987 No1 C2004A03358.docx | 1987 No2 C2004A03359.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1988,45156.0,41301.0,2,1988 No1 C2004A03521.docx | 1988 No2 C2004A03522.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1989,42592.7,42592.7,3,1989 No1 C2004A03695.docx | 1989 No2 C2004A03696.docx | 1989 No3 C2004A03791.docx,restatement,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1990,44510.7,44510.7,3,1990 No1 C2004A03903.docx | 1990 No2 C2004A03904.docx | 1990 No3 C2004A03960.docx,restatement,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1991,46414.9,46414.9,3,1991 No1 C2004A04029.docx | 1991 No2 C2004A04030.docx | 1991 No5 C2004A04140.docx,restatement,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1992,62577.1,43665.7,2,1992 No1 C2004A04239.docx | 1992 No2 C2004A04240.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1993,64262.0,47663.0,2,1993 No1 C2004A04432.docx | 1993 No2 C2004A04433.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1994,68190.0,53627.0,2,1994 No1 C2004A04627.docx | 1994 No2 C2004A04628.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1995,64217.0,46628.0,2,1995 No1 C1994A00088.docx | 1995 No2 C1994A00089.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1996,115996.0,50339.0,3,1996 No1 C1995A00060.docx | 1996 No2 C1995A00061.docx | 1996 No3 C1995A00157.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1997,113033.0,49777.0,3,1997 No1 C1996A00065.docx | 1997 No2 C1996A00066.docx | 1997 No3 C1997A00035.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1998,117601.0,47431.0,3,1998 No1 C1997A00089.docx | 1998 No2 C1997A00090.docx | 1998 No3 C1998A00005.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,1999,76731.0,60284.0,2,1999 No1 C1998A00070.docx | 1999 No2 C1998A00071.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,2000,,,0,,gap,,,science_agency
Australia,ANSTO / Atomic Energy Commission,2001,,,0,,gap,,,science_agency
Australia,ANSTO / Atomic Energy Commission,2002,21740.0,21740.0,1,2002 No3-2 C2004A00939VOL02.docx,single,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,2003,182025.0,182025.0,1,2003 No1 C2008C00466.docx,single,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,2004,120621.0,120621.0,1,2004 No1 C2008C00465.docx,single,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,2005,110522.0,110522.0,1,2005 No1 C2009C00499.docx,single,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,2006,117568.0,117568.0,1,2006 No1 C2012C00814.docx,single,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,2007,141578.0,129653.0,2,2007 No1 C2012C00879.docx | 2007 No3 C2013C00330.DOCX,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,2008,151668.0,151668.0,1,2008 No1 C2012C00882.docx,single,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,2009,205515.0,173115.0,2,2009 No1 C2013C00309.DOCX | 2009 No2 C2010C00629.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,2010,155240.0,155240.0,1,2010 No1 C2012C00874.docx,single,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,2011,324906.0,165579.0,3,2011 No1 C2012C00506.docx | 2011 No2 C2013C00511.DOCX | 2011 No3 C2012C00658.docx,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,2012,169679.0,165579.0,2,2012 No1 C2013C00531.DOCX | 2012 No2 C2013C00443.DOCX,additive,AUD,thousand,science_agency
Australia,ANSTO / Atomic Energy Commission,2013,162722.0,159222.0,2,2013 No1 C2014C00172.DOCX | 2013 No2 C2013C00435.DOCX,additive,AUD,thousand,science_agency
