country,year,canonical_name,category,gap_type,gap_subtype,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,series_currency,prev_amount,next_amount
Australia,1975,CSIRO,science_agency,ok,,,,,,none,885933.0,AUD,,89501604.0
Australia,1976,CSIRO,science_agency,ok,,,,,,none,89501604.0,AUD,885933.0,101670000.0
Australia,1977,CSIRO,science_agency,ok,,,,,,none,101670000.0,AUD,89501604.0,1979249.0
Australia,1978,CSIRO,science_agency,ok,,,,,,none,1979249.0,AUD,101670000.0,2635181.0
Australia,1979,CSIRO,science_agency,ok,,,,,,none,2635181.0,AUD,1979249.0,142929000.0
Australia,1980,CSIRO,science_agency,ok,,,,,,none,142929000.0,AUD,2635181.0,4220889.0
Australia,1981,CSIRO,science_agency,ok,,,,,,none,4220889.0,AUD,142929000.0,174594000.0
Australia,1982,CSIRO,science_agency,ok,,,,,,none,174594000.0,AUD,4220889.0,223067000.0
Australia,1983,CSIRO,science_agency,ok,,,,,,none,223067000.0,AUD,174594000.0,263206998.00000003
Australia,1984,CSIRO,science_agency,ok,,,,,,none,263206998.00000003,AUD,223067000.0,208000.0
Australia,1985,CSIRO,science_agency,ok,,,,,,none,208000.0,AUD,263206998.00000003,291684000.0
Australia,1986,CSIRO,science_agency,ok,,,,,,none,291684000.0,AUD,208000.0,312405300.0
Australia,1987,CSIRO,science_agency,ok,,,,,,none,312405300.0,AUD,291684000.0,329630100.0
Australia,1988,CSIRO,science_agency,ok,,,,,,none,329630100.0,AUD,312405300.0,317856500.0
Australia,1989,CSIRO,science_agency,ok,,,,,,none,317856500.0,AUD,329630100.0,5241000.0
Australia,1990,CSIRO,science_agency,ok,,,,,,none,5241000.0,AUD,317856500.0,363007500.0
Australia,1991,CSIRO,science_agency,ok,,,,,,none,363007500.0,AUD,5241000.0,398903400.0
Australia,1992,CSIRO,science_agency,ok,,,,,,none,398903400.0,AUD,363007500.0,417669000.0
Australia,1993,CSIRO,science_agency,ok,,,,,,none,417669000.0,AUD,398903400.0,414992000.0
Australia,1994,CSIRO,science_agency,ok,,,,,,none,414992000.0,AUD,417669000.0,424034000.0
Australia,1995,CSIRO,science_agency,ok,,,,,,none,424034000.0,AUD,414992000.0,423283000.0
Australia,1996,CSIRO,science_agency,ok,,,,,,none,423283000.0,AUD,424034000.0,391997000.0
Australia,1997,CSIRO,science_agency,ok,,,,,,none,391997000.0,AUD,423283000.0,417102000.0
Australia,1998,CSIRO,science_agency,ok,,,,,,none,417102000.0,AUD,391997000.0,6090000.0
Australia,1999,CSIRO,science_agency,ok,,,,,,none,6090000.0,AUD,417102000.0,639629000.0
Australia,2000,CSIRO,science_agency,missing,,Year has 2 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,6090000.0,639629000.0
Australia,2001,CSIRO,science_agency,missing,,Year has 1 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,6090000.0,639629000.0
Australia,2002,CSIRO,science_agency,missing,,Year has 4 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,6090000.0,639629000.0
Australia,2003,CSIRO,science_agency,ok,,,,,,none,639629000.0,AUD,6090000.0,539000.0
Australia,2004,CSIRO,science_agency,ok,,,,,,none,539000.0,AUD,639629000.0,610000.0
Australia,2005,CSIRO,science_agency,ok,,,,,,none,610000.0,AUD,539000.0,593928000.0
Australia,2006,CSIRO,science_agency,ok,,,,,,none,593928000.0,AUD,610000.0,607167000.0
Australia,2007,CSIRO,science_agency,ok,,,,,,none,607167000.0,AUD,593928000.0,664470000.0
Australia,2008,CSIRO,science_agency,ok,,,,,,none,664470000.0,AUD,607167000.0,668120000.0
Australia,2009,CSIRO,science_agency,ok,,,,,,none,668120000.0,AUD,664470000.0,711084000.0
Australia,2010,CSIRO,science_agency,ok,,,,,,none,711084000.0,AUD,668120000.0,720885000.0
Australia,2011,CSIRO,science_agency,ok,,,,,,none,720885000.0,AUD,711084000.0,724939000.0
Australia,2012,CSIRO,science_agency,ok,,,,,,none,724939000.0,AUD,720885000.0,736774000.0
Australia,2013,CSIRO,science_agency,ok,,,,,,none,736774000.0,AUD,724939000.0,757077000.0
Australia,2014,CSIRO,science_agency,ok,,,,,,none,757077000.0,AUD,736774000.0,757077000.0
Australia,2015,CSIRO,science_agency,ok,,,,,,none,757077000.0,AUD,757077000.0,749681000.0
Australia,2016,CSIRO,science_agency,ok,,,,,,none,749681000.0,AUD,757077000.0,750281000.0
Australia,2017,CSIRO,science_agency,ok,,,,,,none,750281000.0,AUD,749681000.0,793549000.0
Australia,2018,CSIRO,science_agency,ok,,,,,,none,793549000.0,AUD,750281000.0,833661000.0
Australia,2019,CSIRO,science_agency,ok,,,,,,none,833661000.0,AUD,793549000.0,488225000.0
Australia,2020,CSIRO,science_agency,ok,,,,,,none,488225000.0,AUD,833661000.0,477300000.0
Australia,2021,CSIRO,science_agency,ok,,,,,,none,477300000.0,AUD,488225000.0,946001000.0
Australia,2022,CSIRO,science_agency,ok,,,,,,none,946001000.0,AUD,477300000.0,31196000.0
Australia,2023,CSIRO,science_agency,ok,,,,,,none,31196000.0,AUD,946001000.0,1008739000.0
Australia,2024,CSIRO,science_agency,ok,,,,,,none,1008739000.0,AUD,31196000.0,916459000.0
Australia,2025,CSIRO,science_agency,ok,,,,,,none,916459000.0,AUD,1008739000.0,587072000.0
Australia,2026,CSIRO,science_agency,ok,,,,,,none,587072000.0,AUD,916459000.0,
Australia,1988,Australian Research Council (ARC),science_agency,ok,,,,,,none,39761446.0,AUD,,5342000.0
Australia,1989,Australian Research Council (ARC),science_agency,missing,,Year has 6 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,39761446.0,5342000.0
Australia,1990,Australian Research Council (ARC),science_agency,missing,,Year has 6 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,39761446.0,5342000.0
Australia,1991,Australian Research Council (ARC),science_agency,missing,,Year has 7 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,39761446.0,5342000.0
Australia,1992,Australian Research Council (ARC),science_agency,missing,,Year has 7 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,39761446.0,5342000.0
Australia,1993,Australian Research Council (ARC),science_agency,missing,,Year has 8 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,39761446.0,5342000.0
Australia,1994,Australian Research Council (ARC),science_agency,missing,,Year has 6 parsed files but agency not found. May be in a non-table section or different document.,no,,,reextract,,,39761446.0,5342000.0
