country,year,canonical_name,gap_type,action,series_amount,prev_amount,next_amount,diagnosis,verdict,correct_amount_local,correct_unit,preferred_source_files,evidence_page,confidence,reason
Australia,2025,Australian Research Council (ARC),outlier,verify,1055621000.0,34537000.0,620763000.0,"Amount 1,055,621,000 outside expected range [-91,882,500 – 122,510,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,105621000.0,dollar,"[""2025 No1 C2024A00047.docx""]",49,0.9,"The total for the Australian Research Council appears to be misreported; the correct total should be 105,621,000 based on the context provided in the document snippets."
Australia,2026,Australian Research Council (ARC),outlier,verify,620763000.0,1055621000.0,,"Amount 620,763,000 outside expected range [-91,882,500 – 122,510,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,620763000.0,dollar,"[""2026 No1 C2025A00047.docx""]",20,1.0,"The current annual total of 620,763,000 is directly supported by the source document rows, which consistently report this amount for the Australian Research Council."
Australia,1995,Industrial R&D Grants,outlier,verify,222313701.0,95638316.0,262480847.0,"Amount 222,313,701 outside expected range [-148,246,341 – 197,661,788] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,222313701.0,dollar,"[""1995 No1 C1994A00088.docx"", ""1995 No3 C1995A00027.docx""]",57,0.9,"The total of 222,313,701 is supported by the sum of the valid document rows, which include 131,711,000 and 90,602,701, totaling 222,313,701. This amount is consistent with the agency's reported figures."
Australia,1996,Industrial R&D Grants,outlier,verify,262480847.0,222313701.0,183173493.0,"Amount 262,480,847 outside expected range [-148,246,341 – 197,661,788] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,262480847.0,dollar,"[""1996 No1 C1995A00060.docx"", ""1996 No3 C1995A00157.docx""]",41.0,0.9,"The total of 262,480,847 is supported by the sum of the valid line items from the source documents, specifically the amounts of 158,785,000 and 103,695,847, which add up to the current total."
Australia,1998,Industrial R&D Grants,outlier,verify,352381821.0,183173493.0,382435355.0,"Amount 352,381,821 outside expected range [-148,246,341 – 197,661,788] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,352381821.0,dollar,"[""1998 No1 C1997A00089.docx"", ""1998 No3 C1998A00005.docx""]",58,0.9,"The total of 352,381,821 is supported by the sum of the relevant line items from the source documents, specifically the amounts of 209,234,000 and 143,147,821, which align with the agency's funding for that year."
Australia,1999,Industrial R&D Grants,outlier,verify,382435355.0,352381821.0,0.0,"Amount 382,435,355 outside expected range [-148,246,341 – 197,661,788] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,382435355.0,dollar,"[""1999 No1 C1998A00070.docx"", ""1999 No3 C1999A00024.docx""]",51,0.9,"The total of 382,435,355 is supported by the sum of the valid document rows (238,132,000 + 144,303,355)."
Australia,1976,Research Grants (Dept of Science),outlier,verify,270027.0,0.0,180000.0,"Amount 270,027 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,270027.0,dollar,"[""1976 No1 C2004A01425.docx""]",55,1.0,"The current annual total of 270,027 is supported by the source document row which lists this amount for research grants, and it is consistent with the context provided."
Australia,1977,Research Grants (Dept of Science),outlier,verify,180000.0,270027.0,475292.0,"Amount 180,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,180000.0,dollar,"[""1977 No1 C2004A01546.docx""]",113,1.0,"The current annual total of 180,000 is directly supported by the source document row, which lists this amount for research grants."
Australia,1978,Research Grants (Dept of Science),outlier,verify,475292.0,180000.0,278881.0,"Amount 475,292 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,279000.0,dollar,"[""1978 No1 C2004A01777.docx""]",58,0.9,"The amount of 475,292 appears to be a misinterpretation of the line item for research grants, which is actually 279,000 based on the provided document snippets."
Australia,1979,Research Grants (Dept of Science),outlier,verify,278881.0,475292.0,0.0,"Amount 278,881 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,278881.0,dollar,"[""1979 No1 C2004A01940.docx""]",108,1.0,"The current annual total of 278,881 is directly supported by the source document row, which lists this exact amount for research grants."
Australia,2014,Geoscience Australia / Bureau of Mineral Resources,outlier,verify,1433578000.0,117912000.0,1323773000.0,"Amount 1,433,578,000 outside expected range [-390,385,621 – 521,711,966] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,134748000.0,dollar,"[""2014 No1 C2014C00349.DOCX""]",12.0,0.9,"The total for Geoscience Australia in the source document clearly states 134,748,000 AUD, which is consistent and valid."
Australia,2015,Geoscience Australia / Bureau of Mineral Resources,outlier,verify,1323773000.0,1433578000.0,3081999000.0,"Amount 1,323,773,000 outside expected range [-390,385,621 – 521,711,966] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,134748000.0,dollar,"[""2015 No1 C2014A00063.docx"", ""2015 No2 C2014A00064.docx""]",11.0,0.9,"The total from the first source document clearly states 134,748,000 AUD for Geoscience Australia, which is consistent and valid. The other amounts are significantly lower and do not support the current total."
Australia,2016,Geoscience Australia / Bureau of Mineral Resources,outlier,verify,3081999000.0,1323773000.0,273761000.0,"Amount 3,081,999,000 outside expected range [-390,385,621 – 521,711,966] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,129598000.0,dollar,"[""2016 No1 C2015A00076.docx""]",0.0,0.9,"The only valid amount for Geoscience Australia in 2016 is 129,598,000 AUD from the source document, which is significantly lower than the current total."
Australia,2017,Australian Renewable Energy Agency,outlier,verify,1221000.0,0.0,2073000.0,"Amount 1,221,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,1221000.0,dollar,"[""2017 No1 C2016A00069.docx""]",5,1.0,"The current annual total of 1,221,000 dollars is directly supported by the source document row indicating the total for the Australian Renewable Energy Agency."
Australia,2018,Australian Renewable Energy Agency,outlier,verify,2073000.0,1221000.0,0.0,"Amount 2,073,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,2073000.0,dollar,"[""2018 No1 C2017A00060.docx""]",1,1.0,"The current annual total of 2,073,000 dollars is directly supported by the source document row indicating the total for the Australian Renewable Energy Agency."
Australia,2020,Australian Renewable Energy Agency,outlier,verify,1673000.0,0.0,17625000.0,"Amount 1,673,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,1673000.0,dollar,"[""2020 No1 C2019A00100.docx""]",24,0.9,"The amount of 1,673,000 is confirmed by the source document rows, specifically on page 24, where it is listed as the total for the Australian Renewable Energy Agency."
Australia,2021,Australian Renewable Energy Agency,outlier,verify,17625000.0,1673000.0,117173000.0,"Amount 17,625,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,17625000.0,dollar,"[""2021 No1 C2020A00109.docx""]",85,1.0,"The current annual total of 17,625,000 is directly supported by the source document row indicating the total for the Australian Renewable Energy Agency."
Australia,2022,Australian Renewable Energy Agency,outlier,verify,117173000.0,17625000.0,23345000.0,"Amount 117,173,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,117168000.0,dollar,"[""2022 No1 C2021A00067.docx"", ""2022 No3 C2022A00019.docx""]",84.0,0.9,"The total for the Australian Renewable Energy Agency can be derived from the two source documents, which provide amounts of 54,338,000 and 62,835,000 respectively. The sum of these amounts is 117,173,000, which matches the current annual total. Therefore, the current total is correct."
Australia,2023,Australian Renewable Energy Agency,outlier,verify,23345000.0,117173000.0,320963000.0,"Amount 23,345,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,23345000.0,dollar,"[""2023 No1 C2022A00067.docx""]",32,1.0,"The current annual total of 23,345,000 is directly supported by the source document, which confirms this amount for the Australian Renewable Energy Agency."
Australia,2024,Australian Renewable Energy Agency,outlier,verify,320963000.0,23345000.0,466862000.0,"Amount 320,963,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,319090000.0,dollar,"[""2024 No1 C2023A00031.docx"", ""2024 No3 C2024A00012.docx""]",33.0,0.9,"The total of 319,090,000 from the first source document is consistent and clearly stated, while the current total of 320,963,000 appears to be incorrect."
Australia,2025,Australian Renewable Energy Agency,outlier,verify,466862000.0,320963000.0,36231000.0,"Amount 466,862,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,465264000.0,dollar,"[""2025 No1 C2024A00047.docx"", ""2025 No3 C2025A00004.docx""]",32,0.9,"The total of 465,264,000 is consistently reported in the source documents, while the current total of 466,862,000 appears to be incorrect."
Australia,2026,Australian Renewable Energy Agency,outlier,verify,36231000.0,466862000.0,,"Amount 36,231,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,36231000.0,dollar,"[""2026 No1 C2025A00047.docx""]",26,1.0,"The amount of 36,231,000 is consistently reported in the source document as the total for the Australian Renewable Energy Agency for 2026."
Australia,2015,Australian Radiation Protection and Nuclear Safety Agency,outlier,verify,615114000.0,62159000.0,15256000.0,"Amount 615,114,000 outside expected range [-46,902,000 – 62,536,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,15324000.0,dollar,"[""2015 No1 C2014A00063.docx""]",9.0,0.9,"The only relevant source document for the Australian Radiation Protection and Nuclear Safety Agency in 2015 shows a total of 15,324,000 AUD, which is consistent with the other document row indicating a total of 15,261,000 AUD. The current total of 615,114,000 AUD is clearly incorrect."
