country,year,canonical_name,verdict,old_rows,old_amounts,review_amount,review_unit,preferred_source_files,reason,confidence,applied,skip_reason,match_reason
Australia,2025,Australian Research Council (ARC),correct,1,1055621000.0,105621000.0,dollar,"[""2025 No1 C2024A00047.docx""]","The total for the Australian Research Council appears to be misreported; the correct total should be 105,621,000 based on the context provided in the document snippets.",0.9,False,no_exact_source_match,no_exact_source_match
Australia,2026,Australian Research Council (ARC),keep,1,620763000.0,620763000.0,dollar,"[""2026 No1 C2025A00047.docx""]","The current annual total of 620,763,000 is directly supported by the source document rows, which consistently report this amount for the Australian Research Council.",1.0,False,verdict_not_actionable,
Australia,1995,Industrial R&D Grants,correct,2,131711000.0 | 90602701.0,222313701.0,dollar,"[""1995 No1 C1994A00088.docx"", ""1995 No3 C1995A00027.docx""]","The total of 222,313,701 is supported by the sum of the valid document rows, which include 131,711,000 and 90,602,701, totaling 222,313,701. This amount is consistent with the agency's reported figures.",0.9,True,,matched_row_sum
Australia,1996,Industrial R&D Grants,correct,2,158785000.0 | 103695847.0,262480847.0,dollar,"[""1996 No1 C1995A00060.docx"", ""1996 No3 C1995A00157.docx""]","The total of 262,480,847 is supported by the sum of the valid line items from the source documents, specifically the amounts of 158,785,000 and 103,695,847, which add up to the current total.",0.9,True,,matched_row_sum
Australia,1998,Industrial R&D Grants,correct,2,209234000.0 | 143147821.0,352381821.0,dollar,"[""1998 No1 C1997A00089.docx"", ""1998 No3 C1998A00005.docx""]","The total of 352,381,821 is supported by the sum of the relevant line items from the source documents, specifically the amounts of 209,234,000 and 143,147,821, which align with the agency's funding for that year.",0.9,True,,matched_row_sum
Australia,1999,Industrial R&D Grants,correct,2,238132000.0 | 144303355.0,382435355.0,dollar,"[""1999 No1 C1998A00070.docx"", ""1999 No3 C1999A00024.docx""]","The total of 382,435,355 is supported by the sum of the valid document rows (238,132,000 + 144,303,355).",0.9,True,,matched_row_sum
Australia,1976,Research Grants (Dept of Science),keep,1,270027.0,270027.0,dollar,"[""1976 No1 C2004A01425.docx""]","The current annual total of 270,027 is supported by the source document row which lists this amount for research grants, and it is consistent with the context provided.",1.0,False,verdict_not_actionable,
Australia,1977,Research Grants (Dept of Science),keep,1,180000.0,180000.0,dollar,"[""1977 No1 C2004A01546.docx""]","The current annual total of 180,000 is directly supported by the source document row, which lists this amount for research grants.",1.0,False,verdict_not_actionable,
Australia,1978,Research Grants (Dept of Science),correct,1,475292.0,279000.0,dollar,"[""1978 No1 C2004A01777.docx""]","The amount of 475,292 appears to be a misinterpretation of the line item for research grants, which is actually 279,000 based on the provided document snippets.",0.9,False,no_exact_source_match,no_exact_source_match
Australia,1979,Research Grants (Dept of Science),keep,1,278881.0,278881.0,dollar,"[""1979 No1 C2004A01940.docx""]","The current annual total of 278,881 is directly supported by the source document row, which lists this exact amount for research grants.",1.0,False,verdict_not_actionable,
Australia,2014,Geoscience Australia / Bureau of Mineral Resources,correct,3,134748000.0 | 192026000.0 | 1106804000.0,134748000.0,dollar,"[""2014 No1 C2014C00349.DOCX""]","The total for Geoscience Australia in the source document clearly states 134,748,000 AUD, which is consistent and valid.",0.9,False,generic_program_like_name,
Australia,2015,Geoscience Australia / Bureau of Mineral Resources,correct,3,134748000.0 | 160000.0 | 1188865000.0,134748000.0,dollar,"[""2015 No1 C2014A00063.docx"", ""2015 No2 C2014A00064.docx""]","The total from the first source document clearly states 134,748,000 AUD for Geoscience Australia, which is consistent and valid. The other amounts are significantly lower and do not support the current total.",0.9,False,generic_program_like_name,
Australia,2016,Geoscience Australia / Bureau of Mineral Resources,correct,2,129598000.0 | 2952401000.0,129598000.0,dollar,"[""2016 No1 C2015A00076.docx""]","The only valid amount for Geoscience Australia in 2016 is 129,598,000 AUD from the source document, which is significantly lower than the current total.",0.9,False,generic_program_like_name,
Australia,2017,Australian Renewable Energy Agency,keep,1,1221000.0,1221000.0,dollar,"[""2017 No1 C2016A00069.docx""]","The current annual total of 1,221,000 dollars is directly supported by the source document row indicating the total for the Australian Renewable Energy Agency.",1.0,False,verdict_not_actionable,
Australia,2018,Australian Renewable Energy Agency,keep,1,2073000.0,2073000.0,dollar,"[""2018 No1 C2017A00060.docx""]","The current annual total of 2,073,000 dollars is directly supported by the source document row indicating the total for the Australian Renewable Energy Agency.",1.0,False,verdict_not_actionable,
Australia,2020,Australian Renewable Energy Agency,correct,1,1673000.0,1673000.0,dollar,"[""2020 No1 C2019A00100.docx""]","The amount of 1,673,000 is confirmed by the source document rows, specifically on page 24, where it is listed as the total for the Australian Renewable Energy Agency.",0.9,True,,matched_single_row
Australia,2021,Australian Renewable Energy Agency,keep,1,17625000.0,17625000.0,dollar,"[""2021 No1 C2020A00109.docx""]","The current annual total of 17,625,000 is directly supported by the source document row indicating the total for the Australian Renewable Energy Agency.",1.0,False,verdict_not_actionable,
