country,year,source_file,file_path,missing_agencies
Australia,2000,2000 DEPT C2004A00439.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2000 DEPT C2004A00439.doc,CSIRO
Australia,2000,2000 DEPT C2004A00439.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2000 DEPT C2004A00439.docx,CSIRO
Australia,2000,2000 No1 C2008C00464.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2000 No1 C2008C00464.doc,CSIRO
Australia,2000,2000 No1 C2008C00464.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2000 No1 C2008C00464.docx,CSIRO
Australia,2000,2000 No2 C2011C00102.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2000 No2 C2011C00102.doc,CSIRO
Australia,2000,2000 No2 C2011C00102.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2000 No2 C2011C00102.docx,CSIRO
Australia,2000,2000 No3 C2004A00629.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2000 No3 C2004A00629.doc,CSIRO
Australia,2000,2000 No3 C2004A00629.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2000 No3 C2004A00629.docx,CSIRO
Australia,2000,2000 No4 C2004A00630.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2000 No4 C2004A00630.doc,CSIRO
Australia,2000,2000 No4 C2004A00630.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2000 No4 C2004A00630.docx,CSIRO
Australia,2001,2001 DEPT C2004A00678.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2001 DEPT C2004A00678.doc,CSIRO
Australia,2001,2001 DEPT C2004A00678.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2001 DEPT C2004A00678.docx,CSIRO
Australia,2001,2001 DEPT C2004A00786.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2001 DEPT C2004A00786.doc,CSIRO
Australia,2001,2001 DEPT C2004A00786.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2001 DEPT C2004A00786.docx,CSIRO
Australia,2001,2001 No1 C2008C00481.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2001 No1 C2008C00481.doc,CSIRO
Australia,2001,2001 No1 C2008C00481.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2001 No1 C2008C00481.docx,CSIRO
Australia,2001,2001 No2 C2004A00677.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2001 No2 C2004A00677.doc,CSIRO
Australia,2001,2001 No2 C2004A00677.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2001 No2 C2004A00677.docx,CSIRO
Australia,2001,2001 No3 C2004A00787.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2001 No3 C2004A00787.doc,CSIRO
Australia,2001,2001 No3 C2004A00787.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2001 No3 C2004A00787.docx,CSIRO
Australia,2001,2001 No4-1 C2004A00788VOL01.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2001 No4-1 C2004A00788VOL01.doc,CSIRO
Australia,2001,2001 No4-1 C2004A00788VOL01.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2001 No4-1 C2004A00788VOL01.docx,CSIRO
Australia,2001,2001 No4-2 C2004A00788VOL02.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2001 No4-2 C2004A00788VOL02.doc,CSIRO
Australia,2001,2001 No4-2 C2004A00788VOL02.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2001 No4-2 C2004A00788VOL02.docx,CSIRO
Australia,2001,2001 No4-3 C2004A00788VOL03.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2001 No4-3 C2004A00788VOL03.doc,CSIRO
Australia,2001,2001 No4-3 C2004A00788VOL03.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2001 No4-3 C2004A00788VOL03.docx,CSIRO
Australia,2002,2002 DEPT 1 C2004A00938VOL01.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2002 DEPT 1 C2004A00938VOL01.doc,CSIRO
Australia,2002,2002 DEPT 1 C2004A00938VOL01.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2002 DEPT 1 C2004A00938VOL01.docx,CSIRO
Australia,2002,2002 DEPT 2 C2004A00938VOL02.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2002 DEPT 2 C2004A00938VOL02.doc,CSIRO
Australia,2002,2002 DEPT 2 C2004A00938VOL02.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2002 DEPT 2 C2004A00938VOL02.docx,CSIRO
Australia,2002,2002 DEPT C2004A00834.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2002 DEPT C2004A00834.doc,CSIRO
Australia,2002,2002 DEPT C2004A00834.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2002 DEPT C2004A00834.docx,CSIRO
Australia,2002,2002 No1 C2008C00479.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2002 No1 C2008C00479.doc,CSIRO
Australia,2002,2002 No1 C2008C00479.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2002 No1 C2008C00479.docx,CSIRO
Australia,2002,2002 No2 C2004A00833.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2002 No2 C2004A00833.doc,CSIRO
Australia,2002,2002 No2 C2004A00833.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2002 No2 C2004A00833.docx,CSIRO
Australia,2002,2002 No3-1 C2004A00939VOL01.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2002 No3-1 C2004A00939VOL01.doc,CSIRO
Australia,2002,2002 No3-1 C2004A00939VOL01.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2002 No3-1 C2004A00939VOL01.docx,CSIRO
Australia,2002,2002 No3-2 C2004A00939VOL02.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2002 No3-2 C2004A00939VOL02.doc,CSIRO
Australia,2002,2002 No3-2 C2004A00939VOL02.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2002 No3-2 C2004A00939VOL02.docx,CSIRO
Australia,2002,2002 No4 C2004A00940.doc,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2002 No4 C2004A00940.doc,CSIRO
Australia,2002,2002 No4 C2004A00940.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/2002 No4 C2004A00940.docx,CSIRO
Australia,1989,1989 DEPT C2004A03691.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/1989 DEPT C2004A03691.docx,Australian Research Council (ARC)
Australia,1989,1989 DEPT C2004A03788.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/1989 DEPT C2004A03788.docx,Australian Research Council (ARC)
Australia,1989,1989 No1 C2004A03695.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/1989 No1 C2004A03695.docx,Australian Research Council (ARC)
Australia,1989,1989 No2 C2004A03696.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/1989 No2 C2004A03696.docx,Australian Research Council (ARC)
Australia,1989,1989 No3 C2004A03791.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/1989 No3 C2004A03791.docx,Australian Research Council (ARC)
Australia,1989,1989 No4 C2004A03792.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/1989 No4 C2004A03792.docx,Australian Research Council (ARC)
Australia,1990,1990 DEPT C2004A03902.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/1990 DEPT C2004A03902.docx,Australian Research Council (ARC)
Australia,1990,1990 DEPT C2004A03962.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/1990 DEPT C2004A03962.docx,Australian Research Council (ARC)
Australia,1990,1990 No1 C2004A03903.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/1990 No1 C2004A03903.docx,Australian Research Council (ARC)
Australia,1990,1990 No2 C2004A03904.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/1990 No2 C2004A03904.docx,Australian Research Council (ARC)
Australia,1990,1990 No3 C2004A03960.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/1990 No3 C2004A03960.docx,Australian Research Council (ARC)
Australia,1990,1990 No4 C2004A03961.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/1990 No4 C2004A03961.docx,Australian Research Council (ARC)
Australia,1991,1991 DEPT C2004A04031.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/1991 DEPT C2004A04031.docx,Australian Research Council (ARC)
Australia,1991,1991 DEPT C2004A04138.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/1991 DEPT C2004A04138.docx,Australian Research Council (ARC)
Australia,1991,1991 No1 C2004A04029.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/1991 No1 C2004A04029.docx,Australian Research Council (ARC)
Australia,1991,1991 No2 C2004A04030.docx,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Australia/1991 No2 C2004A04030.docx,Australian Research Council (ARC)
