country,year,source_file,run_status,run_log_rows_extracted,docx_results_rows,docx_audit_in_series_rows,extracted_entities,missing_agencies_from_queue,year_issue_label,year_document_change_flag,country_document_change_signal,document_change_note,diagnosis_excerpt,recommended_action,canonical_name,current_amount_local,current_currency,current_item_type,current_page_number
Austria,2022,2022 Anlagen_0001_244184DB_8F25_451C_846B_6C4C7BD15ADA.pdf,ran_with_rows,38,38,20,BMBWF / Einzelplan 13 / UG 31 (total) | CERN-Beitrag (Austria) | ESA-Beitrag (Austria) | FFG (Forschungsfoerderungsgesellschaft) | FWF (Fonds zur Forderung der wissenschaftlichen Forschung) | IST Austria | Ludwig Boltzmann Gesellschaft | OAW (Osterreichische Akademie der Wissenschaften),FWF (Fonds zur Forderung der wissenschaftlichen Forschung),Needs targeted re-extraction,False,False,No document change signal; root cause was post-selection drop logic.,"Restored from explicit institution line in UG 31; page 383 gives FWF = 120.0 million EUR. Previous gap was caused by Austria hardcoded drop, not extraction failure.",fixed_in_code_verified_override,FWF (Fonds zur Forderung der wissenschaftlichen Forschung),120000000.0,EUR,verified_override,383
Austria,2022,2022 Anlagen_0001_244184DB_8F25_451C_846B_6C4C7BD15ADA.pdf,ran_with_rows,38,38,20,BMBWF / Einzelplan 13 / UG 31 (total) | CERN-Beitrag (Austria) | ESA-Beitrag (Austria) | FFG (Forschungsfoerderungsgesellschaft) | FWF (Fonds zur Forderung der wissenschaftlichen Forschung) | IST Austria | Ludwig Boltzmann Gesellschaft | OAW (Osterreichische Akademie der Wissenschaften),FWF (Fonds zur Forderung der wissenschaftlichen Forschung),Needs targeted re-extraction,False,False,No document change signal; root cause was post-selection drop logic.,Restored from explicit institution line in UG 31; page 384 gives OAW = 30.0 million EUR.,fixed_in_code_verified_override,OAW (Osterreichische Akademie der Wissenschaften),30000000.0,EUR,verified_override,384
Austria,2022,2022 Anlagen_0001_244184DB_8F25_451C_846B_6C4C7BD15ADA.pdf,ran_with_rows,38,38,20,BMBWF / Einzelplan 13 / UG 31 (total) | CERN-Beitrag (Austria) | ESA-Beitrag (Austria) | FFG (Forschungsfoerderungsgesellschaft) | FWF (Fonds zur Forderung der wissenschaftlichen Forschung) | IST Austria | Ludwig Boltzmann Gesellschaft | OAW (Osterreichische Akademie der Wissenschaften),FWF (Fonds zur Forderung der wissenschaftlichen Forschung),Needs targeted re-extraction,False,False,No document change signal; root cause was post-selection drop logic.,Restored from explicit institution line in UG 31; page 384 gives IST Austria = 25.0 million EUR.,fixed_in_code_verified_override,IST Austria,25000000.0,EUR,verified_override,384
Austria,2023,2023 Anlagen_0001_C4324C91_98E6_4FDE_B63A_4BFB9024E450.pdf,ran_with_rows,49,49,18,BMBWF / Einzelplan 13 / UG 31 (total) | CERN-Beitrag (Austria) | ESA-Beitrag (Austria) | FFG (Forschungsfoerderungsgesellschaft) | FWF (Fonds zur Forderung der wissenschaftlichen Forschung) | IST Austria | Ludwig Boltzmann Gesellschaft | OAW (Osterreichische Akademie der Wissenschaften),FWF (Fonds zur Forderung der wissenschaftlichen Forschung),Needs targeted re-extraction,False,False,No document change signal; root cause was post-selection drop logic.,Restored from explicit institution line on page 452; FFG = 70.0 million EUR. This 2023 case is defendable and no longer needs re-extraction.,fixed_in_code_verified_override,FFG (Forschungsfoerderungsgesellschaft),70000000.0,EUR,verified_override,452
Austria,2023,2023 Anlagen_0001_C4324C91_98E6_4FDE_B63A_4BFB9024E450.pdf,ran_with_rows,49,49,18,BMBWF / Einzelplan 13 / UG 31 (total) | CERN-Beitrag (Austria) | ESA-Beitrag (Austria) | FFG (Forschungsfoerderungsgesellschaft) | FWF (Fonds zur Forderung der wissenschaftlichen Forschung) | IST Austria | Ludwig Boltzmann Gesellschaft | OAW (Osterreichische Akademie der Wissenschaften),FWF (Fonds zur Forderung der wissenschaftlichen Forschung),Needs targeted re-extraction,False,False,No document change signal; root cause was post-selection drop logic.,Restored from explicit institution line on page 452; FWF = 100.0 million EUR.,fixed_in_code_verified_override,FWF (Fonds zur Forderung der wissenschaftlichen Forschung),100000000.0,EUR,verified_override,452
Austria,2023,2023 Anlagen_0001_C4324C91_98E6_4FDE_B63A_4BFB9024E450.pdf,ran_with_rows,49,49,18,BMBWF / Einzelplan 13 / UG 31 (total) | CERN-Beitrag (Austria) | ESA-Beitrag (Austria) | FFG (Forschungsfoerderungsgesellschaft) | FWF (Fonds zur Forderung der wissenschaftlichen Forschung) | IST Austria | Ludwig Boltzmann Gesellschaft | OAW (Osterreichische Akademie der Wissenschaften),FWF (Fonds zur Forderung der wissenschaftlichen Forschung),Needs targeted re-extraction,False,False,No document change signal; root cause was post-selection drop logic.,Restored from explicit institution line on page 452; OAW = 50.0 million EUR.,fixed_in_code_verified_override,OAW (Osterreichische Akademie der Wissenschaften),50000000.0,EUR,verified_override,452
Austria,2023,2023 Anlagen_0001_C4324C91_98E6_4FDE_B63A_4BFB9024E450.pdf,ran_with_rows,49,49,18,BMBWF / Einzelplan 13 / UG 31 (total) | CERN-Beitrag (Austria) | ESA-Beitrag (Austria) | FFG (Forschungsfoerderungsgesellschaft) | FWF (Fonds zur Forderung der wissenschaftlichen Forschung) | IST Austria | Ludwig Boltzmann Gesellschaft | OAW (Osterreichische Akademie der Wissenschaften),FWF (Fonds zur Forderung der wissenschaftlichen Forschung),Needs targeted re-extraction,False,False,No document change signal; root cause was post-selection drop logic.,Restored from explicit institution line on page 452; IST Austria = 30.0 million EUR.,fixed_in_code_verified_override,IST Austria,30000000.0,EUR,verified_override,452
Austria,2012,2012 Anlagen COO_2026_100_2_717880.pdf,ran_with_rows,31,31,16,BMBWF / Einzelplan 13 / UG 31 (total) | CERN-Beitrag (Austria) | ESA-Beitrag (Austria) | FFG (Forschungsfoerderungsgesellschaft) | FWF (Fonds zur Forderung der wissenschaftlichen Forschung) | OAW (Osterreichische Akademie der Wissenschaften) | Universitaten (collective Austria),FWF (Fonds zur Forderung der wissenschaftlichen Forschung),Needs targeted re-extraction,False,False,No document change signal; evidence quality is insufficient.,"Not fixed. Available 2012 survivor is from a corrupted or ambiguous page where CERN and ESA also show implausible duplicated values (3110.015), so the FWF amount is not defendable as an institutional appropriation.",leave_gap_documented,FWF (Fonds zur Forderung der wissenschaftlichen Forschung),,,,
Austria,2018,2018 Anlagen COO_2026_100_2_1516380.pdf,ran_with_rows,31,34,9,BMBWF / Einzelplan 13 / UG 31 (total) | FWF (Fonds zur Forderung der wissenschaftlichen Forschung) | IST Austria,FWF (Fonds zur Forderung der wissenschaftlichen Forschung),Needs targeted re-extraction,False,False,No document change signal; extraction exists but concept is wrong for the panel.,"Not fixed. 2018 extracted IST rows are KPI or indicator counts (for example dissertations, ERC grants, publications), not a budget appropriation line.",leave_gap_documented,IST Austria,,,,
Austria,2021,2021 Anlagen COO_2026_100_2_1814939.pdf,ran_with_rows,37,39,9,BMBWF / Einzelplan 13 / UG 31 (total) | FFG (Forschungsfoerderungsgesellschaft) | FWF (Fonds zur Forderung der wissenschaftlichen Forschung) | IST Austria,FWF (Fonds zur Forderung der wissenschaftlichen Forschung),Needs targeted re-extraction,False,False,No document change signal; source page remains ambiguous.,"Not fixed. 2021 surviving row comes from a summary-style page and the nearby values are not a clean institution-level appropriation table, so the series should remain blank.",leave_gap_documented,FWF (Fonds zur Forderung der wissenschaftlichen Forschung),,,,
