country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes,cleaning_notes,aggregation_role
Austria,1976,section_total,4,Wissenschaft und Forschung,Science and Research,,Gesamtausgaben,Total Expenditures,3707.911,million,ATS,science_agency,include,1.0,1976_Austria.pdf,176,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand][section_total: item_type=section_total → aggregate]",section
Austria,1976,program_total,4,Wissenschaft und Forschung,Science and Research,,Österreichische Akademie der Wissenschaften und Forschungsinstitute; Förderungsausgaben,Austrian Academy of Sciences and Research Institutes; Funding Expenditures,30.0,million,ATS,science_agency,include,1.0,1976_Austria.pdf,187,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,line_item,4,Wissenschaft und Forschung,Science and Research,,Expertengutachten und Auftragsforschung; Aufwendungen,Expert Reports and Contract Research; Expenditures,16.991,million,ATS,direct_rd,include,1.0,1976_Austria.pdf,187,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,line_item,4,Wissenschaft und Forschung,Science and Research,,Gewerbliche Forschung; Förderungsausgaben,Industrial Research; Funding Expenditures,3.264,million,ATS,direct_rd,include,1.0,1976_Austria.pdf,187,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,program_total,4,Wissenschaft und Forschung,Science and Research,,Wissenschaftliche Forschung; Förderungsausgaben,Scientific Research; Funding Expenditures,14.324,million,ATS,direct_rd,include,1.0,1976_Austria.pdf,187,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,program_total,4,Wissenschaft und Forschung,Science and Research,,Hochschulische Einrichtungen; Förderungsausgaben,University Institutions; Funding Expenditures,431.535,million,ATS,higher_education,include,1.0,1976_Austria.pdf,187,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,line_item,13,Bundesministerium für Wissenschaft und Forschung,Federal Ministry of Science and Research,,Österreichische Akademie der Wissenschaften (ÖAW),Austrian Academy of Sciences (ÖAW),300.0,million,ATS,science_agency,review,0.3,1976_Austria.pdf,264,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,line_item,13,Bundesministerium für Wissenschaft und Forschung,Federal Ministry of Science and Research,,Fonds zur Förderung der wissenschaftlichen Forschung (FWF),Austrian Science Fund (FWF),500.0,million,ATS,direct_rd,review,0.3,1976_Austria.pdf,264,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,line_item,13,Bundesministerium für Wissenschaft und Forschung,Federal Ministry of Science and Research,,Christian Doppler Forschungsgesellschaft (CD-Labor),Christian Doppler Research Society (CD-Labor),200.0,million,ATS,direct_rd,review,0.3,1976_Austria.pdf,264,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,line_item,13,Bundesministerium für Wissenschaft und Forschung,Federal Ministry of Science and Research,,Beitrag zu CERN,Contribution to CERN,100.0,million,ATS,rd_adjacent,include,1.0,1976_Austria.pdf,264,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,line_item,13,Bundesministerium für Wissenschaft und Forschung,Federal Ministry of Science and Research,,Beitrag zu ESA,Contribution to ESA,50.0,million,ATS,rd_adjacent,include,1.0,1976_Austria.pdf,264,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,section_total,13,Bundesministerium für Wissenschaft und Forschung,Federal Ministry of Science and Research,,Gesamtsumme,Total,2.0,million,ATS,science_agency,review,0.3,1976_Austria.pdf,264,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand][section_total: item_type=section_total → aggregate]",section
Austria,1976,line_item,1410,Hochschulische Einrichtungen,Higher Education Institutions,,Aufwendungen,Expenditures,177.988,million,ATS,higher_education,review,0.3,1976_Austria.pdf,38,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,line_item,1410,Hochschulische Einrichtungen,Higher Education Institutions,,Aufwendungen (Gesetzliche Verpflichtungen),Expenditures (Legal Obligations),285.0,million,ATS,higher_education,review,0.3,1976_Austria.pdf,38,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,line_item,1411,Wissenschaftliche Einrichtungen,Scientific Institutions,,Aufwendungen (Gesetzliche Verpflichtungen),Expenditures (Legal Obligations),8.62,million,ATS,direct_rd,include,1.0,1976_Austria.pdf,38,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,line_item,1410,Hochschulische Einrichtungen,Higher Education Institutions,,Förderungsausgaben,Funding Expenditures,139.839,million,ATS,higher_education,review,0.3,1976_Austria.pdf,38,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,line_item,1411,Wissenschaftliche Einrichtungen,Scientific Institutions,,Förderungsausgaben,Funding Expenditures,14.6,million,ATS,direct_rd,include,1.0,1976_Austria.pdf,38,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,line_item,1410,Hochschulische Einrichtungen,Higher Education Institutions,,Förderungsausgaben (Gesetzliche Verpflichtungen),Funding Expenditures (Legal Obligations),392.6,million,ATS,higher_education,review,0.3,1976_Austria.pdf,38,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,section_total,140,Bundesministerium f. Wissenschaft u. Forschung,Federal Ministry of Science and Research,,Summe 140,Total 140,101.828,million,ATS,science_agency,review,0.3,1976_Austria.pdf,38,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand][section_total: item_type=section_total → aggregate]",section
Austria,1976,program_total,141,Bundesministerium (Zweckaufwand),Federal Ministry (Purpose Expenditure),,Summe 1410,Total 1410,995.427,million,ATS,higher_education,review,0.3,1976_Austria.pdf,38,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand][section_total: Gesamtsumme/UG-Gesamt/I alt aggregate row]",section
Austria,1976,program_total,1411,Wissenschaftliche Einrichtungen,Scientific Institutions,,Summe 1411,Total 1411,24.77,million,ATS,science_agency,include,1.0,1976_Austria.pdf,38,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand][section_total: Gesamtsumme/UG-Gesamt/I alt aggregate row]",section
Austria,1976,line_item,1416,Forschungseinrichtungen,Research Institutions,,Aufwendungen,Expenditures,13.455,million,ATS,direct_rd,include,1.0,1976_Austria.pdf,40,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,line_item,1420,Universitäten,Universities,,Aufwendungen,Expenditures,536.25,million,ATS,higher_education,review,0.3,1976_Austria.pdf,40,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,line_item,1420,Universitäten,Universities,,Aufwendungen (Gesetz),Expenditures (Law),768.19,million,ATS,higher_education,review,0.3,1976_Austria.pdf,40,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,line_item,1417,Österreichische Akademie der Wissenschaften,Austrian Academy of Sciences,,Aufwendungen (Gesetzliche Verpflichtungen),Expenditures (Legal Obligations),4.43,million,ATS,science_agency,include,1.0,1976_Austria.pdf,40,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
Austria,1976,line_item,1418,Forschungsvorhaben in internat. Kooperation,Research Projects in International Cooperation,,Aufwendungen (Gesetzliche Verpflichtungen),Expenditures (Legal Obligations),141.422,million,ATS,rd_adjacent,review,0.3,1976_Austria.pdf,40,gpt-4o-mini,extract,,"[unit_fix: Austria decimal comma lost; converted thousand→million and ÷1,000][unit_fix: Austria budget tables use Millionen, not thousand]",
