country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Austria,AIT Austrian Institute of Technology,2009,,,0,,gap,,,science_agency
Austria,AIT Austrian Institute of Technology,2010,,,0,,gap,,,science_agency
Austria,AIT Austrian Institute of Technology,2011,,,0,,gap,,,science_agency
Austria,AIT Austrian Institute of Technology,2012,,,0,,gap,,,science_agency
Austria,AIT Austrian Institute of Technology,2013,,,0,,gap,,,science_agency
Austria,AIT Austrian Institute of Technology,2014,,,0,,gap,,,science_agency
Austria,AIT Austrian Institute of Technology,2015,,,0,,gap,,,science_agency
Austria,AIT Austrian Institute of Technology,2016,,,0,,gap,,,science_agency
Austria,AIT Austrian Institute of Technology,2017,,,0,,gap,,,science_agency
Austria,AIT Austrian Institute of Technology,2018,,,0,,gap,,,science_agency
Austria,AIT Austrian Institute of Technology,2019,,,0,,gap,,,science_agency
Austria,AIT Austrian Institute of Technology,2020,,,0,,gap,,,science_agency
Austria,AIT Austrian Institute of Technology,2021,,,0,,gap,,,science_agency
Austria,AIT Austrian Institute of Technology,2022,,,0,,gap,,,science_agency
Austria,AIT Austrian Institute of Technology,2023,,,0,,gap,,,science_agency
Austria,AIT Austrian Institute of Technology,2024,,,0,,gap,,,science_agency
Austria,AIT Austrian Institute of Technology,2025,,,0,,gap,,,science_agency
Austria,AIT Austrian Institute of Technology,2026,,,0,,gap,,,science_agency
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1976,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1977,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1978,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1979,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1980,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1981,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1982,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1983,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1984,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1985,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1986,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1988,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1989,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1990,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1991,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1992,10624006000.0,10624006000.0,1,1992_Austria.pdf,single,ATS,schilling,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1993,10759049000.0,10759049000.0,1,1993_Austria.pdf,single,ATS,schilling,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1994,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1995,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1996,30018400000.0,30018400000.0,1,1996_Austria_proposal.pdf,single,ATS,schilling,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1997,30150514000.0,30150514000.0,1,1997_Austria_proposal.pdf,single,ATS,schilling,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1998,27854292000.0,27854292000.0,1,1998_Austria.pdf,single,ATS,schilling,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),1999,28318290000.0,28318290000.0,1,1999_Austria.pdf,single,ATS,schilling,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2000,14060570000.0,14060570000.0,1,2000_Austria.pdf,single,ATS,schilling,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2001,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2002,2364484000.0,2364484000.0,1,2002_Austria.pdf,single,EUR,euro,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2003,1630158000.0,1630158000.0,1,2003_Austria.pdf,single,EUR,euro,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2004,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2005,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2006,,,0,,gap,,,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2007,3501826000.0,3501826000.0,1,2007 Anlagen COO_2026_100_2_342682.pdf,single,EUR,euro,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2008,3538832000.0,3538832000.0,1,2008 Anlagen COO_2026_100_2_342695.pdf,single,EUR,euro,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2009,3352170000.0,3352170000.0,1,2009 Anlagen COO_2026_100_2_539063.pdf,single,EUR,euro,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2010,3744002000.0,3744002000.0,1,2010 Anlagen COO_2026_100_2_539074.pdf,single,EUR,euro,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2011,7701700000.0,7701700000.0,1,2011 Anlagen COO_2026_100_2_642644.pdf,single,EUR,euro,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2012,3847532000.0,3847532000.0,1,2012 Anlagen COO_2026_100_2_717880.pdf,single,EUR,euro,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2013,4022015000.0,4022015000.0,1,2013 Anlagen COO_2026_100_2_820081.pdf,single,EUR,euro,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2014,4081398000.0,4081398000.0,1,2014 Anlagen COO_2026_100_2_999189.pdf,single,EUR,euro,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2015,4121788999.9999995,4121788999.9999995,1,2015 Anlagen COO_2026_100_2_999206.pdf,single,EUR,euro,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2016,4281287999.9999995,4281287999.9999995,1,2016 Anlagen COO_2026_100_2_1160018.pdf,single,EUR,euro,rd_ministry
Austria,BMBWF / Einzelplan 13 / UG 31 (total),2017,4364024000.0,4364024000.0,1,2017 Anlagen COO_2026_100_2_1315468.pdf,single,EUR,euro,rd_ministry
