canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
BELSPO / Belgian Federal Science Policy,rd_ministry,1994,1994 10_1.pdf,DIENSTEN VOOR PROGRAMMATIE VAN HET WETENSCHAPSBELEID,534600.0,Services for Programming of Scientific Policy,0,29,True
BELSPO / Belgian Federal Science Policy,rd_ministry,1994,1994 10_1.pdf,WETENSCHAPSBELEID,6727000.0,Scientific Policy,0,33,True
BELSPO / Belgian Federal Science Policy,rd_ministry,1994,1994 10_1.pdf,POLITIQUE SCIENTIFIQUE,29824000.0,Scientific Policy,0,37,True
BELSPO / Belgian Federal Science Policy,rd_ministry,1995,1995 16_1.pdf,POLITIQUE SCIENTIFIQUE,1001800.0,Scientific Policy,0,56,True
BELSPO / Belgian Federal Science Policy,rd_ministry,1996,1996 30_4.pdf,"SERVICES FEDERAUX DES AFFAIRES SCIENTIFIQUES, TECHNIQUES ET CULTURELLES - PARTIE POLITIQUE SCIENTIFIQUE",5316000.0,"FEDERAL SERVICES FOR SCIENTIFIC, TECHNICAL AND CULTURAL AFFAIRS - SCIENTIFIC POLICY PART",0,77,True
BELSPO / Belgian Federal Science Policy,rd_ministry,1996,1996 30_4.pdf,Actions de promotion de la politique scientifique et de l'innovation technologique.,1670000.0,"FEDERAL SERVICES FOR SCIENTIFIC, TECHNICAL AND CULTURAL AFFAIRS - SCIENTIFIC POLICY PART",0,79,True
BELSPO / Belgian Federal Science Policy,rd_ministry,1996,1996 30_4.pdf,Deelname van de wetenschappelijke instellingen aan internationale activiteiten van wetenschapsbeleid.,2700.0,OFFICE OF THE PRIME MINISTER,0,93,True
BELSPO / Belgian Federal Science Policy,rd_ministry,1997,1997 12_2.pdf,"FEDERALE DIENSTEN VOOR WETENSCHAPPELLJKE, TECHNISCHE EN CULTURELE AANGELEGENHEDEN - DEEL WETENSCHAPSBELEID",166300000.0,"FEDERAL SERVICES FOR SCIENTIFIC, TECHNICAL AND CULTURAL AFFAIRS - SCIENCE POLICY PART",0,161,True
BELSPO / Belgian Federal Science Policy,rd_ministry,1998,1998 12_2.pdf,"Dotaties aan de federale wetenschappelijke instellingen, die afhangen van de Minister van Wetenschapsbeleid.",,FEDERAL SCIENTIFIC INSTITUTIONS AND EQUIVALENT INSTITUTIONS,0,238,True
BELSPO / Belgian Federal Science Policy,rd_ministry,1999,1999 03_2.pdf,"SERVICES FEDERAUX DES AFFAIRES SCIENTIFIQUES, TECHNIQUES ET CULTURELLES - PARTIE POLITIQUE SCIENTIFIQUE",575700.0,"Federal Services for Scientific, Technical and Cultural Affairs - Scientific Policy Part",0,302,True
BELSPO / Belgian Federal Science Policy,rd_ministry,1999,1999 03_2.pdf,Actions de promotion de la politique scientifique et de l'innovation technologique,13700.0,"Federal Services for Scientific, Technical and Cultural Affairs - Scientific Policy Part",0,304,True
