country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes,cleaning_notes,aggregation_role,dedup_notes,temporal_flag
Belgium,1994,line_item,60/2,O&O OP INTERNATIONAAL VLAK,R&D DANS LE CADRE INTERNATIONAL,,Belgische deelneming aan de bilaterale of multilaterale ruimtevaartprojecten (buiten ESA).,Belgian participation in bilateral or multilateral space projects (outside ESA).,,franc,BEF,direct_rd,review,0.4,1994 10_1.pdf,10,gpt-4o-mini,extract,Participation in international space projects | no_amount,,,,
Belgium,1994,program_total,60/2,O&O OP INTERNATIONAAL VLAK,R&D DANS LE CADRE INTERNATIONAL,,Totaal voor O&O op internationaal vlak,Total for R&D at the international level,,franc,BEF,direct_rd,review,0.4,1994 10_1.pdf,10,gpt-4o-mini,extract,Total for international R&D initiatives | no_amount,[belgium_section_total],section,,
Belgium,1994,program_total,53,WETENSCHAPSBELEID,Scientific Policy,,Wetenschappelijk onderzoek,Scientific research,11200.0,thousand,BEF,direct_rd,include,0.8,1994 10_1.pdf,155,gpt-4o-mini,extract,,,,,
Belgium,1994,program_total,25 58,WETENSCHAPSBELEID,Scientific Policy,,Research-Development Internationaal,Research-Development International,293000.0,thousand,BEF,direct_rd,include,0.9,1994 10_1.pdf,165,gpt-4o-mini,extract,,,,,
Belgium,1994,program_total,25 58,WETENSCHAPSBELEID,Scientific Policy,,Research-Development: Nationaal,Research-Development: National,2089000.0,thousand,BEF,direct_rd,include,0.9,1994 10_1.pdf,165,gpt-4o-mini,extract,,,,,
Belgium,1994,program_total,25 58,WETENSCHAPSBELEID,Scientific Policy,,Wetenschappelijke Inrichting (I.H.E.),Scientific Institution (I.H.E.),2860000.0,thousand,BEF,science_agency,include,0.9,1994 10_1.pdf,165,gpt-4o-mini,extract,,,,,
Belgium,1994,section_total,25 58,WETENSCHAPSBELEID,Scientific Policy,,Totalen voor de organisatie-afdeling 58,Totals for the organizational department 58,6727000.0,thousand,BEF,unclear,review,0.5,1994 10_1.pdf,165,gpt-4o-mini,extract,Mixed-purpose ministry total,[belgium_section_total],section,,
Belgium,1994,program_total,32 70,POLITIQUE SCIENTIFIQUE,Scientific Policy,,Dotaties aan wetenschappelijke instellingen van de Staat en gelijkgestelde en verbonden instellingen,Allocations to scientific institutions of the State and equivalent and affiliated institutions,16100000.0,thousand,BEF,science_agency,review,0.9,1994 10_1.pdf,191,gpt-4o-mini,extract,,[belgium_social_transfer],non_rd,,
Belgium,1994,program_total,32 70,POLITIQUE SCIENTIFIQUE,Scientific Policy,,R. & D. op international vlak,R. & D. at the international level,648000.0,thousand,BEF,direct_rd,include,0.9,1994 10_1.pdf,191,gpt-4o-mini,extract,,,,,
Belgium,1994,program_total,32 70,POLITIQUE SCIENTIFIQUE,Scientific Policy,,R. & D. op national vlak,R. & D. at the national level,4976000.0,thousand,BEF,direct_rd,include,0.9,1994 10_1.pdf,191,gpt-4o-mini,extract,,,,,
Belgium,1994,section_total,32 70,POLITIQUE SCIENTIFIQUE,Scientific Policy,,Totalen voor de organisatie-afdeling 70,Totals for the organizational department 70,29824000.0,thousand,BEF,unclear,review,0.5,1994 10_1.pdf,191,gpt-4o-mini,extract,Mixed-purpose ministry total,[belgium_section_total],section,,
Belgium,1994,section_total,40,PROGRAMMA 40/1 — INTERNATIONALE BETREKKINGEN,PROGRAMME 40/1 — RELATIONS INTERNATIONALES,,Lidmaatschapsbijdragen aan internationale organisaties in het domein van de volksgezondheid,Membership contributions to international organizations in the field of public health,,thousand,BEF,unclear,review,0.4,1994 10_1.pdf,52,gpt-4o-mini,extract,"Total for international relations, not explicitly R&D | no_amount",[belgium_section_total],section,,
Belgium,1994,program_total,51,PROGRAMMA 51/2 — PROFYLAXIS EN OPVOEDING,PROGRAMME 51/2 — PROPHYLAXIE ET EDUCATION,,Beleidsgericht wetenschappelijk onderzoek en internationale uitwisseling van gegevens inzake recente ontwikkelingen en problemen op het vlak van profylaxis en hygiéne.,Policy-oriented scientific research and international exchange of data on recent developments and issues in the field of prophylaxis and hygiene.,,thousand,BEF,direct_rd,review,0.4,1994 10_1.pdf,52,gpt-4o-mini,extract,Explicitly mentions scientific research | no_amount,,,,
Belgium,1994,line_item,68,PROGRAMMA 68/1 — RESEARCH — DEVELOPMENT NATIONAAL,PROGRAMME 68/1 — RESEARCH — DEVELOPMENT NATIONAL,,Financieren van het voortzetten van het wetenschappelijk onderzoek naar de werking van geneesmiddelen tegen AIDS.,Funding for continuing scientific research on the action of drugs against AIDS.,,thousand,BEF,direct_rd,review,0.4,1994 10_1.pdf,54,gpt-4o-mini,extract,Explicitly mentions scientific research | no_amount,,,,
Belgium,1994,program_total,68,PROGRAMMA 68/1 — RESEARCH — DEVELOPMENT NATIONAAL,PROGRAMME 68/1 — RESEARCH — DEVELOPMENT NATIONAL,,Financieren van het bijhouden van het nationaal Kankerregister door het Belgisch Werk tegen de Kanker.,Funding for maintaining the national cancer registry by the Belgian Work against Cancer.,,thousand,BEF,direct_rd,review,0.4,1994 10_1.pdf,54,gpt-4o-mini,extract,Explicitly mentions scientific research | no_amount,,,,
Belgium,1994,line_item,68,PROGRAMMA 68/1 — RESEARCH — DEVELOPMENT NATIONAAL,PROGRAMME 68/1 — RESEARCH — DEVELOPMENT NATIONAL,,Nationale toelage aan het Fonds voor geneeskundig wetenschappelijk onderzoek.,National subsidy to the Fund for medical scientific research.,,thousand,BEF,direct_rd,review,0.4,1994 10_1.pdf,54,gpt-4o-mini,extract,Explicitly mentions scientific research | no_amount,,,,
Belgium,1994,line_item,68,PROGRAMMA 68/1 — RESEARCH — DEVELOPMENT NATIONAAL,PROGRAMME 68/1 — RESEARCH — DEVELOPMENT NATIONAL,,Subsidies aan de prospectieve studies naar allergische verschijnselen bij pasgeborenen.,Subsidies for prospective studies on allergic phenomena in newborns.,,thousand,BEF,direct_rd,review,0.4,1994 10_1.pdf,54,gpt-4o-mini,extract,Explicitly mentions scientific research | no_amount,,,,
Belgium,1994,line_item,54,R. & D. OP NATIONAAL VLAK,R. & D. AT NATIONAL LEVEL,,Vergoedingen voor verliezen ten gevolge van proefnemingen.,Compensations for losses resulting from experiments.,,,,direct_rd,review,0.4,1994 10_1.pdf,57,gpt-4o-mini,extract,no_amount,,,,
Belgium,1994,program_total,54,R. & D. OP NATIONAAL VLAK,R. & D. AT NATIONAL LEVEL,,"PROGRAMMA 54/1 - R. & D. OP NATIONAAL VLAK. DRINGENDE PROBLEMEN, CONTRACTUEEL ONDERZOEK EN VULGARISATIE","PROGRAM 54/1 - R. & D. AT NATIONAL LEVEL. URGENT PROBLEMS, CONTRACTUAL RESEARCH AND DISSEMINATION",,,,direct_rd,review,0.4,1994 10_1.pdf,57,gpt-4o-mini,extract,no_amount,,,,
Belgium,1994,line_item,54,R. & D. OP NATIONAAL VLAK,R. & D. AT NATIONAL LEVEL,,"Toelagen aan de Koninklijke Vereniging voor Plantkunde van Belgié en aan het Centrum voor Toegepaste Biologie te Linter, evenals bijdragen voor deelname aan de aansluiting bij nationale verenigingen met wetenschappelijk karakter.","Subsidies to the Royal Society of Botany of Belgium and to the Center for Applied Biology in Linter, as well as contributions for participation in the affiliation with national associations of a scientific nature.",,,,direct_rd,review,0.4,1994 10_1.pdf,57,gpt-4o-mini,extract,no_amount,,,,
Belgium,1994,line_item,54,R. & D. OP INTERNATIONAAL VLAK,R. & D. AT INTERNATIONAL LEVEL,,Bijdrage of aandeel in de werkingskosten van internationale organisaties in het buitenland.,Contribution or share in the operating costs of international organizations abroad.,,,,direct_rd,review,0.4,1994 10_1.pdf,58,gpt-4o-mini,extract,no_amount,,,,
Belgium,1994,program_total,54,R. & D. OP INTERNATIONAAL VLAK,R. & D. AT INTERNATIONAL LEVEL,,PROGRAMMA 54/2 - R. & D. OP INTERNATIONAAL VLAK. STUDIEVERGADERINGEN EN INTERNATIONALE SAMENWERKING,PROGRAM 54/2 - R. & D. AT INTERNATIONAL LEVEL. STUDY MEETINGS AND INTERNATIONAL COOPERATION,,,,direct_rd,review,0.4,1994 10_1.pdf,58,gpt-4o-mini,extract,no_amount,,,,
Belgium,1994,line_item,PROGRAMMA 10/1,R. & D. OP NATIONAAL VLAK,R. & D. AT NATIONAL LEVEL,,Subsidie aan het Interuniversitair Instituut voor Kernwetenschappen (LLK.W.),Subsidy to the Interuniversity Institute for Nuclear Sciences (I.I.S.N.),,,,direct_rd,review,0.4,1994 10_1.pdf,61,gpt-4o-mini,extract,no_amount,,,,
