year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
1994,BELSPO / Belgian Federal Science Policy,rd_ministry,6121300000.0,franc,BEF,verified_override,1995 16_1.pdf,87,Data/input/finance_bills/Belgium/1995 16_1.pdf,,Verified 1994 voted amount for international R&D in Federal Science Policy from the 1995 budget table,verified_against_original_file,,,"gap: no matching rows in this year; manual override from original Belgium budget file (1995 table, 1994 voted column)"
1995,BELSPO / Belgian Federal Science Policy,rd_ministry,6288000000.0,franc,BEF,program_total,1995 16_1.pdf,87,Data/input/finance_bills/Belgium/1995 16_1.pdf,,Research and development within the international framework,covered_by_final_series,,,
1995,Scientific Institute of Public Health / Louis Pasteur,science_agency,333600000.0,franc,BEF,verified_override,1995 16_1.pdf,168,Data/input/finance_bills/Belgium/1995 16_1.pdf,,Verified Belgium science-policy amount from the original budget table,verified_against_original_file,,,gap: no matching rows in this year; manual override from original Belgium budget file
1996,BELSPO / Belgian Federal Science Policy,rd_ministry,1670000000.0,franc,BEF,line_item,1996 30_4.pdf,96,Data/input/finance_bills/Belgium/1996 30_4.pdf,,Actions to promote scientific policy and technological innovation.,covered_by_final_series,,,
1996,FNRS,science_agency,2862000000.0,franc,BEF,line_item,1996 30_4.pdf,96,Data/input/finance_bills/Belgium/1996 30_4.pdf,,Subsidy to the National Foundation for the Financing of Scientific Research for the repayment of the capital and interest of the issued loans.,covered_by_final_series,,,
1996,Institute of Radioelements (IRE),science_agency,25300000.0,franc,BEF,line_item,1996 30_4.pdf,506,Data/input/finance_bills/Belgium/1996 30_4.pdf,,Subsidy to the Institute of Radioelements (I.R.E.),covered_by_final_series,,,
1996,SCK CEN,science_agency,1446900000.0,franc,BEF,line_item,1996 30_4.pdf,506,Data/input/finance_bills/Belgium/1996 30_4.pdf,,Subsidy to the Nuclear Energy Study Centre (C.E.N.),covered_by_final_series,,,
1997,BELSPO / Belgian Federal Science Policy,rd_ministry,5835500000.0,franc,BEF,line_item,1997 12_2.pdf,72,Data/input/finance_bills/Belgium/1997 12_2.pdf,,Expenses of all kinds related to Belgium's participation in the European Space Agency.,covered_by_final_series,,,
1997,Deep Geological Structure Research,direct_rd,35000000.0,franc,BEF,line_item,1997 12_2.pdf,450,Data/input/finance_bills/Belgium/1997 12_2.pdf,,Research on deep geological structure problems (geological drilling),covered_by_final_series,,,"This research addresses geological issues, which are relevant to R&D."
1997,FNRS,science_agency,275800000.0,franc,BEF,line_item,1997 12_2.pdf,66,Data/input/finance_bills/Belgium/1997 12_2.pdf,,Subsidy to the National Foundation for Scientific Research to cover the repayment of capital and interest on issued loans.,covered_by_final_series,,,
