source_file,pdf_path,full_text_cache,selected_rows,selected_canonicals,selected_pages,selected_line_descriptions,selected_amounts,traceability_status,source_audit_note
1993 08_1.pdf,Data/input/finance_bills/Belgium/1993 08_1.pdf,,0,,,,,not_used_in_final_series,
1994 10_1.pdf,Data/input/finance_bills/Belgium/1994 10_1.pdf,,0,,,,,not_used_in_final_series,
1995 16_1.pdf,Data/input/finance_bills/Belgium/1995 16_1.pdf,,3,BELSPO / Belgian Federal Science Policy | BELSPO / Belgian Federal Science Policy | Scientific Institute of Public Health / Louis Pasteur,87 | 87 | 168,Verified 1994 voted amount for international R&D in Federal Science Policy from the 1995 budget table | Research and development within the international framework | Verified Belgium science-policy amount from the original budget table,6121300000.0 | 6288000000.0 | 333600000.0,covered_by_final_series,
1996 30_4.pdf,Data/input/finance_bills/Belgium/1996 30_4.pdf,,4,BELSPO / Belgian Federal Science Policy | FNRS | Institute of Radioelements (IRE) | SCK CEN,96 | 96 | 506 | 506,Actions to promote scientific policy and technological innovation. | Subsidy to the National Foundation for the Financing of Scientific Research for the repayment of the capital and interest of the issued loans. | Subsidy to the Institute of Radioelements (I.R.E.) | Subsidy to the Nuclear Energy Study Centre (C.E.N.),1670000000.0 | 2862000000.0 | 25300000.0 | 1446900000.0,covered_by_final_series,
1997 12_2.pdf,Data/input/finance_bills/Belgium/1997 12_2.pdf,,6,BELSPO / Belgian Federal Science Policy | Deep Geological Structure Research | FNRS | Human Genetics Centers | Institute of Radioelements (IRE) | SCK CEN,72 | 450 | 66 | 388 | 450 | 450,Expenses of all kinds related to Belgium's participation in the European Space Agency. | Research on deep geological structure problems (geological drilling) | Subsidy to the National Foundation for Scientific Research to cover the repayment of capital and interest on issued loans. | Human genetics centers | Subsidy to the Institute of Radioelements (I.R.E.) | Subsidy to the Nuclear Energy Study Centre (C.E.N.),5835500000.0 | 35000000.0 | 275800000.0 | 39000000.0 | 25500000.0 | 1464000000.0,covered_by_final_series,
1998 12_2.pdf,Data/input/finance_bills/Belgium/1998 12_2.pdf,,0,,,,,not_used_in_final_series,
1999 03_2.pdf,Data/input/finance_bills/Belgium/1999 03_2.pdf,,3,BELSPO / Belgian Federal Science Policy | BELSPO / Belgian Federal Science Policy | FNRS,72 | 72 | 67,Verified 1998 adjusted amount for Belgium's ESA / international R&D programme from the 1999 budget table | Verified 1999 total for Belgium's international R&D / ESA programme from the original budget table | Subsidy to the National Foundation for Scientific Research to cover the repayment of capital and interest on issued loans,5793800000.0 | 6803200000.0 | 274600000.0,covered_by_final_series,
2000 Belgium 50K0197001.pdf,Data/input/finance_bills/Belgium/2000 Belgium 50K0197001.pdf,,0,,,,,not_used_in_final_series,
2000 Belgium 50K0198001.pdf,Data/input/finance_bills/Belgium/2000 Belgium 50K0198001.pdf,,0,,,,,not_used_in_final_series,
2001 Belgium 50K0904001.pdf,Data/input/finance_bills/Belgium/2001 Belgium 50K0904001.pdf,,0,,,,,not_used_in_final_series,
