country,year,source_file,page_number,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,amount_prior,unit,currency,rd_category,decision,confidence,llm_model,extraction_pass,notes
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,AFFAIRES INDIENNES ET NORD CANADIEN BUREAU DE LA DIVERSIFICATION DE L'OUEST,AFFAIRES INDIENNES ET NORD CANADIEN BUREAU DE LA DIVERSIFICATION DE L'OUEST,,AFFAIRES INDIENNES ET NORD CANADIEN BUREAU DE LA DIVERSIFICATION DE L'OUEST,AFFAIRES INDIENNES ET NORD CANADIEN BUREAU DE LA DIVERSIFICATION DE L'OUEST,100548.0,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,AGENCE DES PERSPECTIVES DE L'ATLANTIQUE,AGENCE DES PERSPECTIVES DE L'ATLANTIQUE,,AGENCE DES PERSPECTIVES DE L'ATLANTIQUE,AGENCE DES PERSPECTIVES DE L'ATLANTIQUE,126611.0,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,AUTRES LOIS D'INTÉRÊT PUBLIC ET LEURS MODIFICATIONS DE 1907 AU 31 DÉCEMBRE 1987.*,AUTRES LOIS D'INTÉRÊT PUBLIC ET LEURS MODIFICATIONS DE 1907 AU 31 DÉCEMBRE 1987.*,,AUTRES LOIS D'INTÉRÊT PUBLIC ET LEURS MODIFICATIONS DE 1907 AU 31 DÉCEMBRE 1987.*,AUTRES LOIS D'INTÉRÊT PUBLIC ET LEURS MODIFICATIONS DE 1907 AU 31 DÉCEMBRE 1987.*,1.97,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,CANADIAN FORESTRY SERVICE PROGRAM,CANADIAN FORESTRY SERVICE PROGRAM,,CANADIAN FORESTRY SERVICE PROGRAM,CANADIAN FORESTRY SERVICE PROGRAM,66070.703,,thousand,CAD,direct_rd,include,0.9,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,CHAMBRE DES COMMUNES,CHAMBRE DES COMMUNES,,CHAMBRE DES COMMUNES,CHAMBRE DES COMMUNES,10607.84,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,COMMISSION D'ÉNERGIE DU NORD CANADIEN,COMMISSION D'ÉNERGIE DU NORD CANADIEN,,COMMISSION D'ÉNERGIE DU NORD CANADIEN,COMMISSION D'ÉNERGIE DU NORD CANADIEN,13040.0,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,COMMUNICATIONS,COMMUNICATIONS,,COMMUNICATIONS,COMMUNICATIONS,8007.658,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,CONDITION FÉMININE—BUREAU DE LA COORDONNATRICE,CONDITION FÉMININE—BUREAU DE LA COORDONNATRICE,,CONDITION FÉMININE—BUREAU DE LA COORDONNATRICE,CONDITION FÉMININE—BUREAU DE LA COORDONNATRICE,10500.0,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,CONSEIL NATIONAL DE RECHERCHES DU CANADA,CONSEIL NATIONAL DE RECHERCHES DU CANADA,,CONSEIL NATIONAL DE RECHERCHES DU CANADA,CONSEIL NATIONAL DE RECHERCHES DU CANADA,70531.68,,thousand,CAD,science_agency,include,0.9,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,DORS/61-359,DORS/61-359,,DORS/61-359,DORS/61-359,1.985,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Canada,1987,pdf_166108b13afc__1987-3.txt,0,section_total,,"EEV, 1980-81-82-83,","EEV, 1980-81-82-83,",,"EEV, 1980-81-82-83,","EEV, 1980-81-82-83,",38.56,,thousand,CAD,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
