country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Canada,1987,AECL / Canadian Nuclear Laboratories,science_agency,,,,,,,,gap: no matching rows in this year
Canada,1988,AECL / Canadian Nuclear Laboratories,science_agency,,,,,,,,gap: no matching rows in this year
Canada,1989,AECL / Canadian Nuclear Laboratories,science_agency,125713000.0,dollar,CAD,section_total,"ÉNERGIE ATOMIQUE DU CANADA, LIMITÉE",pdf_cc4accfe073d__1989-1.txt,0,AECL privatised operations to CNL in 2015; federal appropriation continues.
Canada,1990,AECL / Canadian Nuclear Laboratories,science_agency,,,,,,,,gap: no matching rows in this year
Canada,1991,AECL / Canadian Nuclear Laboratories,science_agency,38320500.0,dollar,CAD,section_total,ATOMIC ENERGY OF CANADA LIMITED,pdf_df6419e6eefa__1991-1.txt,0,AECL privatised operations to CNL in 2015; federal appropriation continues.
Canada,1992,AECL / Canadian Nuclear Laboratories,science_agency,6100000.0,dollar,CAD,section_total,"ÉNERGIE ATOMIQUE DU CANADA, LIMITÉE",pdf_f8b3524f77eb__1992-2.txt,0,AECL privatised operations to CNL in 2015; federal appropriation continues.
Canada,1993,AECL / Canadian Nuclear Laboratories,science_agency,466410000.0,dollar,CAD,section_total,ATOMIC ENERGY OF CANADA LIMITED,pdf_f8ec88f20e98__1993-2.txt,0,AECL privatised operations to CNL in 2015; federal appropriation continues.
Canada,1994,AECL / Canadian Nuclear Laboratories,science_agency,79628862.0,dollar,CAD,section_total,AECL / Canadian Nuclear Laboratories,1994-4.pdf,25,AECL privatised operations to CNL in 2015; federal appropriation continues.
Canada,1995,AECL / Canadian Nuclear Laboratories,science_agency,,,,,,,,gap: no matching rows in this year
Canada,1996,AECL / Canadian Nuclear Laboratories,science_agency,40233000.0,dollar,CAD,section_total,ATOMIC ENERGY OF CANADA LIMITED,pdf_794e5cdc9ba6__1996-2.txt,0,AECL privatised operations to CNL in 2015; federal appropriation continues.
Canada,1997,AECL / Canadian Nuclear Laboratories,science_agency,,,,,,,,gap: no matching rows in this year
Canada,1998,AECL / Canadian Nuclear Laboratories,science_agency,38397000.0,dollar,CAD,section_total,ATOMIC ENERGY OF CANADA LIMITED,pdf_3f43627833fd__1998-1.txt,0,AECL privatised operations to CNL in 2015; federal appropriation continues.
Canada,1999,AECL / Canadian Nuclear Laboratories,science_agency,135449000.0,dollar,CAD,section_total,"ÉNERGIE ATOMIQUE DU CANADA, LIMITÉE",pdf_c352f666d27c__1999-1.txt,0,AECL privatised operations to CNL in 2015; federal appropriation continues.
Canada,2000,AECL / Canadian Nuclear Laboratories,science_agency,44455000.0,dollar,CAD,section_total,ATOMIC ENERGY OF CANADA LIMITED,pdf_063218f608ee__2000_1_YX2-2000-1.txt,0,AECL privatised operations to CNL in 2015; federal appropriation continues.
Canada,2001,AECL / Canadian Nuclear Laboratories,science_agency,,,,,,,,gap: no matching rows in this year
