country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Canada,AECL / Canadian Nuclear Laboratories,1987,,,0,,gap,,,science_agency
Canada,AECL / Canadian Nuclear Laboratories,1988,,,0,,gap,,,science_agency
Canada,AECL / Canadian Nuclear Laboratories,1989,125713000.0,125713000.0,1,pdf_cc4accfe073d__1989-1.txt,single,CAD,dollar,science_agency
Canada,AECL / Canadian Nuclear Laboratories,1990,,,0,,gap,,,science_agency
Canada,AECL / Canadian Nuclear Laboratories,1991,38320500.0,38320500.0,1,pdf_df6419e6eefa__1991-1.txt,single,CAD,dollar,science_agency
Canada,AECL / Canadian Nuclear Laboratories,1992,6100000.0,6100000.0,1,pdf_f8b3524f77eb__1992-2.txt,single,CAD,dollar,science_agency
Canada,AECL / Canadian Nuclear Laboratories,1993,466410000.0,466410000.0,1,pdf_f8ec88f20e98__1993-2.txt,single,CAD,dollar,science_agency
Canada,AECL / Canadian Nuclear Laboratories,1994,79628862.0,79628862.0,1,1994-4.pdf,single,CAD,dollar,science_agency
Canada,AECL / Canadian Nuclear Laboratories,1995,,,0,,gap,,,science_agency
Canada,AECL / Canadian Nuclear Laboratories,1996,40233000.0,40233000.0,1,pdf_794e5cdc9ba6__1996-2.txt,single,CAD,dollar,science_agency
Canada,AECL / Canadian Nuclear Laboratories,1997,,,0,,gap,,,science_agency
Canada,AECL / Canadian Nuclear Laboratories,1998,38397000.0,38397000.0,1,pdf_3f43627833fd__1998-1.txt,single,CAD,dollar,science_agency
Canada,AECL / Canadian Nuclear Laboratories,1999,135449000.0,135449000.0,1,pdf_c352f666d27c__1999-1.txt,single,CAD,dollar,science_agency
Canada,AECL / Canadian Nuclear Laboratories,2000,44455000.0,44455000.0,1,pdf_063218f608ee__2000_1_YX2-2000-1.txt,single,CAD,dollar,science_agency
Canada,AECL / Canadian Nuclear Laboratories,2001,,,0,,gap,,,science_agency
