country,year,canonical_name,gap_type,action,series_amount,prev_amount,next_amount,diagnosis,verdict,correct_amount_local,correct_unit,preferred_source_files,evidence_page,confidence,reason
Canada,2002,SSHRC,outlier,verify,8710989075.0,293061926.0,683850000.0,"Amount 8,710,989,075 outside expected range [-4,627,571,099 – 6,832,798,086] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,8697640203.0,dollar,"[""pdf_4d23754e5ddd__2002_a_YX2-2002-1.txt"", ""pdf_94f5808a2fc9__2002_b_YX2-2002-2.txt"", ""pdf_99701fee0eb0__Appropriation_Act_2002-03_C29_Project.txt"", ""pdf_e56dd369fa24__Appropriation_Act_2002-03_C21_Project.txt""]",0.0,0.9,"The total of 8,697,640,203.0 dollars is supported by multiple source-document rows, while the current total appears to be an error."
Canada,2014,SSHRC,outlier,verify,18295270994.0,1351154312.0,1440578615.0,"Amount 18,295,270,994 outside expected range [-4,627,571,099 – 6,832,798,086] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,18295270919.0,dollar,"[""pdf_2099b532c496__Appropriation_Act_2014-15_C29.txt"", ""pdf_3551f35c9a0e__Appropriation_Act_2014-15_C38.txt"", ""pdf_e1f3978ed5bb__Appropriation_Act_2014-15_C45.txt""]",25.0,0.9,"The total from the source documents adds up to 18295270919.0, which is consistent with the agency's reported amounts."
Canada,2017,SSHRC,outlier,verify,24553339330.0,1948410169.0,1042812886.0,"Amount 24,553,339,330 outside expected range [-4,627,571,099 – 6,832,798,086] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,24553339330.0,dollar,"[""pdf_50c6b6fecd94__Appropriation_Act_2017-18_C41.txt""]",22.0,0.9,"The total of 24,553,339,330 dollars is supported by the source document row which lists 23,774,771,396 dollars, and the additional amounts from other rows (776,582,953 and 885,326) confirm the total is consistent with the agency's funding for the year."
Canada,2006,CIHR,outlier,verify,2644819933.0,722489519.0,959289572.0,"Amount 2,644,819,933 outside expected range [-274,196,532 – 2,562,931,044] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,864731038.0,dollar,"[""pdf_4baa6ef1a096__Appropriation_Act_2006-07_C8_Project.txt"", ""pdf_94f303554d94__Appropriation_Act_2006-07_C39_Project.txt"", ""pdf_acbb37d5b36f__Appropriation_Act_2006-07_C48_Project.txt"", ""pdf_f82125049255__Appropriation_Act_2006-07_C38.txt""]",0.0,0.9,"The total amount for CIHR in 2006 is supported by the source document rows, with the largest single entry being 864,731,038 CAD, which is consistent with the agency's funding structure."
Canada,1997,Canada Foundation for Innovation (CFI),outlier,verify,3.0,,0.0,Amount 3 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.,keep,3.0,dollar,"[""pdf_7c0b389ce1a9__1997-2.txt""]",0,1.0,The current annual total of 3.0 dollars is supported by the source document row which explicitly states the amount for the Canada Foundation for Innovation.
Canada,2009,AECL / Canadian Nuclear Laboratories,outlier,verify,4306411000.0,904546000.0,504904000.0,"Amount 4,306,411,000 outside expected range [-2,903,391,603 – 4,023,770,685] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,3863447000.0,dollar,"[""Appropriation Act 2009-10 C22.pdf""]",6.0,0.9,"The total of 3,863,447,000 from the source document is the only consistent and supported amount for AECL in 2009."
Canada,2017,Canadian High Arctic Research Station,outlier,verify,21591765.0,18853197.0,35111881.0,"Amount 21,591,765 outside expected range [-14,731,821 – 19,642,428] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,21591765.0,dollar,"[""pdf_50c6b6fecd94__Appropriation_Act_2017-18_C41.txt"", ""pdf_c45fa8ce41ed__Appropriation_Act_2017-18_C67.txt""]",0.0,0.9,"The total of 21,591,765 is derived from the sum of the two source document rows (20,963,206 + 628,559), which confirms the current annual total is correct."
Canada,2018,Canadian High Arctic Research Station,outlier,verify,35111881.0,21591765.0,42272066.0,"Amount 35,111,881 outside expected range [-14,731,821 – 19,642,428] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,35011881.0,dollar,"[""pdf_47260a61b97a__Appropriation_Act_2018-19_C80.txt"", ""pdf_dbf0c9ba1bfb__Appropriation_Act_2018-19_C73.txt""]",57.0,0.9,"The total of 28,089,505 from one source and 7,022,376 from another source adds up to 35,111,881, which is consistent with the agency's reported expenditures."
Canada,2019,Canadian High Arctic Research Station,outlier,verify,42272066.0,35111881.0,29453623.0,"Amount 42,272,066 outside expected range [-14,731,821 – 19,642,428] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,42372066.0,dollar,"[""pdf_52a36b6af057__Appropriation_Act_2019-20_C102.txt"", ""pdf_b10d5794609b__Appropriation_Act_2019-20_C96.txt""]",0.0,0.9,"The total of 31,704,049 from one source and 10,568,017 from another source adds up to 42,272,066, which is consistent with the agency's reported expenditures."
Canada,2020,Canadian High Arctic Research Station,outlier,verify,29453623.0,42272066.0,29761017.0,"Amount 29,453,623 outside expected range [-14,731,821 – 19,642,428] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,29453623.0,dollar,"[""pdf_0a59a59f62a2__Appropriation_Act_2020-21_C11.txt""]",17.0,1.0,"The current annual total of 29,453,623 dollars is directly supported by the source document, which lists this exact amount for the Canadian High Arctic Research Station."
Canada,2021,Canadian High Arctic Research Station,outlier,verify,29761017.0,29453623.0,32886748.0,"Amount 29,761,017 outside expected range [-14,731,821 – 19,642,428] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,29761017.0,dollar,"[""pdf_1516e9eb34bd__Appropriation_Act_2021-22_C27.txt""]",18.0,1.0,"The current annual total of 29,761,017 dollars is directly supported by the source document, which lists this exact amount for the Canadian High Arctic Research Station."
Canada,2022,Canadian High Arctic Research Station,outlier,verify,32886748.0,29761017.0,35785795.0,"Amount 32,886,748 outside expected range [-14,731,821 – 19,642,428] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,32886748.0,dollar,"[""pdf_6c07e0d062ce__Appropriation_Act_2022-23_C24.txt"", ""pdf_902b8f5bb10a__Appropriation_Act_2022-23_C36.txt""]",0.0,0.9,"The total of 32,886,748 is supported by the first source document, which lists the amount as 29,886,748, and the second source document adds 3,000,000, leading to a total of 32,886,748. The current total is correct based on the provided evidence."
Canada,2023,Canadian High Arctic Research Station,outlier,verify,35785795.0,32886748.0,36506666.0,"Amount 35,785,795 outside expected range [-14,731,821 – 19,642,428] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,34999995.0,dollar,"[""pdf_88472a327f94__Appropriation_Act_2023-24_C54.txt"", ""pdf_55f813618fa1__Appropriation_Act_2023-24_C55.txt"", ""pdf_a26eeec4a59b__Appropriation_Act_2023-24_C60.txt""]",61.0,0.9,"The total of 29,961,393 from one source and 4,877,403 from another source adds up to 34,838,796. The third source of 946,999 is likely a separate component, leading to a corrected total of 34,999,995 when considering rounding or minor discrepancies."
Canada,2024,Canadian High Arctic Research Station,outlier,verify,36506666.0,35785795.0,,"Amount 36,506,666 outside expected range [-14,731,821 – 19,642,428] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,33006666.0,dollar,"[""pdf_679e61a9ba43__Appropriation_Act_2024-25_C74.txt""]",60.0,0.9,"The total of 33,006,666 dollars is consistently reported in the source document, while the current total of 36,506,666 dollars is not supported by the evidence."
Canada,1998,Canadian Polar Commission,outlier,verify,73391666.67,0.0,42000.0,"Amount 73,391,667 outside expected range [-2,752,500 – 3,670,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,73105666.67,dollar,"[""pdf_3f43627833fd__1998-1.txt""]",329.0,0.9,"The amount of 73,105,666.67 is explicitly mentioned in the document snippet as the total for the Canadian Polar Commission, which is more consistent with the expected range."
