country,year,source_file,run_status,run_log_rows_extracted,docx_results_rows,docx_audit_in_series_rows,extracted_entities,missing_agencies_from_queue,year_issue_label,year_document_change_flag,country_document_change_signal,document_change_note,diagnosis_excerpt,recommended_action
Chile,2001,2001_Ley de presupuestos.pdf,ran_with_rows,31,0,0,,Corporation for Technological Research,Needs targeted re-extraction,False,False,,Year not in raw_rows — documents may not be parsed yet,targeted_reextract; inspect original file/annex segmentation and OCR text layer
Chile,2001,pdf_4b53180aa4fb__2001_Ley_de_presupuestos.txt,not_in_run_log,0,14,8,Chilean Institute of Public Health | Chilean Nuclear Energy Commission | FIA (Chile) | Fisheries Research Fund | Forestry Institute | Fund for the Promotion of Science and Technology | IFOP | INACH (Instituto Antártico Chileno),Corporation for Technological Research,Needs targeted re-extraction,False,False,,Year not in raw_rows — documents may not be parsed yet,targeted_reextract; inspect original file/annex segmentation and OCR text layer
Chile,2002,2002_Ley de presupuestos.pdf,ran_with_rows,26,0,0,,INACH (Instituto Antártico Chileno),Needs targeted re-extraction,False,False,,Year not in raw_rows — documents may not be parsed yet,targeted_reextract; inspect original file/annex segmentation and OCR text layer
Chile,2002,pdf_1ceca0556d60__2002_Ley_de_presupuestos.txt,not_in_run_log,0,17,7,Chilean Institute of Public Health | Chilean Nuclear Energy Commission | FIA (Chile) | Fisheries Research Fund | Forestry Institute | Fund for the Promotion of Science and Technology | IFOP | INIA (Chile),INACH (Instituto Antártico Chileno),Needs targeted re-extraction,False,False,,Year not in raw_rows — documents may not be parsed yet,targeted_reextract; inspect original file/annex segmentation and OCR text layer
Chile,2003,2003_Ley de presupuestos.pdf,ran_with_rows,42,0,0,,Chilean Nuclear Energy Commission | FIA (Chile),Needs targeted re-extraction,False,False,,Year not in raw_rows — documents may not be parsed yet,targeted_reextract; inspect original file/annex segmentation and OCR text layer
Chile,2003,pdf_f3ec2daf2903__2003_Ley_de_presupuestos.txt,not_in_run_log,0,14,7,CONICYT / ANID | Chilean Institute of Public Health | Fisheries Research Fund | Forestry Institute | Fund for the Promotion of Science and Technology | IFOP | INACH (Instituto Antártico Chileno) | INIA (Chile),Chilean Nuclear Energy Commission | FIA (Chile),Needs targeted re-extraction,False,False,,Year not in raw_rows — documents may not be parsed yet,targeted_reextract; inspect original file/annex segmentation and OCR text layer
Chile,2004,2004_Ley de presupuestos.pdf,ran_with_rows,30,0,0,,Chilean Nuclear Energy Commission,Needs targeted re-extraction,False,False,,Year not in raw_rows — documents may not be parsed yet,targeted_reextract; inspect original file/annex segmentation and OCR text layer
Chile,2004,pdf_d20cea522b48__2004_Ley_de_presupuestos.txt,not_in_run_log,0,13,9,CONICYT / ANID | Chilean Institute of Public Health | FIA (Chile) | Fisheries Research Fund | Forestry Institute | Fund for the Promotion of Science and Technology | IFOP | INACH (Instituto Antártico Chileno),Chilean Nuclear Energy Commission,Needs targeted re-extraction,False,False,,Year not in raw_rows — documents may not be parsed yet,targeted_reextract; inspect original file/annex segmentation and OCR text layer
Chile,2005,2005_Ley de presupuestos.pdf,ran_with_rows,32,0,0,,FIA (Chile) | Fisheries Research Fund,Needs targeted re-extraction,False,False,,Year not in raw_rows — documents may not be parsed yet,targeted_reextract; inspect original file/annex segmentation and OCR text layer
Chile,2005,pdf_fd49be81e27e__2005_Ley_de_presupuestos.txt,not_in_run_log,0,13,7,CONICYT / ANID | Chilean Institute of Public Health | Forestry Institute | Fund for the Promotion of Science and Technology | IFOP | INACH (Instituto Antártico Chileno) | INIA (Chile),FIA (Chile) | Fisheries Research Fund,Needs targeted re-extraction,False,False,,Year not in raw_rows — documents may not be parsed yet,targeted_reextract; inspect original file/annex segmentation and OCR text layer
Chile,2006,2006_Ley de presupuestos.pdf,ran_with_rows,46,0,0,,Fund for the Promotion of Science and Technology,Needs targeted re-extraction,False,False,,Year not in raw_rows — documents may not be parsed yet,targeted_reextract; inspect original file/annex segmentation and OCR text layer
Chile,2006,pdf_cafaa6393595__2006_Ley_de_presupuestos.txt,not_in_run_log,0,15,8,CONICYT / ANID | CORFO innovation and technology funding | Chilean Institute of Public Health | FIA (Chile) | Fisheries Research Fund | Forestry Institute | IFOP | INACH (Instituto Antártico Chileno),Fund for the Promotion of Science and Technology,Needs targeted re-extraction,False,False,,Year not in raw_rows — documents may not be parsed yet,targeted_reextract; inspect original file/annex segmentation and OCR text layer
