country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Chile,2021,CICÍTEM - Corporation for Scientific and Technological Research for Mining,science_agency,546760000.0,peso,CLP,line_item,CICITEM - Scientific and Technological Research Center for Mining,pdf_a202d9a1404b__2021_Ley_de_presupuestos.txt,0.0,This corporation is dedicated to scientific and technological research in mining.
Chile,1999,CONICYT / ANID,science_agency,29475902000.0,peso,CLP,line_item,National Commission for Scientific and Technological Research,pdf_8636074d262c__1999_Ley_de_presupuestos.txt,0.0,
Chile,2000,CONICYT / ANID,science_agency,8354926000.0,peso,CLP,line_item,Fund for the Promotion of Science and Technology (FONDEF),pdf_ac8dfbecc451__2000_Ley_de_presupuestos.txt,0.0,
Chile,2001,CONICYT / ANID,science_agency,8755987000.0,peso,CLP,line_item,Fund for the Promotion of Science and Technology (FONDEF),pdf_4b53180aa4fb__2001_Ley_de_presupuestos.txt,0.0,
Chile,2002,CONICYT / ANID,science_agency,37655285000.0,peso,CLP,line_item,National Commission for Scientific and Technological Research,pdf_1ceca0556d60__2002_Ley_de_presupuestos.txt,0.0,
Chile,2003,CONICYT / ANID,science_agency,2511288000.0,peso,CLP,line_item,National Commission for Scientific and Technological Research,pdf_f3ec2daf2903__2003_Ley_de_presupuestos.txt,0.0,
Chile,2004,CONICYT / ANID,science_agency,38211277000.0,peso,CLP,line_item,National Commission for Scientific and Technological Research,pdf_d20cea522b48__2004_Ley_de_presupuestos.txt,0.0,
Chile,2005,CONICYT / ANID,science_agency,43886223000.0,peso,CLP,line_item,National Commission for Scientific and Technological Research,pdf_fd49be81e27e__2005_Ley_de_presupuestos.txt,0.0,
Chile,2006,CONICYT / ANID,science_agency,51688206000.0,peso,CLP,line_item,National Commission for Scientific and Technological Research,pdf_cafaa6393595__2006_Ley_de_presupuestos.txt,0.0,
Chile,2007,CONICYT / ANID,science_agency,14208430000.0,peso,CLP,line_item,Promotion of Science and Technology - CONICYT,pdf_f0c27e2c7274__2007_Ley_de_presupuestos.txt,0.0,
