country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Chile,308 UACH-GeneTAURUS - Superiority in Quality and Efficiency,2021,,,0,,gap,,,direct_rd
Chile,Agri-food Innovation Initiatives,2018,,,0,,gap,,,innovation_instruments
Chile,Antarctic Scientific Sample Preservation Platform,2019,,,0,,gap,,,direct_rd
Chile,Antarctic Thesis Program,2010,,,0,,gap,,,direct_rd
Chile,Antarctic Thesis Program,2011,,,0,,gap,,,direct_rd
Chile,Antarctic Thesis Program,2012,,,0,,gap,,,direct_rd
Chile,Antarctic Thesis Program,2013,,,0,,gap,,,direct_rd
Chile,Antarctic Thesis Program,2014,,,0,,gap,,,direct_rd
Chile,Antarctic Thesis Program,2015,,,0,,gap,,,direct_rd
Chile,Antarctic Thesis Program,2016,,,0,,gap,,,direct_rd
Chile,Antarctic Thesis Program,2017,,,0,,gap,,,direct_rd
Chile,Antarctic Thesis Program,2018,,,0,,gap,,,direct_rd
Chile,Antarctic Thesis Program,2019,,,0,,gap,,,direct_rd
Chile,Antarctic Thesis Program,2020,,,0,,gap,,,direct_rd
Chile,Antarctic Thesis Program,2021,,,0,,gap,,,direct_rd
Chile,Antarctic Thesis Program,2022,,,0,,gap,,,direct_rd
Chile,Antarctic Thesis Program,2023,,,0,,gap,,,direct_rd
Chile,Antarctic Thesis Program,2024,,,0,,gap,,,direct_rd
Chile,Astronomical Research Agreement - ESO/AUI/NAOJ,2009,,,0,,gap,,,direct_rd
Chile,Astronomical Research Agreement - ESO/AUI/NAOJ,2010,,,0,,gap,,,direct_rd
Chile,Astronomical Research Agreement - ESO/AUI/NAOJ,2011,,,0,,gap,,,direct_rd
Chile,Astronomical Research Agreement - ESO/AUI/NAOJ,2012,,,0,,gap,,,direct_rd
Chile,Business Innovation - CORFO,2009,,,0,,gap,,,innovation_instruments
Chile,Business Innovation - CORFO,2010,,,0,,gap,,,innovation_instruments
Chile,Business Innovation - CORFO,2011,,,0,,gap,,,innovation_instruments
Chile,Business Innovation - CORFO,2012,,,0,,gap,,,innovation_instruments
Chile,Business Innovation - CORFO,2013,,,0,,gap,,,innovation_instruments
Chile,Business Innovation - CORFO,2014,,,0,,gap,,,innovation_instruments
Chile,Business Innovation - CORFO,2015,,,0,,gap,,,innovation_instruments
Chile,Business Innovation - CORFO,2016,,,0,,gap,,,innovation_instruments
Chile,Business Innovation - CORFO,2017,,,0,,gap,,,innovation_instruments
Chile,Business Innovation - CORFO,2018,,,0,,gap,,,innovation_instruments
Chile,Business Innovation - CORFO,2019,,,0,,gap,,,innovation_instruments
Chile,Business Innovation - CORFO,2020,,,0,,gap,,,innovation_instruments
Chile,CICÍTEM - Corporation for Scientific and Technological Research for Mining,2021,546760000.0,546760000.0,1,pdf_a202d9a1404b__2021_Ley_de_presupuestos.txt,single,CLP,peso,science_agency
Chile,CONAF Agroforestry Systems Reforestation in Arauco Dunes,2017,,,0,,gap,,,direct_rd
Chile,CONAF Agroforestry Systems Reforestation in Arauco Dunes,2018,,,0,,gap,,,direct_rd
Chile,CONAF Agroforestry Systems Reforestation in Arauco Dunes,2019,,,0,,gap,,,direct_rd
Chile,CONAF Agroforestry Systems Reforestation in Arauco Dunes,2020,,,0,,gap,,,direct_rd
