country,year,canonical_name,category,gap_type,gap_subtype,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,series_currency,prev_amount,next_amount
Chile,1999,CONICYT / ANID,science_agency,ok,,,,,,none,29475902000.0,CLP,,8354926000.0
Chile,2000,CONICYT / ANID,science_agency,ok,,,,,,none,8354926000.0,CLP,29475902000.0,8755987000.0
Chile,2001,CONICYT / ANID,science_agency,ok,,,,,,none,8755987000.0,CLP,8354926000.0,37655285000.0
Chile,2002,CONICYT / ANID,science_agency,ok,,,,,,none,37655285000.0,CLP,8755987000.0,2511288000.0
Chile,2003,CONICYT / ANID,science_agency,ok,,,,,,none,2511288000.0,CLP,37655285000.0,38211277000.0
Chile,2004,CONICYT / ANID,science_agency,ok,,,,,,none,38211277000.0,CLP,2511288000.0,43886223000.0
Chile,2005,CONICYT / ANID,science_agency,ok,,,,,,none,43886223000.0,CLP,38211277000.0,51688206000.0
Chile,2006,CONICYT / ANID,science_agency,ok,,,,,,none,51688206000.0,CLP,43886223000.0,14208430000.0
Chile,2007,CONICYT / ANID,science_agency,ok,,,,,,none,14208430000.0,CLP,51688206000.0,13663246000.0
Chile,2008,CONICYT / ANID,science_agency,ok,,,,,,none,13663246000.0,CLP,14208430000.0,15217838000.0
Chile,2009,CONICYT / ANID,science_agency,ok,,,,,,none,15217838000.0,CLP,13663246000.0,116917838000.0
Chile,2010,CONICYT / ANID,science_agency,ok,,,,,,none,116917838000.0,CLP,15217838000.0,25540402000.0
Chile,2011,CONICYT / ANID,science_agency,ok,,,,,,none,25540402000.0,CLP,116917838000.0,145770177000.0
Chile,2012,CONICYT / ANID,science_agency,ok,,,,,,none,145770177000.0,CLP,25540402000.0,171607682000.0
Chile,2013,CONICYT / ANID,science_agency,ok,,,,,,none,171607682000.0,CLP,145770177000.0,177223363000.0
Chile,2014,CONICYT / ANID,science_agency,ok,,,,,,none,177223363000.0,CLP,171607682000.0,238856268000.0
Chile,2015,CONICYT / ANID,science_agency,ok,,,,,,none,238856268000.0,CLP,177223363000.0,255982757000.0
Chile,2016,CONICYT / ANID,science_agency,ok,,,,,,none,255982757000.0,CLP,238856268000.0,267254295000.0
Chile,2017,CONICYT / ANID,science_agency,ok,,,,,,none,267254295000.0,CLP,255982757000.0,277429910000.0
Chile,2018,CONICYT / ANID,science_agency,ok,,,,,,none,277429910000.0,CLP,267254295000.0,288300661000.0
Chile,2019,CONICYT / ANID,science_agency,ok,,,,,,none,288300661000.0,CLP,277429910000.0,304493223000.0
Chile,2020,CONICYT / ANID,science_agency,ok,,,,,,none,304493223000.0,CLP,288300661000.0,287533769000.0
Chile,2021,CONICYT / ANID,science_agency,ok,,,,,,none,287533769000.0,CLP,304493223000.0,300858107000.0
Chile,2022,CONICYT / ANID,science_agency,ok,,,,,,none,300858107000.0,CLP,287533769000.0,312088973000.0
