country,year,source_file,file_path,missing_agencies
Chile,1999,1999 LEY-19596_02-DIC-1998.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/1999 LEY-19596_02-DIC-1998.pdf,CORFO innovation and technology funding
Chile,1999,1999_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/1999_Ley de presupuestos.pdf,CORFO innovation and technology funding
Chile,2000,2000 LEY-19651_29-NOV-1999.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2000 LEY-19651_29-NOV-1999.pdf,CORFO innovation and technology funding
Chile,2000,2000_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2000_Ley de presupuestos.pdf,CORFO innovation and technology funding
Chile,2001,2001_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2001_Ley de presupuestos.pdf,CORFO innovation and technology funding
Chile,2002,2002_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2002_Ley de presupuestos.pdf,CORFO innovation and technology funding
Chile,2003,2003_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2003_Ley de presupuestos.pdf,CORFO innovation and technology funding
Chile,2004,2004_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2004_Ley de presupuestos.pdf,CORFO innovation and technology funding
Chile,2005,2005_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2005_Ley de presupuestos.pdf,CORFO innovation and technology funding
Chile,2006,2006_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2006_Ley de presupuestos.pdf,Fund for the Promotion of Science and Technology
Chile,2010,2010_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2010_Ley de presupuestos.pdf,Public Innovation Committee
Chile,2011,2011_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2011_Ley de presupuestos.pdf,Public Innovation Committee
Chile,2012,2012_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2012_Ley de presupuestos.pdf,Public Innovation Committee
Chile,2013,2013_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2013_Ley de presupuestos.pdf,Public Innovation Committee
Chile,2014,2014_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2014_Ley de presupuestos.pdf,Public Innovation Committee
Chile,2018,2018_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2018_Ley de presupuestos.pdf,Public Innovation Committee
Chile,2019,2019_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2019_Ley de presupuestos.pdf,Public Innovation Committee
Chile,2020,2020_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2020_Ley de presupuestos.pdf,Public Innovation Committee
Chile,2021,2021_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2021_Ley de presupuestos.pdf,Public Innovation Committee
Chile,2022,2022_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2022_Ley de presupuestos.pdf,Public Innovation Committee
Chile,2023,2023_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2023_Ley de presupuestos.pdf,Public Innovation Committee
Chile,2024,2024_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2024_Ley de presupuestos.pdf,Public Innovation Committee
Chile,2025,2025_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2025_Ley de presupuestos.pdf,Public Innovation Committee
Chile,2015,2015_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2015_Ley de presupuestos.pdf,Excellence Centers - CORFO
Chile,2016,2016_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2016_Ley de presupuestos.pdf,FIE-Innovation and R&D for Enterprises (Innova Committee)
Chile,2017,2017_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2017_Ley de presupuestos.pdf,Internationalization of the Innovative Effort
Chile,2009,2009_Ley de presupuestos.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Chile/2009_Ley de presupuestos.pdf,Business Innovation - CORFO
