canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",science_agency,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,DE LA CIENCIA Y LA TECNOLOGIA “FRANCISCO JOSE DE CALDAS” (COLCIENCIAS) A- INGRESOS CORRIENTES,4226203542.0,DE LA CIENCIA Y LA TECNOLOGIA “FRANCISCO JOSE DE CALDAS” (COLCIENCIAS) A- INGRESOS CORRIENTES,0,0,True
"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",science_agency,2004,pdf_70cd4b33da92__2004_Ley_848_de_2003.txt,"SECCION: 0320 INSTITUTO COLOMBIANO PARA EL DESARROLLO DE LA CIENCIA Y LA TECNOLOGÍA ""FRANCISCO JOSE DE CALDAS”- (COLCIENCIAS) A. PRESUPUESTO DE FUNCIONAMIENTO",6163171417.0,"SECCION: 0320 INSTITUTO COLOMBIANO PARA EL DESARROLLO DE LA CIENCIA Y LA TECNOLOGÍA ""FRANCISCO JOSE DE CALDAS”- (COLCIENCIAS) A. PRESUPUESTO DE FUNCIONAMIENTO",0,0,True
Colombian Institute of Geology and Mining,science_agency,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,"GEOCIENTIFICA, MINERO AMBIENTAL Y NUCLEAR - INGEOMINAS A- INGRESOS CORRIENTES",8525538000.0,"GEOCIENTIFICA, MINERO AMBIENTAL Y NUCLEAR - INGEOMINAS A- INGRESOS CORRIENTES",0,0,False
Colombian Institute of Geology and Mining,science_agency,2004,pdf_70cd4b33da92__2004_Ley_848_de_2003.txt,"SECCION: 2103 INSTITUTO DE INVESTIGACION E INFORMACION GEOCIENTIFICA, MINERO AMBIENTAL Y NUCLEAR- INGEOMINAS A. PRESUPUESTO DE FUNCIONAMIENTO",16070316100.0,"SECCION: 2103 INSTITUTO DE INVESTIGACION E INFORMACION GEOCIENTIFICA, MINERO AMBIENTAL Y NUCLEAR- INGEOMINAS A. PRESUPUESTO DE FUNCIONAMIENTO",0,0,False
Colombian Institute of Geology and Mining,science_agency,2005,pdf_99bcb6e78208__2005_Ley_921_de_2004.txt,"INSTITUTO DE INVESTIGACION E INFORMACION GEOCIENTIFICA, MINERO AMBIENTAL Y NUCLEAR – INGEOMINAS A. PRESUPUESTO DE FUNCIONAMIENTO.",26366112328.0,"INSTITUTO DE INVESTIGACION E INFORMACION GEOCIENTIFICA, MINERO AMBIENTAL Y NUCLEAR – INGEOMINAS A. PRESUPUESTO DE FUNCIONAMIENTO.",0,0,False
Colombian Institute of Geology and Mining,science_agency,2012,pdf_a443d53f4799__2012_Ley_1485_de_2011.txt,INSTITUTO COLOMBIANO DE GEOLOGÍA Y MINERÍA – INGEOMINAS A-INGRESOS CORRIENTES,168092662000.0,INSTITUTO COLOMBIANO DE GEOLOGÍA Y MINERÍA – INGEOMINAS A-INGRESOS CORRIENTES,0,0,True
ICA (Instituto Colombiano Agropecuario),science_agency,2004,pdf_70cd4b33da92__2004_Ley_848_de_2003.txt,SECCION: 1702 INSTITUTO COLOMBIANO AGROPECUARIO. (ICA) A. PRESUPUESTO DE FUNCIONAMIENTO,48644800000.0,SECCION: 1702 INSTITUTO COLOMBIANO AGROPECUARIO. (ICA) A. PRESUPUESTO DE FUNCIONAMIENTO,0,0,True
ICA (Instituto Colombiano Agropecuario),science_agency,2005,pdf_99bcb6e78208__2005_Ley_921_de_2004.txt,SECCION: 1702 INSTITUTO COLOMBIANO AGROPECUARIO (ICA) A. PRESUPUESTO DE FUNCIONAMIENTO.,51221600000.0,SECCION: 1702 INSTITUTO COLOMBIANO AGROPECUARIO (ICA) A. PRESUPUESTO DE FUNCIONAMIENTO.,0,0,True
ICA (Instituto Colombiano Agropecuario),science_agency,2012,pdf_a443d53f4799__2012_Ley_1485_de_2011.txt,INSTITUTO COLOMBIANO AGROPECUARIO (ICA) A-INGRESOS CORRIENTES,31462186000.0,INSTITUTO COLOMBIANO AGROPECUARIO (ICA) A-INGRESOS CORRIENTES,0,0,True
ICA (Instituto Colombiano Agropecuario),science_agency,2013,pdf_cc143adb1f77__2013_Ley_1593_de_2012.txt,BIANO AGROPECUARIO (ICA),33007894000.0,BIANO AGROPECUARIO (ICA),0,0,True
ICA (Instituto Colombiano Agropecuario),science_agency,2014,pdf_67c36bc2d740__2014_Ley_1687_de_2013.txt,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),70533300000.0,1702 INSTITUTO COLOMBIANO AGROPECUARIO (ICA),-1,-1,True
ICA (Instituto Colombiano Agropecuario),science_agency,2016,pdf_bedb3db21394__2016_Decreto_2550.txt,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),44886561958.0,1702 INSTITUTO COLOMBIANO AGROPECUARIO (ICA),-1,-1,True
ICA (Instituto Colombiano Agropecuario),science_agency,2018,pdf_13b9ce28bd17__2018_Ley_1873_de_2017.txt,SECCION: 1702 INSTITUTO COLOMBIANO AGROPECUARIO (ICA) A. PRESUPUESTO DE FUNCIONAMIENTO,104912194555.0,SECCION: 1702 INSTITUTO COLOMBIANO AGROPECUARIO (ICA) A. PRESUPUESTO DE FUNCIONAMIENTO,0,0,True
"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,AMBIENTALES- IDEAM A- INGRESOS CORRIENTES,2000000000.0,AMBIENTALES- IDEAM A- INGRESOS CORRIENTES,0,0,True
"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,2004,pdf_70cd4b33da92__2004_Ley_848_de_2003.txt,SECCION: 3202 INSTITUTO DE HIDROLOGIA. METEOROLOGIA Y ESTUDIOS AMBIENTALES-IDEAM A. PRESUPUESTO DE FUNCIONAMIENTO,21057246156.0,SECCION: 3202 INSTITUTO DE HIDROLOGIA. METEOROLOGIA Y ESTUDIOS AMBIENTALES-IDEAM A. PRESUPUESTO DE FUNCIONAMIENTO,0,0,True
"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,2005,pdf_99bcb6e78208__2005_Ley_921_de_2004.txt,"SECCION: 3202 INSTITUTO DE HIDROLOGIA, METEOROLOGIA Y ESTUDIOS AMBIENTALES- IDEAM A. PRESUPUESTO DE FUNCIONAMIENTO.",22517146961.0,"SECCION: 3202 INSTITUTO DE HIDROLOGIA, METEOROLOGIA Y ESTUDIOS AMBIENTALES- IDEAM A. PRESUPUESTO DE FUNCIONAMIENTO.",0,0,True
