country,year,source_file,page_number,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,amount_prior,unit,currency,rd_category,decision,confidence,llm_model,extraction_pass,notes
Colombia,1996,pdf_2508d1dcba32__1996_ley_0224_1995.txt,0,section_total,,CAPÍTULO III. DE LOS GASTOS.,CAPÍTULO III. DE LOS GASTOS.,,CAPÍTULO III. DE LOS GASTOS.,CAPÍTULO III. DE LOS GASTOS.,1989.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,1997,pdf_246cad5a98a3__1997_ley_0331_1996.txt,0,section_total,,CAPÍTULO III. DE LOS GASTOS,CAPÍTULO III. DE LOS GASTOS,,CAPÍTULO III. DE LOS GASTOS,CAPÍTULO III. DE LOS GASTOS,1989.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,1997,pdf_246cad5a98a3__1997_ley_0331_1996.txt,0,section_total,,CAPÍTULO IV. DE LAS VIGENCIAS FUTURAS,CAPÍTULO IV. DE LAS VIGENCIAS FUTURAS,,CAPÍTULO IV. DE LAS VIGENCIAS FUTURAS,CAPÍTULO IV. DE LAS VIGENCIAS FUTURAS,1998.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,1997,pdf_246cad5a98a3__1997_ley_0331_1996.txt,0,section_total,,CAPÍTULO VI. DISPOSICIONES VARIAS,CAPÍTULO VI. DISPOSICIONES VARIAS,,CAPÍTULO VI. DISPOSICIONES VARIAS,CAPÍTULO VI. DISPOSICIONES VARIAS,1995.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,1998,pdf_3126855ba4c5__1998_ley_0413_1997.txt,0,section_total,,CAPITULO III. DE LOS GASTOS,CAPITULO III. DE LOS GASTOS,,CAPITULO III. DE LOS GASTOS,CAPITULO III. DE LOS GASTOS,1989.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,1998,pdf_3126855ba4c5__1998_ley_0413_1997.txt,0,section_total,,INGRESOS CORRIENTES DE LA NACION,INGRESOS CORRIENTES DE LA NACION,,INGRESOS CORRIENTES DE LA NACION,INGRESOS CORRIENTES DE LA NACION,1.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,0,section_total,,A- INGRESOS CORRIENTES,A- INGRESOS CORRIENTES,,A- INGRESOS CORRIENTES,A- INGRESOS CORRIENTES,616135530000.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,0,section_total,,AC TUALIZACION DE INFORMAC ION PARA PROC ESAMIENTO,AC TUALIZACION DE INFORMAC ION PARA PROC ESAMIENTO,,AC TUALIZACION DE INFORMAC ION PARA PROC ESAMIENTO,AC TUALIZACION DE INFORMAC ION PARA PROC ESAMIENTO,102000000.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,0,section_total,,AC UEDUC TO Y ALC ANTARILLADO,AC UEDUC TO Y ALC ANTARILLADO,,AC UEDUC TO Y ALC ANTARILLADO,AC UEDUC TO Y ALC ANTARILLADO,12467500000.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,0,section_total,,ACTUALIZAC ION DE INFORMACIO N PARA PROC ESAMIENTO,ACTUALIZAC ION DE INFORMACIO N PARA PROC ESAMIENTO,,ACTUALIZAC ION DE INFORMACIO N PARA PROC ESAMIENTO,ACTUALIZAC ION DE INFORMACIO N PARA PROC ESAMIENTO,12078590000.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,0,section_total,,"ADMINISTRAC ION, C ONTROL Y ORGANIZAC IO N INSTITUCIONAL PARA APOYO A LA ADMINISTRAC ION DEL ESTADO","ADMINISTRAC ION, C ONTROL Y ORGANIZAC IO N INSTITUCIONAL PARA APOYO A LA ADMINISTRAC ION DEL ESTADO",,"ADMINISTRAC ION, C ONTROL Y ORGANIZAC IO N INSTITUCIONAL PARA APOYO A LA ADMINISTRAC ION DEL ESTADO","ADMINISTRAC ION, C ONTROL Y ORGANIZAC IO N INSTITUCIONAL PARA APOYO A LA ADMINISTRAC ION DEL ESTADO",5320000000.0,,unit,COP,unclear,review,0.6,docx_parser,docx_table,"Parsed from table 0, row 0"
Colombia,2002,pdf_85625e3f7481__2002_1455638231019_44655.txt,0,section_total,,"ADMINISTRAC ION, C ONTROL Y ORGANIZAC ION INSTITUCIONAL PARA APOYO A LA ADMINISTRAC ION DEL ESTADO","ADMINISTRAC ION, C ONTROL Y ORGANIZAC ION INSTITUCIONAL PARA APOYO A LA ADMINISTRAC ION DEL ESTADO",,"ADMINISTRAC ION, C ONTROL Y ORGANIZAC ION INSTITUCIONAL PARA APOYO A LA ADMINISTRAC ION DEL ESTADO","ADMINISTRAC ION, C ONTROL Y ORGANIZAC ION INSTITUCIONAL PARA APOYO A LA ADMINISTRAC ION DEL ESTADO",19548600000.0,,unit,COP,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 0, row 0"
