country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Colombia,AGROSAVIA / CORPOICA (agricultural research),1996,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),1997,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),1998,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2002,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2003,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2004,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2005,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2007,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2012,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2013,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2014,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2016,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2017,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2018,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2019,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2020,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2021,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2022,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2023,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2024,,,0,,gap,,,science_agency
Colombia,AGROSAVIA / CORPOICA (agricultural research),2025,,,0,,gap,,,science_agency
Colombia,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",1996,,,0,,gap,,,science_agency
Colombia,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",1997,,,0,,gap,,,science_agency
Colombia,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",1998,,,0,,gap,,,science_agency
Colombia,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",2002,4226203542.0,4226203542.0,1,pdf_85625e3f7481__2002_1455638231019_44655.txt,single,COP,unit,science_agency
Colombia,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",2003,,,0,,gap,,,science_agency
