year,canonical_name,amount_local,unit,currency,source_file,line_description_en,traceability_status,concern
2002,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",4226203542.0,unit,COP,pdf_85625e3f7481__2002_1455638231019_44655.txt,DE LA CIENCIA Y LA TECNOLOGIA “FRANCISCO JOSE DE CALDAS” (COLCIENCIAS) A- INGRESOS CORRIENTES,verified_strong,
2004,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",6163171417.0,unit,COP,pdf_70cd4b33da92__2004_Ley_848_de_2003.txt,"SECCION: 0320 INSTITUTO COLOMBIANO PARA EL DESARROLLO DE LA CIENCIA Y LA TECNOLOGÍA ""FRANCISCO JOSE DE CALDAS”- (COLCIENCIAS) A. PRESUPUESTO DE FUNCIONAMIENTO",verified_strong,
2012,Colombian Institute of Geology and Mining,168092662000.0,unit,COP,pdf_a443d53f4799__2012_Ley_1485_de_2011.txt,INSTITUTO COLOMBIANO DE GEOLOGÍA Y MINERÍA – INGEOMINAS A-INGRESOS CORRIENTES,review_broad_institution,"Traceable institutional budget, but broad institute total rather than an explicitly R&D-tagged sub-line."
2004,ICA (Instituto Colombiano Agropecuario),48644800000.0,unit,COP,pdf_70cd4b33da92__2004_Ley_848_de_2003.txt,SECCION: 1702 INSTITUTO COLOMBIANO AGROPECUARIO. (ICA) A. PRESUPUESTO DE FUNCIONAMIENTO,verified_strong,
2005,ICA (Instituto Colombiano Agropecuario),51221600000.0,unit,COP,pdf_99bcb6e78208__2005_Ley_921_de_2004.txt,SECCION: 1702 INSTITUTO COLOMBIANO AGROPECUARIO (ICA) A. PRESUPUESTO DE FUNCIONAMIENTO.,verified_strong,
2012,ICA (Instituto Colombiano Agropecuario),31462186000.0,unit,COP,pdf_a443d53f4799__2012_Ley_1485_de_2011.txt,INSTITUTO COLOMBIANO AGROPECUARIO (ICA) A-INGRESOS CORRIENTES,verified_strong,
2013,ICA (Instituto Colombiano Agropecuario),33007894000.0,unit,COP,pdf_cc143adb1f77__2013_Ley_1593_de_2012.txt,BIANO AGROPECUARIO (ICA),verified_strong,
2014,ICA (Instituto Colombiano Agropecuario),70533300000.0,unit,COP,pdf_67c36bc2d740__2014_Ley_1687_de_2013.txt,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),verified_component_sum,"Recovered from explicit component amounts in original text; traceable, but not always labelled TOTAL PRESUPUESTO."
2016,ICA (Instituto Colombiano Agropecuario),44886561958.0,unit,COP,pdf_bedb3db21394__2016_Decreto_2550.txt,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),verified_component_sum,"Recovered from explicit component amounts in original text; traceable, but not always labelled TOTAL PRESUPUESTO."
2018,ICA (Instituto Colombiano Agropecuario),104912194555.0,unit,COP,pdf_13b9ce28bd17__2018_Ley_1873_de_2017.txt,SECCION: 1702 INSTITUTO COLOMBIANO AGROPECUARIO (ICA) A. PRESUPUESTO DE FUNCIONAMIENTO,verified_strong,
2002,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",2000000000.0,unit,COP,pdf_85625e3f7481__2002_1455638231019_44655.txt,AMBIENTALES- IDEAM A- INGRESOS CORRIENTES,verified_strong,
2004,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",21057246156.0,unit,COP,pdf_70cd4b33da92__2004_Ley_848_de_2003.txt,SECCION: 3202 INSTITUTO DE HIDROLOGIA. METEOROLOGIA Y ESTUDIOS AMBIENTALES-IDEAM A. PRESUPUESTO DE FUNCIONAMIENTO,verified_strong,
2005,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",22517146961.0,unit,COP,pdf_99bcb6e78208__2005_Ley_921_de_2004.txt,"SECCION: 3202 INSTITUTO DE HIDROLOGIA, METEOROLOGIA Y ESTUDIOS AMBIENTALES- IDEAM A. PRESUPUESTO DE FUNCIONAMIENTO.",verified_strong,
2012,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",3400000000.0,unit,COP,pdf_a443d53f4799__2012_Ley_1485_de_2011.txt,"INSTITUTO DE HIDROLOGÍA, METEOROLOGÍA Y ESTUDIOS AMBIENTALES - IDEAM A-INGRESOS CORRIENTES",verified_strong,
2013,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",41226290000.0,unit,COP,pdf_cc143adb1f77__2013_Ley_1593_de_2012.txt,"ROLOGÍA, METEOROLOGÍA Y ESTUDIOS AMBIENTALES - IDEAM",verified_strong,
2014,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",8900415000.0,unit,COP,pdf_67c36bc2d740__2014_Ley_1687_de_2013.txt,IDEAM,verified_component_sum,"Recovered from explicit component amounts in original text; traceable, but not always labelled TOTAL PRESUPUESTO."
2016,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",6561994255.0,unit,COP,pdf_bedb3db21394__2016_Decreto_2550.txt,IDEAM,verified_component_sum,"Recovered from explicit component amounts in original text; traceable, but not always labelled TOTAL PRESUPUESTO."
2017,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",9695980000.0,unit,COP,pdf_76d96b1db776__2017_LEY_1815_DE_2016.txt,IDEAM,verified_component_sum,"Recovered from explicit component amounts in original text; traceable, but not always labelled TOTAL PRESUPUESTO."
2018,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",44340876000.0,unit,COP,pdf_13b9ce28bd17__2018_Ley_1873_de_2017.txt,"INSTITUTO DE HIDROLOGÍA, METEOROLOGÍA Y ESTUDIOS AMBIENTALES - IDEAM A. PRESUPUESTO DE FUNCIONAMIENTO",verified_strong,
2013,INM (Instituto Nacional de Metrología),807277000.0,unit,COP,pdf_cc143adb1f77__2013_Ley_1593_de_2012.txt,NAL DE METROLOGÍA - INM,verified_strong,
2014,INM (Instituto Nacional de Metrología),1200000000.0,unit,COP,pdf_67c36bc2d740__2014_Ley_1687_de_2013.txt,INSTITUTO NACIONAL DE METROLOGIA - INM,verified_component_sum,"Recovered from explicit component amounts in original text; traceable, but not always labelled TOTAL PRESUPUESTO."
2016,INM (Instituto Nacional de Metrología),2398740886.0,unit,COP,pdf_bedb3db21394__2016_Decreto_2550.txt,INSTITUTO NACIONAL DE METROLOGIA - INM,verified_component_sum,"Recovered from explicit component amounts in original text; traceable, but not always labelled TOTAL PRESUPUESTO."
2017,INM (Instituto Nacional de Metrología),1603000000.0,unit,COP,pdf_76d96b1db776__2017_LEY_1815_DE_2016.txt,INSTITUTO NACIONAL DE METROLOGIA - INM,verified_component_sum,"Recovered from explicit component amounts in original text; traceable, but not always labelled TOTAL PRESUPUESTO."
