country,year,source_file,file_path,missing_agencies
Colombia,1996,1996 ley_0224_1995.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/1996 ley_0224_1995.pdf,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)"
Colombia,1997,1997 ley_0331_1996.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/1997 ley_0331_1996.pdf,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)"
Colombia,1998,1998 ley_0413_1997.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/1998 ley_0413_1997.pdf,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)"
Colombia,2003,2003 LEY 780 DE 2002.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/2003 LEY 780 DE 2002.pdf,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)"
Colombia,2005,2005 Ley_921_de_2004.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/2005 Ley_921_de_2004.pdf,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)"
Colombia,2012,2012 Ley_1485_de_2011.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/2012 Ley_1485_de_2011.pdf,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)"
Colombia,2013,2013 Ley_1593_de_2012.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/2013 Ley_1593_de_2012.pdf,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)"
Colombia,2014,2014 Ley_1687_de_2013.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/2014 Ley_1687_de_2013.pdf,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)"
Colombia,2016,2016 LEY 1769 DE 2015.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/2016 LEY 1769 DE 2015.pdf,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)"
Colombia,2017,2017 LEY 1815 DE 2016.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/2017 LEY 1815 DE 2016.pdf,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)"
Colombia,2018,2018 Ley_1873_de_2017.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/2018 Ley_1873_de_2017.pdf,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)"
Colombia,2002,2002 1455638231019_44655.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/2002 1455638231019_44655.pdf,Fondo Francisco José de Caldas
Colombia,2004,2004 Ley_848_de_2003.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/2004 Ley_848_de_2003.pdf,Fondo Francisco José de Caldas
Colombia,2019,2019 Ley_1940_de_2018.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/2019 Ley_1940_de_2018.pdf,Fondo Francisco José de Caldas
Colombia,2020,2020 Ley_2008_de_2019_Ministerio_de_Hacienda_y_Crédito_Público.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/2020 Ley_2008_de_2019_Ministerio_de_Hacienda_y_Crédito_Público.pdf,Fondo Francisco José de Caldas
Colombia,2021,2021 Ley_2063_de_2020.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/2021 Ley_2063_de_2020.pdf,Fondo Francisco José de Caldas
Colombia,2022,2022 Ley_2159_de_2021.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/2022 Ley_2159_de_2021.pdf,Fondo Francisco José de Caldas
Colombia,2023,2023 Ley_2276_de_2022.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/2023 Ley_2276_de_2022.pdf,Fondo Francisco José de Caldas
Colombia,2024,2024 Ley_2342_de_2023.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/2024 Ley_2342_de_2023.pdf,Fondo Francisco José de Caldas
Colombia,2025,2025 Decreto_1523_de_2024.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Colombia/2025 Decreto_1523_de_2024.pdf,Fondo Francisco José de Caldas
