year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
1996,AGROSAVIA / CORPOICA (agricultural research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1996,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1996,Fondo Francisco José de Caldas,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1996,ICA (Instituto Colombiano Agropecuario),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1996,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1996,Instituto Nacional de Salud (Colombia),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1996,SENA — R&D and Innovation (Servicio Nacional de Aprendizaje),innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year; dropped after source audit: traceable but not a defensible final R&D appropriation
1997,AGROSAVIA / CORPOICA (agricultural research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1997,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1997,Fondo Francisco José de Caldas,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1997,ICA (Instituto Colombiano Agropecuario),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1997,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1997,Instituto Nacional de Salud (Colombia),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1997,SENA — R&D and Innovation (Servicio Nacional de Aprendizaje),innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year; dropped after source audit: traceable but not a defensible final R&D appropriation
1998,AGROSAVIA / CORPOICA (agricultural research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1998,"COLCIENCIAS (Departamento Administrativo de Ciencia, Tecnología e Innovación)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
