canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,2011,pdf_2cd269e29d69__2011_Ley_de_presupuesto.txt,CENTRO AGRONÓMICO TROPICAL DE INVESTIGACIÓN Y ENSEÑANZA(CATIE). (CUOTA ORDINARIA ANUAL. LEY,11805900.0,CENTRO AGRONÓMICO TROPICAL DE INVESTIGACIÓN Y ENSEÑANZA(CATIE). (CUOTA ORDINARIA ANUAL. LEY,0.0,0.0,True
CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,2017,2017_Tomo1_Ley de presupuesto.pdf,Cuota Ordinaria Anual CATIE,24759.0,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),363.0,182.0,True
CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,2010,2010_Ley de presupuesto.pdf,"CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TECNOLÓGICAS (CONICIT). (FONDO DE INCENTIVOS, EMPRESAS PRODUCTIVAS DE BIENES Y SERVICIOS, PÚBLICAS Y PRIVADAS, PERSONAS FÍSICAS O JURÍDICAS Y UNIVERSIDADES ESTATALES, LEY Nº 7169). (GASTO OPERATIVO).",650000000.0,MINIST.DE CIENCIA Y TECNOLOGIA,96.0,3.0,True
CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,2010,2010_Ley de presupuesto.pdf,CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TECNOLÓGICAS (CONICIT). (LEY Nº 5048 DEL 28 DE AGOSTO DE 1972). (PARA GASTO OPERATIVO).,101503500.0,MINIST.DE CIENCIA Y TECNOLOGIA,96.0,2.0,True
CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,2011,2011_Ley de presupuesto.pdf,Consejo Nacional para Investigaciones Científicas y Tecnológicas,12000000000.0,Consejo Nacional para Investigaciones Científicas y Tecnológicas,265.0,24.0,True
CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,2013,2013_Tomo5_Ley de presupuesto.pdf,CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TECNOLÓGICAS (CONICIT),1000100000.0,CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TECNOLÓGICAS (CONICIT),96.0,57.0,True
CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,2013,2013_Tomo6_Ley de presupuesto.pdf,Consejo Nacional para Investigaciones Científicas y Tecnológicas,1500000000.0,Consejo Nacional para Investigaciones Científicas y Tecnológicas,19.0,65.0,True
CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,2013,pdf_aa090ab603b8__2013_Tomo5_Ley_de_presupuesto.txt,CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TECNOLÓGICAS (CONICIT).,876300000.0,CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TECNOLÓGICAS (CONICIT).,0.0,0.0,True
CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,2014,2014_Tomo4_Ley de presupuesto.pdf,Consejo Nacional para Investigaciones Científicas y Tecnológicas,1000000000.0,Consejo Nacional para Investigaciones Científicas y Tecnológicas,112.0,85.0,True
CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,2014,pdf_4f4ae1d3c84d__2014_Tomo5_Ley_de_presupuesto.txt,CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TECNOLÓGICAS (CONICIT).,642232000.0,CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TECNOLÓGICAS (CONICIT).,0.0,0.0,True
