country,year,source_file,page_number,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,amount_prior,unit,currency,rd_category,decision,confidence,llm_model,extraction_pass,notes
Costa Rica,2010,2010_Ley de presupuesto.pdf,89.0,line_item,,INCIENSA (health and nutrition research),Capital Transfers,,Transferencias de capital,Capital Transfers,50000.0,,thousand,CRC,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 89.0, row 7.0"
Costa Rica,2010,2010_Ley de presupuesto.pdf,89.0,line_item,,INCIENSA (health and nutrition research),Gastos de operación,,Gastos de operación,Gastos de operación,154500.0,,thousand,CRC,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 89.0, row 6.0"
Costa Rica,2010,2010_Ley de presupuesto.pdf,89.0,line_item,,INCIENSA (health and nutrition research),Total Aumento del,,Total Aumento del,Total Aumento del,204500.0,,thousand,CRC,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 89.0, row 8.0"
Costa Rica,2010,2010_Ley de presupuesto.pdf,96.0,line_item,,MINIST.DE CIENCIA Y TECNOLOGIA,"ACADEMIA NACIONAL DE CIENCIAS. (PARA EL FORTALECIMIENTO DE PROGRAMAS DE CIENCIA Y TECNOLOGÍA, LEY N° 7169, ART. Nº 66, LEY Nº 7544). (PARA GASTO OPERATIVO).",,"ACADEMIA NACIONAL DE CIENCIAS. (PARA EL FORTALECIMIENTO DE PROGRAMAS DE CIENCIA Y TECNOLOGÍA, LEY N° 7169, ART. Nº 66, LEY Nº 7544). (PARA GASTO OPERATIVO).","ACADEMIA NACIONAL DE CIENCIAS. (PARA EL FORTALECIMIENTO DE PROGRAMAS DE CIENCIA Y TECNOLOGÍA, LEY N° 7169, ART. Nº 66, LEY Nº 7544). (PARA GASTO OPERATIVO).",32599258.0,,thousand,CRC,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 96.0, row 4.0"
Costa Rica,2010,2010_Ley de presupuesto.pdf,96.0,line_item,,MINIST.DE CIENCIA Y TECNOLOGIA,"CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TECNOLÓGICAS (CONICIT). (FONDO DE INCENTIVOS, EMPRESAS PRODUCTIVAS DE BIENES Y SERVICIOS, PÚBLICAS Y PRIVADAS, PERSONAS FÍSICAS O JURÍDICAS Y UNIVERSIDADES ESTATALES, LEY Nº 7169). (GASTO OPERATIVO).",,"CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TECNOLÓGICAS (CONICIT). (FONDO DE INCENTIVOS, EMPRESAS PRODUCTIVAS DE BIENES Y SERVICIOS, PÚBLICAS Y PRIVADAS, PERSONAS FÍSICAS O JURÍDICAS Y UNIVERSIDADES ESTATALES, LEY Nº 7169). (GASTO OPERATIVO).","CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TECNOLÓGICAS (CONICIT). (FONDO DE INCENTIVOS, EMPRESAS PRODUCTIVAS DE BIENES Y SERVICIOS, PÚBLICAS Y PRIVADAS, PERSONAS FÍSICAS O JURÍDICAS Y UNIVERSIDADES ESTATALES, LEY Nº 7169). (GASTO OPERATIVO).",650000000.0,,thousand,CRC,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 96.0, row 3.0"
Costa Rica,2010,2010_Ley de presupuesto.pdf,96.0,line_item,,MINIST.DE CIENCIA Y TECNOLOGIA,CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TECNOLÓGICAS (CONICIT). (LEY Nº 5048 DEL 28 DE AGOSTO DE 1972). (PARA GASTO OPERATIVO).,,CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TECNOLÓGICAS (CONICIT). (LEY Nº 5048 DEL 28 DE AGOSTO DE 1972). (PARA GASTO OPERATIVO).,CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TECNOLÓGICAS (CONICIT). (LEY Nº 5048 DEL 28 DE AGOSTO DE 1972). (PARA GASTO OPERATIVO).,101503500.0,,thousand,CRC,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 96.0, row 2.0"
Costa Rica,2010,2010_Ley de presupuesto.pdf,96.0,line_item,,MINIST.DE CIENCIA Y TECNOLOGIA,Coordination and Scientific and Technological Development,,COORDINACIÓN Y DES. CIENTÍF.Y TECNOLÓGICO,Coordination and Scientific and Technological Development,1066670758.0,,thousand,CRC,unclear,review,0.6,docx_parser,docx_table,"Parsed from table 96.0, row 1.0"
Costa Rica,2010,2010_Ley de presupuesto.pdf,96.0,section_total,,MINIST.DE CIENCIA Y TECNOLOGIA,MINIST.DE CIENCIA Y TECNOLOGIA,,MINIST.DE CIENCIA Y TECNOLOGIA,MINIST.DE CIENCIA Y TECNOLOGIA,880704229534.0,,thousand,CRC,unclear,review,0.6,docx_parser,docx_table,"Parsed from table 96.0, row 0.0"
Costa Rica,2010,2010_Ley de presupuesto.pdf,97.0,line_item,,MINIST.DE CIENCIA Y TECNOLOGIA,UNIVERSIDAD DE COSTA RICA. (PARA CONVENIO CITA/MAG/UCR/MICIT). (PARA GASTOS OPERATIVOS). (ARTÍCULO 7 DE LA LEY Nº 7169 DEL 1 DE AGOSTO DE 1990).,,UNIVERSIDAD DE COSTA RICA. (PARA CONVENIO CITA/MAG/UCR/MICIT). (PARA GASTOS OPERATIVOS). (ARTÍCULO 7 DE LA LEY Nº 7169 DEL 1 DE AGOSTO DE 1990).,UNIVERSIDAD DE COSTA RICA. (PARA CONVENIO CITA/MAG/UCR/MICIT). (PARA GASTOS OPERATIVOS). (ARTÍCULO 7 DE LA LEY Nº 7169 DEL 1 DE AGOSTO DE 1990).,13100000.0,,thousand,CRC,unclear,review,0.5,docx_parser,docx_table,"Parsed from table 97.0, row 5.0"
Costa Rica,2010,pdf_4c260828c63b__2010_Ley_de_presupuesto.txt,0.0,section_total,,"ACADEMIA NACIONAL DE CIENCIAS. (PARA EL FORTALECIMIENTO DE PROGRAMAS DE CIENCIA Y TECNOLOGÍA, LEY N° 7169,  ART. Nº 66, LEY Nº","ACADEMIA NACIONAL DE CIENCIAS. (PARA EL FORTALECIMIENTO DE PROGRAMAS DE CIENCIA Y TECNOLOGÍA, LEY N° 7169,  ART. Nº 66, LEY Nº",,"ACADEMIA NACIONAL DE CIENCIAS. (PARA EL FORTALECIMIENTO DE PROGRAMAS DE CIENCIA Y TECNOLOGÍA, LEY N° 7169,  ART. Nº 66, LEY Nº","ACADEMIA NACIONAL DE CIENCIAS. (PARA EL FORTALECIMIENTO DE PROGRAMAS DE CIENCIA Y TECNOLOGÍA, LEY N° 7169,  ART. Nº 66, LEY Nº",32599258.0,,thousand,CRC,science_agency,include,0.9,docx_parser,docx_table,"Parsed from table 0.0, row 0.0"
