country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Costa Rica,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),2010,,,0,,gap,,,science_agency
Costa Rica,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),2011,11805900000.0,11805900000.0,1,pdf_2cd269e29d69__2011_Ley_de_presupuesto.txt,single,CRC,colon,science_agency
Costa Rica,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),2012,,,0,,gap,,,science_agency
Costa Rica,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),2013,26000000000.0,26000000000.0,1,pdf_2ca1f7962cd2__2013_Tomo2_Ley_de_presupuesto.txt,single,CRC,colon,science_agency
Costa Rica,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),2014,,,0,,gap,,,science_agency
Costa Rica,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),2015,,,0,,gap,,,science_agency
Costa Rica,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),2016,,,0,,gap,,,science_agency
Costa Rica,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),2017,27510000000.0,27510000000.0,1,pdf_b7628d47c028__2017_Tomo1_Ley_de_presupuesto.txt,single,CRC,colon,science_agency
Costa Rica,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),2018,,,0,,gap,,,science_agency
Costa Rica,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),2019,,,0,,gap,,,science_agency
Costa Rica,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),2020,30550000000.0,30550000000.0,1,pdf_65d032f4c4ef__2020_Ley_de_presupuesto.txt,single,CRC,colon,science_agency
Costa Rica,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),2021,30600000000.0,30600000000.0,1,pdf_ac902c30ecd9__2021_Ley_de_presupuesto.txt,single,CRC,colon,science_agency
Costa Rica,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),2022,,,0,,gap,,,science_agency
Costa Rica,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),2023,,,0,,gap,,,science_agency
Costa Rica,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),2024,27090000000.0,27090000000.0,1,pdf_70b402f40a19__2024_Ley_de_presupuesto.txt,single,CRC,colon,science_agency
Costa Rica,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),2025,30100000000.0,30100000000.0,1,pdf_ef12aca9f998__2025_Ley_de_presupuesto.txt,single,CRC,colon,science_agency
Costa Rica,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),2010,751503500000.0,751503500000.0,1,pdf_4c260828c63b__2010_Ley_de_presupuesto.txt,single,CRC,colon,science_agency
Costa Rica,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),2011,,,0,,gap,,,science_agency
Costa Rica,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),2012,,,0,,gap,,,science_agency
Costa Rica,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),2013,,,0,,gap,,,science_agency
Costa Rica,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),2014,,,0,,gap,,,science_agency
Costa Rica,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),2015,,,0,,gap,,,science_agency
Costa Rica,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),2016,,,0,,gap,,,science_agency
Costa Rica,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),2017,,,0,,gap,,,science_agency
Costa Rica,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),2018,,,0,,gap,,,science_agency
Costa Rica,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),2019,,,0,,gap,,,science_agency
Costa Rica,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),2020,,,0,,gap,,,science_agency
Costa Rica,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),2021,1839934582000.0,1839934582000.0,1,pdf_ac902c30ecd9__2021_Ley_de_presupuesto.txt,single,CRC,colon,science_agency
Costa Rica,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),2022,,,0,,gap,,,science_agency
Costa Rica,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),2023,,,0,,gap,,,science_agency
Costa Rica,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),2024,,,0,,gap,,,science_agency
Costa Rica,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),2025,,,0,,gap,,,science_agency
Costa Rica,FEES (Fondo Especial de Educación Superior),2010,,,0,,gap,,,higher_education
Costa Rica,FEES (Fondo Especial de Educación Superior),2011,,,0,,gap,,,higher_education
Costa Rica,FEES (Fondo Especial de Educación Superior),2012,,,0,,gap,,,higher_education
Costa Rica,FEES (Fondo Especial de Educación Superior),2013,,,0,,gap,,,higher_education
Costa Rica,FEES (Fondo Especial de Educación Superior),2014,,,0,,gap,,,higher_education
Costa Rica,FEES (Fondo Especial de Educación Superior),2015,,,0,,gap,,,higher_education
Costa Rica,FEES (Fondo Especial de Educación Superior),2016,,,0,,gap,,,higher_education
Costa Rica,FEES (Fondo Especial de Educación Superior),2017,,,0,,gap,,,higher_education
Costa Rica,FEES (Fondo Especial de Educación Superior),2018,,,0,,gap,,,higher_education
Costa Rica,FEES (Fondo Especial de Educación Superior),2019,,,0,,gap,,,higher_education
Costa Rica,FEES (Fondo Especial de Educación Superior),2020,,,0,,gap,,,higher_education
Costa Rica,FEES (Fondo Especial de Educación Superior),2021,,,0,,gap,,,higher_education
Costa Rica,FEES (Fondo Especial de Educación Superior),2022,,,0,,gap,,,higher_education
Costa Rica,FEES (Fondo Especial de Educación Superior),2023,,,0,,gap,,,higher_education
Costa Rica,FEES (Fondo Especial de Educación Superior),2024,,,0,,gap,,,higher_education
Costa Rica,FEES (Fondo Especial de Educación Superior),2025,,,0,,gap,,,higher_education
Costa Rica,INCIENSA (health and nutrition research),2010,,,0,,gap,,,science_agency
Costa Rica,INCIENSA (health and nutrition research),2011,,,0,,gap,,,science_agency
Costa Rica,INCIENSA (health and nutrition research),2012,,,0,,gap,,,science_agency
