country,year,canonical_name,category,gap_type,gap_subtype,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,series_currency,prev_amount,next_amount
Costa Rica,2017,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,ok,,,,,,none,6753000922000.0,CRC,,5205572746000.0
Costa Rica,2021,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,ok,,,,,,none,5205572746000.0,CRC,6753000922000.0,8789530987000.0
Costa Rica,2024,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,ok,,,,,,none,8789530987000.0,CRC,5205572746000.0,7890373607000.0
Costa Rica,2025,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,ok,,,,,,none,7890373607000.0,CRC,8789530987000.0,
Costa Rica,2010,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,ok,,,,,,none,751503500000.0,CRC,,1839934582000.0
Costa Rica,2021,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,ok,,,,,,none,1839934582000.0,CRC,751503500000.0,
Costa Rica,2024,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,ok,,,,,,none,1571508437000.0,CRC,,1571508437000.0
Costa Rica,2025,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,ok,,,,,,none,1571508437000.0,CRC,1571508437000.0,
Costa Rica,2011,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,ok,,,,,,none,12387747000000.0,CRC,,4043611000000.0
Costa Rica,2013,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,ok,,,,,,none,4043611000000.0,CRC,12387747000000.0,4629768709000.0
Costa Rica,2021,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,ok,,,,,,none,4629768709000.0,CRC,4043611000000.0,
Costa Rica,2024,INCIENSA (health and nutrition research),science_agency,ok,,,,,,none,7405300000000.0,CRC,,6440000000000.0
Costa Rica,2025,INCIENSA (health and nutrition research),science_agency,ok,,,,,,none,6440000000000.0,CRC,7405300000000.0,
Costa Rica,2011,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,ok,,,,,,none,11805900000.0,CRC,,26000000000.0
Costa Rica,2013,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,ok,,,,,,none,26000000000.0,CRC,11805900000.0,27510000000.0
Costa Rica,2017,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,ok,,,,,,none,27510000000.0,CRC,26000000000.0,30550000000.0
Costa Rica,2020,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,ok,,,,,,none,30550000000.0,CRC,27510000000.0,30600000000.0
Costa Rica,2021,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,ok,,,,,,none,30600000000.0,CRC,30550000000.0,27090000000.0
Costa Rica,2024,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,ok,,,,,,none,27090000000.0,CRC,30600000000.0,30100000000.0
Costa Rica,2025,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,ok,,,,,,none,30100000000.0,CRC,27090000000.0,
