country,year,source_file,file_path,missing_agencies
Costa Rica,2010,2010_Ley de presupuesto.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Costa Rica/2010_Ley de presupuesto.pdf,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)"
Costa Rica,2012,2012_Ley de presupuesto.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Costa Rica/2012_Ley de presupuesto.pdf,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)"
Costa Rica,2018,2018_Ley de presupuesto.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Costa Rica/2018_Ley de presupuesto.pdf,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)"
Costa Rica,2019,2019_Ley de presupuesto.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Costa Rica/2019_Ley de presupuesto.pdf,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)"
Costa Rica,2020,2020_Ley de presupuesto.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Costa Rica/2020_Ley de presupuesto.pdf,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)"
Costa Rica,2022,2022_Ley de presupuesto.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Costa Rica/2022_Ley de presupuesto.pdf,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)"
Costa Rica,2023,2023_Ley de presupuesto.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Costa Rica/2023_Ley de presupuesto.pdf,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)"
Costa Rica,2016,2016_Ley de presupuesto.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Costa Rica/2016_Ley de presupuesto.pdf,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas)
Costa Rica,2015,2015_Ley de presupuesto.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Costa Rica/2015_Ley de presupuesto.pdf,Promotora Costarricense de Innovación e Investigación (PCII)
Costa Rica,2017,2017_Tomo1_Ley de presupuesto.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Costa Rica/2017_Tomo1_Ley de presupuesto.pdf,Promotora Costarricense de Innovación e Investigación (PCII)
