year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
2010,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2010,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,751503500000.0,colon,CRC,verified_override,pdf_4c260828c63b__2010_Ley_de_presupuesto.txt,96,,,Verified against original Costa Rica budget file,verified_against_original_file,,,Main competitive research funding body in Costa Rica.; manual override from original Costa Rica budget file
2010,FEES (Fondo Especial de Educación Superior),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2010,INCIENSA (health and nutrition research),science_agency,,,,,,,,,,covered_by_final_series,,,manual override from original Costa Rica budget file; operating transfer on page 89
2010,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2010,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2010,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2010,UCR (Universidad de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,Receives bulk FEES transfer; include only explicit research/Vínculo Externo sub-lines.; manual override from original Costa Rica budget file; convenio CITA/MAG/UCR/MICIT operating transfer on page 97
2011,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,11805900000.0,colon,CRC,verified_override,pdf_2cd269e29d69__2011_Ley_de_presupuesto.txt,429,,,Verified against original Costa Rica budget file,verified_against_original_file,,,manual override from original Costa Rica budget file; ordinary annual quota on page 429
2011,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,,,,,,,,,,covered_by_final_series,,,Main competitive research funding body in Costa Rica.
2011,FEES (Fondo Especial de Educación Superior),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2011,INCIENSA (health and nutrition research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
