source_file,pdf_path,full_text_cache,selected_rows,selected_canonicals,selected_pages,selected_line_descriptions,selected_amounts,traceability_status,source_audit_note
1989 act no numbers ley-7111.pdf,Data/input/finance_bills/Costa Rica/1989 act no numbers ley-7111.pdf,,0,,,,,not_used_in_final_series,
2010_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2010_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2011_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2011_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2012_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2012_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2013_Tomo2_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2013_Tomo2_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2013_Tomo4_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2013_Tomo4_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2013_Tomo5_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2013_Tomo5_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2013_Tomo6_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2013_Tomo6_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2014_Tomo1_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2014_Tomo1_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2014_Tomo4_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2014_Tomo4_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2014_Tomo5_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2014_Tomo5_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2015_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2015_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2016_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2016_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2017_Tomo1_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2017_Tomo1_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2017_Tomo2_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2017_Tomo2_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2017_Tomo3_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2017_Tomo3_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2018_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2018_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2019_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2019_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2020_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2020_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2021_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2021_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2022_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2022_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2023_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2023_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2024_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2024_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
2025_Ley de presupuesto.pdf,Data/input/finance_bills/Costa Rica/2025_Ley de presupuesto.pdf,,0,,,,,not_used_in_final_series,
