canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
Acquisition and Technical Renewal for Research Tasks,direct_rd,2000,2000 Zak_2000-058_Prilohy-k-zakonu-c-582000-Sb.pdf,Pořízení a tech. obnova invest. majetku k řešení úkolů vědy a výzkumu,3000000.0,"Ministry of Education, Youth and Sports",0,112,False
Akademie věd České republiky (AV ČR),science_agency,1994,1994 sb83-93.pdf,Akademie věd,1347014.0,Academy of Sciences of the Czech Republic,0,7,True
Akademie věd České republiky (AV ČR),science_agency,1996,1996 sb82-95.pdf,Akademie věd,265000.0,"Ministry of Education, Youth and Sports",0,11,True
Akademie věd České republiky (AV ČR),science_agency,1998,1998 Zak_1997-348_Prilohy-k-zakonu-c-3481997-Sb.pdf,Akademie věd,2147124000.0,Academy of Sciences,0,48,True
Akademie věd České republiky (AV ČR),science_agency,1999,1999 Zak_1999-022_Prilohy-k-zakonu-c-221999-Sb.pdf,Akademie věd České republiky,2000.0,Academy of Sciences of the Czech Republic,0,59,True
Akademie věd České republiky (AV ČR),science_agency,1999,1999 Zak_1999-022_Prilohy-k-zakonu-c-221999-Sb.pdf,Akademie věd České republiky,2410327000.0,Academy of Sciences of the Czech Republic,0,83,True
Akademie věd České republiky (AV ČR),science_agency,1999,1999 Zak_1999-022_Prilohy-k-zakonu-c-221999-Sb.pdf,Akademie věd České republiky,235100000.0,Academy of Sciences of the Czech Republic,0,98,True
Akademie věd České republiky (AV ČR),science_agency,2000,2000 Zak_2000-058_Prilohy-k-zakonu-c-582000-Sb.pdf,Akademie věd České republiky,2779280000.0,Academy of Sciences of the Czech Republic,0,102,True
Akademie věd České republiky (AV ČR),science_agency,2001,2001 czech_budget_annexes_CONTENT_2001.docx,Akademie věd České republiky,3047532.0,Academy of Sciences of the Czech Republic,0,116,True
Akademie věd České republiky (AV ČR),science_agency,2002,2002 czech_budget_annexes_CONTENT_2002.docx,Akademie věd České republiky,3140527.0,Academy of Sciences of the Czech Republic,0,120,True
Akademie věd České republiky (AV ČR),science_agency,2003,2003 czech_budget_annexes_CONTENT_2003.docx,Akademie věd České republiky,25000.0,Akademie věd České republiky (AV ČR),0,123,True
Akademie věd České republiky (AV ČR),science_agency,2003,2003 czech_budget_annexes_CONTENT_2003.docx,Akademie věd České republiky,3651134.0,Akademie věd České republiky (AV ČR),0,124,True
Akademie věd České republiky (AV ČR),science_agency,2003,2003 czech_budget_annexes_CONTENT_2003.docx,Total for Akademie věd České republiky,795362391.0,Akademie věd České republiky (AV ČR),0,125,True
Akademie věd České republiky (AV ČR),science_agency,2004,2004 czech_budget_annexes_CONTENT_2004.docx,Akademie věd České republiky,12000.0,Akademie věd České republiky (AV ČR),0,128,True
Akademie věd České republiky (AV ČR),science_agency,2004,2004 czech_budget_annexes_CONTENT_2004.docx,Akademie věd České republiky,4033338.0,Akademie věd České republiky (AV ČR),0,129,True
Akademie věd České republiky (AV ČR),science_agency,2005,2005 Zak_2004-675_Prilohy-k-zakonu-c-6752004-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2005.pdf,Akademie věd České republiky,5000.0,Akademie věd České republiky (AV ČR),0,132,True
Akademie věd České republiky (AV ČR),science_agency,2005,2005 Zak_2004-675_Prilohy-k-zakonu-c-6752004-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2005.pdf,Akademie věd České republiky,4439780.0,Akademie věd České republiky (AV ČR),0,133,True
