country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes
Czech Republic,1993,section_total,MŠMT,"Ministerstvo školství, mládeže a tělovýchovy","Ministry of Education, Youth and Sports",,Celkové výdaje,Total expenditures,121329645000.0,thousand,CZK,higher_education,review,0.9,1993 2025-12-20_Zakon-c-434-2024-Sb.pdf,16,gpt-4o-mini,extract,Includes funding for research activities at universities.
Czech Republic,1993,program_total,GA ČR,Grantová agentura ČR,Czech Science Foundation,,Celkové výdaje,Total expenditures,121181414000.0,thousand,CZK,direct_rd,review,0.9,1993 2025-12-20_Zakon-c-434-2024-Sb.pdf,16,gpt-4o-mini,extract,Core funding for research grants.
Czech Republic,1993,line_item,AV ČR,Akademie věd ČR,Academy of Sciences of the Czech Republic,,Celkové výdaje,Total expenditures,423375000.0,thousand,CZK,science_agency,review,0.9,1993 2025-12-20_Zakon-c-434-2024-Sb.pdf,16,gpt-4o-mini,extract,Operating appropriations for the Academy.
Czech Republic,1994,line_item,GA ČR,Grantová agentura,Czech Science Foundation,,Dotace na výzkum,Grants for research,466361.0,thousand,CZK,science_agency,include,1.0,1994 sb83-93.pdf,10,gpt-4o-mini,extract,
Czech Republic,1994,line_item,AV ČR,Akademie věd,Academy of Sciences of the Czech Republic,,Dotace na výzkum,Grants for research,1347014.0,thousand,CZK,science_agency,include,1.0,1994 sb83-93.pdf,10,gpt-4o-mini,extract,
Czech Republic,1994,program_total,MŠMT,"Ministerstvo školství, mládeže a tělovýchovy","Ministry of Education, Youth and Sports",,Dotace na výzkum a vývoj,Grants for research and development,2489900000.0,thousand,CZK,higher_education,include,1.0,1994 sb83-93.pdf,10,gpt-4o-mini,extract,
Czech Republic,1994,section_total,MŠMT,"Ministerstvo školství, mládeže a tělovýchovy","Ministry of Education, Youth and Sports",,Celkem,Total,41872738.0,thousand,CZK,higher_education,review,1.0,1994 sb83-93.pdf,10,gpt-4o-mini,extract,
Czech Republic,1994,section_total,GA ČR,Grantová agentura,Czech Science Foundation,,Celkem,Total,466361.0,thousand,CZK,science_agency,review,1.0,1994 sb83-93.pdf,10,gpt-4o-mini,extract,
Czech Republic,1994,section_total,AV ČR,Akademie věd,Academy of Sciences of the Czech Republic,,Celkem,Total,1347014.0,thousand,CZK,science_agency,review,1.0,1994 sb83-93.pdf,10,gpt-4o-mini,extract,
Czech Republic,1996,section_total,MŠMT,"Ministerstvo školství, mládeže a tělovýchovy","Ministry of Education, Youth and Sports",,CELKOVÉ VYDAJE STÁTNÍHO ROZPOČTU ČESKÉ REPUBLIKY PODLE KAPITOL,TOTAL EXPENDITURES OF THE STATE BUDGET OF THE CZECH REPUBLIC BY CHAPTER,178869274.0,thousand,CZK,unclear,review,0.5,1996 sb82-95.pdf,7,gpt-4o-mini,extract,"Broad chapter total, not specific to R&D."
Czech Republic,1996,program_total,MŠMT,"Ministerstvo školství, mládeže a tělovýchovy","Ministry of Education, Youth and Sports",,Grantová agentura,Grant Agency,225000.0,thousand,CZK,science_agency,include,0.9,1996 sb82-95.pdf,8,gpt-4o-mini,extract,Explicitly named research grants agency.
Czech Republic,1996,line_item,MŠMT,"Ministerstvo školství, mládeže a tělovýchovy","Ministry of Education, Youth and Sports",,"Ministerstvo školství, mládeže a tělovýchovy - výzkum a vývoj","Ministry of Education, Youth and Sports - research and development",300000.0,thousand,CZK,direct_rd,include,0.9,1996 sb82-95.pdf,8,gpt-4o-mini,extract,Explicitly mentions research and development.
Czech Republic,1996,line_item,MŠMT,"Ministerstvo školství, mládeže a tělovýchovy","Ministry of Education, Youth and Sports",,Akademie věd,Academy of Sciences,265000.0,thousand,CZK,science_agency,include,0.9,1996 sb82-95.pdf,9,gpt-4o-mini,extract,"Funding for the Academy of Sciences, a dedicated research agency."
Czech Republic,1997,line_item,AV ČR,Akademie věd,Academy of Sciences of the Czech Republic,,Financování výzkumu a vývoje,Funding for research and development,300000000.0,thousand,CZK,science_agency,include,0.9,1997 Zak_1996-315_Prilohy-k-zakonu-c-3151996-Sb.pdf,14,gpt-4o-mini,extract,Core funding for a dedicated science agency.
Czech Republic,1997,section_total,MŠMT,"Ministerstvo školství, mládeže a tělovýchovy","Ministry of Education, Youth and Sports",,"Celkové výdaje Ministerstva školství, mládeže a tělovýchovy","Total expenditures of the Ministry of Education, Youth and Sports",894128000.0,thousand,CZK,unclear,review,0.5,1997 Zak_1996-315_Prilohy-k-zakonu-c-3151996-Sb.pdf,4,gpt-4o-mini,extract,"Broad chapter total, may include non-R&D components."
Czech Republic,1997,program_total,MŠMT,"Ministerstvo školství, mládeže a tělovýchovy","Ministry of Education, Youth and Sports",,Dotace na výzkum a vývoj,Grants for research and development,700000000.0,thousand,CZK,direct_rd,include,0.8,1997 Zak_1996-315_Prilohy-k-zakonu-c-3151996-Sb.pdf,6,gpt-4o-mini,extract,Explicitly mentions research and development.
Czech Republic,1997,line_item,GA ČR,Grantová agentura,Czech Science Foundation,,Podpora výzkumu a vývoje,Support for research and development,500000000.0,thousand,CZK,direct_rd,include,0.9,1997 Zak_1996-315_Prilohy-k-zakonu-c-3151996-Sb.pdf,7,gpt-4o-mini,extract,Direct funding for research activities.
