country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Czech Republic,1993,Akademie věd České republiky (AV ČR),science_agency,,,,,,,,Czech Academy of Sciences — network of research institutes. Major public R&D performer.; dropped after Czech source audit: 1993-labelled source is a misfiled 2024/2025 law artefact; dropped after Czech source audit: implausibly inflated summary/unit artefact
Czech Republic,1994,Akademie věd České republiky (AV ČR),science_agency,1347014000.0,koruna,CZK,line_item,Grants for research,1994 sb83-93.pdf,10,Czech Academy of Sciences — network of research institutes. Major public R&D performer.
Czech Republic,1996,Akademie věd České republiky (AV ČR),science_agency,265000000.0,koruna,CZK,line_item,Academy of Sciences,1996 sb82-95.pdf,9,Czech Academy of Sciences — network of research institutes. Major public R&D performer.
Czech Republic,1997,Akademie věd České republiky (AV ČR),science_agency,300000000.0,koruna,CZK,manual_recovery,Funding for research and development,1997 Zak_1996-315_Prilohy-k-zakonu-c-3151996-Sb.pdf,14,Czech Academy of Sciences — network of research institutes. Major public R&D performer.; dropped after Czech source audit: implausibly inflated summary/unit artefact; recovered from audited Czech agency source row or chapter summary block with explicit total and page traceability
Czech Republic,1998,Akademie věd České republiky (AV ČR),science_agency,2147124000.0,koruna,CZK,manual_recovery,Total expenditures,1998 Zak_1997-348_Prilohy-k-zakonu-c-3481997-Sb.pdf,24,Czech Academy of Sciences — network of research institutes. Major public R&D performer.; dropped after Czech source audit: implausibly inflated summary/unit artefact; recovered from audited Czech agency source row or chapter summary block with explicit total and page traceability
Czech Republic,1999,Akademie věd České republiky (AV ČR),science_agency,2410327000.0,koruna,CZK,manual_recovery,Total expenditures on research and development,1999 Zak_1999-022_Prilohy-k-zakonu-c-221999-Sb.pdf,24,Czech Academy of Sciences — network of research institutes. Major public R&D performer.; dropped after Czech source audit: implausibly inflated summary/unit artefact; recovered from audited Czech agency source row or chapter summary block with explicit total and page traceability
Czech Republic,2000,Akademie věd České republiky (AV ČR),science_agency,2149521000.0,koruna,CZK,manual_recovery,Total expenditures on research and development,2000 Zak_2000-058_Prilohy-k-zakonu-c-582000-Sb.pdf,24,Czech Academy of Sciences — network of research institutes. Major public R&D performer.; dropped after Czech source audit: implausibly inflated summary/unit artefact; recovered from audited Czech agency source row or chapter summary block with explicit total and page traceability
Czech Republic,2001,Akademie věd České republiky (AV ČR),science_agency,3047532000.0,koruna,CZK,section_total,Total expenditures,2001 czech_budget_annexes_CONTENT_2001.docx,2,Czech Academy of Sciences — network of research institutes. Major public R&D performer.
Czech Republic,2002,Akademie věd České republiky (AV ČR),science_agency,3140527000.0,koruna,CZK,section_total,Total expenditures,2002 czech_budget_annexes_CONTENT_2002.docx,2,Czech Academy of Sciences — network of research institutes. Major public R&D performer.
Czech Republic,2003,Akademie věd České republiky (AV ČR),science_agency,3651134000.0,koruna,CZK,manual_recovery,Akademie věd České republiky,2003 czech_budget_annexes_CONTENT_2003.docx,2,Czech Academy of Sciences — network of research institutes. Major public R&D performer.; dropped after Czech source audit: implausibly inflated summary/unit artefact; recovered from audited Czech agency source row or chapter summary block with explicit total and page traceability
Czech Republic,2004,Akademie věd České republiky (AV ČR),science_agency,4033338000.0,koruna,CZK,manual_recovery,Akademie věd České republiky,2004 czech_budget_annexes_CONTENT_2004.docx,2,Czech Academy of Sciences — network of research institutes. Major public R&D performer.; dropped after Czech source audit: implausibly inflated summary/unit artefact; recovered from audited Czech agency source row or chapter summary block with explicit total and page traceability
Czech Republic,2005,Akademie věd České republiky (AV ČR),science_agency,4439780000.0,koruna,CZK,line_item,Akademie věd České republiky,2005 Zak_2004-675_Prilohy-k-zakonu-c-6752004-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2005.pdf,3,Czech Academy of Sciences — network of research institutes. Major public R&D performer.
Czech Republic,2006,Akademie věd České republiky (AV ČR),science_agency,4709059000.0,koruna,CZK,line_item,Akademie věd České republiky,2006 Zak_2005-543_Prilohy-k-zakonu-c-5432005-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2006.pdf,3,Czech Academy of Sciences — network of research institutes. Major public R&D performer.
Czech Republic,2007,Akademie věd České republiky (AV ČR),science_agency,5617230000.0,koruna,CZK,section_total,Total expenditures,2007 Zak_2006-622_Prilohy-k-zakonu-c-6222006-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2007.pdf,3,Czech Academy of Sciences — network of research institutes. Major public R&D performer.
Czech Republic,2008,Akademie věd České republiky (AV ČR),science_agency,5529486000.0,koruna,CZK,section_total,Total expenditures,2008 Zak_2007-360_Prilohy-k-zakonu-c-3602007-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2008.pdf,3,Czech Academy of Sciences — network of research institutes. Major public R&D performer.
Czech Republic,2009,Akademie věd České republiky (AV ČR),science_agency,5887180000.0,koruna,CZK,line_item,Expenditures on research and development including programs co-financed from foreign program resources,2009 Zak_2008-475_Zakon-c-4752008-Sb.pdf,43,Czech Academy of Sciences — network of research institutes. Major public R&D performer.
