country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Czech Republic,Akademie věd České republiky (AV ČR),1993,,,0,,gap,,,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),1994,1347014000.0,1347014000.0,1,1994 sb83-93.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),1996,265000000.0,265000000.0,1,1996 sb82-95.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),1997,300000000.0,300000000.0,1,1997 Zak_1996-315_Prilohy-k-zakonu-c-3151996-Sb.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),1998,2147124000.0,2147124000.0,1,1998 Zak_1997-348_Prilohy-k-zakonu-c-3481997-Sb.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),1999,2410327000.0,2410327000.0,1,1999 Zak_1999-022_Prilohy-k-zakonu-c-221999-Sb.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2000,2149521000.0,2149521000.0,1,2000 Zak_2000-058_Prilohy-k-zakonu-c-582000-Sb.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2001,3047532000.0,3047532000.0,1,2001 czech_budget_annexes_CONTENT_2001.docx,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2002,3140527000.0,3140527000.0,1,2002 czech_budget_annexes_CONTENT_2002.docx,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2003,3651134000.0,3651134000.0,1,2003 czech_budget_annexes_CONTENT_2003.docx,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2004,4033338000.0,4033338000.0,1,2004 czech_budget_annexes_CONTENT_2004.docx,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2005,4439780000.0,4439780000.0,1,2005 Zak_2004-675_Prilohy-k-zakonu-c-6752004-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2005.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2006,4709059000.0,4709059000.0,1,2006 Zak_2005-543_Prilohy-k-zakonu-c-5432005-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2006.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2007,5617230000.0,5617230000.0,1,2007 Zak_2006-622_Prilohy-k-zakonu-c-6222006-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2007.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2008,5529486000.0,5529486000.0,1,2008 Zak_2007-360_Prilohy-k-zakonu-c-3602007-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2008.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2009,5887180000.0,5887180000.0,1,2009 Zak_2008-475_Zakon-c-4752008-Sb.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2012,4668406000.0,4668406000.0,1,2012 Zak_2011-455_Prilohy-k-zakonu-c-4552011-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2012.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2013,4449192000.0,4449192000.0,1,2013 Zak_2012-504_Prilohy-k-zakonu-c-5042012-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2013.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2014,4452257359.0,4452257359.0,1,2014 Zak_2013-475_Prilohy-k-zakonu-o-statnim-rozpoctu-Ceske-republiky-na-rok-2014.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2015,4522355819.0,4522355819.0,1,2015 Zak_2014-345_Prilohy-k-zakonu-o-statnim-rozpoctu-Ceske-republiky-na-rok-2015.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2016,4829411000.0,4829411000.0,1,2016 Zak_2015-400_Zakon-o-statnim-rozpoctu-CR-na-rok-2016-Kompletni-vcetne-priloh.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2017,5133171000.0,5133171000.0,1,2017 Zak_2016-457_Zakon-o-statnim-rozpoctu-Ceske-republiky-na-rok-2017.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2018,5684692000.0,5684692000.0,1,2018 Zak_2017-474_Zakon-o-statnim-rozpoctu-Ceske-republiky-na-rok-2018.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2019,6022421793.0,6022421793.0,1,2019 Zak_2018-336_Zakon-o-statnim-rozpoctu-Ceske-republiky-na-rok-2019.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2020,6563390450.0,6563390450.0,1,2020 Zak_2019-355_Zakon-o-statnim-rozpoctu-Ceske-republiky-na-rok-2020.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2021,6789651580.0,6789651580.0,1,2021 Zak_2020-600_Zakon-o-statni-rozpoctu-Ceske-republiky-na-rok-2021.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2022,7081401581.0,7081401581.0,1,2022 Zak_2022-057_Zakon-o-statnim-rozpoctu-Ceske-republiky-na-rok-2022.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2023,7177502810.0,7177502810.0,1,2023 2023-01-01_Zakon-c-449-2022-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2023.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2024,7642481529.0,7642481529.0,1,2024 2023-12-29_Zakon-o-statnim-rozpoctu-Ceske-republiky-na-rok-2024.pdf,single,CZK,koruna,science_agency
Czech Republic,Akademie věd České republiky (AV ČR),2025,,,0,,gap,,,science_agency
Czech Republic,Grantová agentura České republiky (GA ČR),1993,,,0,,gap,,,science_agency
Czech Republic,Grantová agentura České republiky (GA ČR),1994,466361000.0,466361000.0,1,1994 sb83-93.pdf,single,CZK,koruna,science_agency
Czech Republic,Grantová agentura České republiky (GA ČR),1996,225000000.0,225000000.0,1,1996 sb82-95.pdf,single,CZK,koruna,science_agency
Czech Republic,Grantová agentura České republiky (GA ČR),1997,500000000.0,500000000.0,1,1997 Zak_1996-315_Prilohy-k-zakonu-c-3151996-Sb.pdf,single,CZK,koruna,science_agency
Czech Republic,Grantová agentura České republiky (GA ČR),1998,,,0,,gap,,,science_agency
Czech Republic,Grantová agentura České republiky (GA ČR),1999,965414000.0,965414000.0,1,1999 Zak_1999-022_Prilohy-k-zakonu-c-221999-Sb.pdf,single,CZK,koruna,science_agency
Czech Republic,Grantová agentura České republiky (GA ČR),2000,,,0,,gap,,,science_agency
Czech Republic,Grantová agentura České republiky (GA ČR),2001,1072735000.0,1072735000.0,1,2001 czech_budget_annexes_CONTENT_2001.docx,single,CZK,koruna,science_agency
Czech Republic,Grantová agentura České republiky (GA ČR),2002,1074478000.0,1074478000.0,1,2002 czech_budget_annexes_CONTENT_2002.docx,single,CZK,koruna,science_agency
Czech Republic,Grantová agentura České republiky (GA ČR),2003,,,0,,gap,,,science_agency
Czech Republic,Grantová agentura České republiky (GA ČR),2004,,,0,,gap,,,science_agency
Czech Republic,Grantová agentura České republiky (GA ČR),2005,1325610000.0,1325610000.0,1,2005 Zak_2004-675_Prilohy-k-zakonu-c-6752004-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2005.pdf,single,CZK,koruna,science_agency
Czech Republic,Grantová agentura České republiky (GA ČR),2006,1399410000.0,1399410000.0,1,2006 Zak_2005-543_Prilohy-k-zakonu-c-5432005-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2006.pdf,single,CZK,koruna,science_agency
Czech Republic,Grantová agentura České republiky (GA ČR),2007,1531116000.0,1531116000.0,1,2007 Zak_2006-622_Prilohy-k-zakonu-c-6222006-Sb-o-statnim-rozpoctu-Ceske-republiky-na-rok-2007.pdf,single,CZK,koruna,science_agency
