country,year,canonical_name,category,gap_type,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,prev_amount,next_amount
Czech Republic,1993,Grantová agentura České republiky (GA ČR),science_agency,missing,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,466361000.0
Czech Republic,1994,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,466361000.0,,225000000.0
Czech Republic,1996,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,225000000.0,466361000.0,500000000.0
Czech Republic,1997,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,500000000.0,225000000.0,965414000.0
Czech Republic,1998,Grantová agentura České republiky (GA ČR),science_agency,missing,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,500000000.0,965414000.0
Czech Republic,1999,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,965414000.0,500000000.0,1072735000.0
Czech Republic,2000,Grantová agentura České republiky (GA ČR),science_agency,missing,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,965414000.0,1072735000.0
Czech Republic,2001,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,1072735000.0,965414000.0,1074478000.0
Czech Republic,2002,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,1074478000.0,1072735000.0,1325610000.0
Czech Republic,2003,Grantová agentura České republiky (GA ČR),science_agency,missing,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,1074478000.0,1325610000.0
Czech Republic,2004,Grantová agentura České republiky (GA ČR),science_agency,missing,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,1074478000.0,1325610000.0
Czech Republic,2005,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,1325610000.0,1074478000.0,1399410000.0
Czech Republic,2006,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,1399410000.0,1325610000.0,1531116000.0
Czech Republic,2007,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,1531116000.0,1399410000.0,1534710000.0
Czech Republic,2008,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,1534710000.0,1531116000.0,1833145000.0
Czech Republic,2009,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,1833145000.0,1534710000.0,3023794000.0
Czech Republic,2012,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,3023794000.0,1833145000.0,3309429000.0
Czech Republic,2013,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,3309429000.0,3023794000.0,3464547000.0
Czech Republic,2014,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,3464547000.0,3309429000.0,3683086907.0
Czech Republic,2015,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,3683086907.0,3464547000.0,3833110000.0
Czech Republic,2016,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,3833110000.0,3683086907.0,4257427000.0
Czech Republic,2017,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,4257427000.0,3833110000.0,4333066000.0
Czech Republic,2018,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,4333066000.0,4257427000.0,4390784794.0
Czech Republic,2019,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,4390784794.0,4333066000.0,4360546000.0
Czech Republic,2020,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,4360546000.0,4390784794.0,4380546000.0
Czech Republic,2021,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,4380546000.0,4360546000.0,4669819125.0
Czech Republic,2022,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,4669819125.0,4380546000.0,4600000000.0
Czech Republic,2023,Grantová agentura České republiky (GA ČR),science_agency,missing,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,4669819125.0,4600000000.0
Czech Republic,2024,Grantová agentura České republiky (GA ČR),science_agency,ok,,,,,none,4600000000.0,4669819125.0,
Czech Republic,2025,Grantová agentura České republiky (GA ČR),science_agency,missing,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,4600000000.0,
Czech Republic,2009,Technologická agentura České republiky (TA ČR),science_agency,missing,Year not in raw_rows — documents may not be parsed yet,no,,,reextract,,,2170206000.0
