year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_excerpt,series_notes
1993,Akademie věd České republiky (AV ČR),science_agency,,,,,,,,,,covered_by_final_series,,Czech Academy of Sciences — network of research institutes. Major public R&D performer.; dropped after Czech source audit: 1993-labelled source is a misfiled 2024/2025 law artefact; dropped after Czech source audit: implausibly inflated summary/unit artefact
1993,Grantová agentura České republiky (GA ČR),science_agency,,,,,,,,,,covered_by_final_series,,Czech Science Foundation — competitive basic research grants. Major R&D funder from 1993.; dropped after Czech source audit: 1993-labelled source is a misfiled 2024/2025 law artefact; dropped after Czech source audit: implausibly inflated summary/unit artefact
1994,Akademie věd České republiky (AV ČR),science_agency,1347014000.0,koruna,CZK,line_item,1994 sb83-93.pdf,10,Data/input/finance_bills/Czech Republic/1994 sb83-93.pdf,,Grants for research,covered_by_final_series,,Czech Academy of Sciences — network of research institutes. Major public R&D performer.
1994,Grantová agentura České republiky (GA ČR),science_agency,466361000.0,koruna,CZK,line_item,1994 sb83-93.pdf,10,Data/input/finance_bills/Czech Republic/1994 sb83-93.pdf,,Grants for research,covered_by_final_series,,Czech Science Foundation — competitive basic research grants. Major R&D funder from 1993.
1996,Akademie věd České republiky (AV ČR),science_agency,265000000.0,koruna,CZK,line_item,1996 sb82-95.pdf,9,Data/input/finance_bills/Czech Republic/1996 sb82-95.pdf,,Academy of Sciences,covered_by_final_series,,Czech Academy of Sciences — network of research institutes. Major public R&D performer.
1996,Grantová agentura České republiky (GA ČR),science_agency,225000000.0,koruna,CZK,program_total,1996 sb82-95.pdf,8,Data/input/finance_bills/Czech Republic/1996 sb82-95.pdf,,Grant Agency,covered_by_final_series,,Czech Science Foundation — competitive basic research grants. Major R&D funder from 1993.
1997,Akademie věd České republiky (AV ČR),science_agency,300000000.0,koruna,CZK,manual_recovery,1997 Zak_1996-315_Prilohy-k-zakonu-c-3151996-Sb.pdf,14,Data/input/finance_bills/Czech Republic/1997 Zak_1996-315_Prilohy-k-zakonu-c-3151996-Sb.pdf,,Funding for research and development,covered_by_final_series,,Czech Academy of Sciences — network of research institutes. Major public R&D performer.; dropped after Czech source audit: implausibly inflated summary/unit artefact; recovered from audited Czech agency source row or chapter summary block with explicit total and page traceability
1997,Grantová agentura České republiky (GA ČR),science_agency,500000000.0,koruna,CZK,manual_recovery,1997 Zak_1996-315_Prilohy-k-zakonu-c-3151996-Sb.pdf,7,Data/input/finance_bills/Czech Republic/1997 Zak_1996-315_Prilohy-k-zakonu-c-3151996-Sb.pdf,,Support for research and development,covered_by_final_series,,Czech Science Foundation — competitive basic research grants. Major R&D funder from 1993.; dropped after Czech source audit: implausibly inflated summary/unit artefact; recovered from audited Czech agency source row or chapter summary block with explicit total and page traceability
1998,Akademie věd České republiky (AV ČR),science_agency,2147124000.0,koruna,CZK,manual_recovery,1998 Zak_1997-348_Prilohy-k-zakonu-c-3481997-Sb.pdf,24,Data/input/finance_bills/Czech Republic/1998 Zak_1997-348_Prilohy-k-zakonu-c-3481997-Sb.pdf,,Total expenditures,covered_by_final_series,,Czech Academy of Sciences — network of research institutes. Major public R&D performer.; dropped after Czech source audit: implausibly inflated summary/unit artefact; recovered from audited Czech agency source row or chapter summary block with explicit total and page traceability
1998,Grantová agentura České republiky (GA ČR),science_agency,,,,,,,,,,covered_by_final_series,,gap: no matching rows in this year
1999,Akademie věd České republiky (AV ČR),science_agency,2410327000.0,koruna,CZK,manual_recovery,1999 Zak_1999-022_Prilohy-k-zakonu-c-221999-Sb.pdf,24,Data/input/finance_bills/Czech Republic/1999 Zak_1999-022_Prilohy-k-zakonu-c-221999-Sb.pdf,,Total expenditures on research and development,covered_by_final_series,,Czech Academy of Sciences — network of research institutes. Major public R&D performer.; dropped after Czech source audit: implausibly inflated summary/unit artefact; recovered from audited Czech agency source row or chapter summary block with explicit total and page traceability
1999,Grantová agentura České republiky (GA ČR),science_agency,965414000.0,koruna,CZK,manual_recovery,1999 Zak_1999-022_Prilohy-k-zakonu-c-221999-Sb.pdf,12,Data/input/finance_bills/Czech Republic/1999 Zak_1999-022_Prilohy-k-zakonu-c-221999-Sb.pdf,,Total expenditures,covered_by_final_series,,Czech Science Foundation — competitive basic research grants. Major R&D funder from 1993.; dropped after Czech source audit: implausibly inflated summary/unit artefact; recovered from audited Czech agency source row or chapter summary block with explicit total and page traceability
2000,Akademie věd České republiky (AV ČR),science_agency,2149521000.0,koruna,CZK,manual_recovery,2000 Zak_2000-058_Prilohy-k-zakonu-c-582000-Sb.pdf,24,Data/input/finance_bills/Czech Republic/2000 Zak_2000-058_Prilohy-k-zakonu-c-582000-Sb.pdf,,Total expenditures on research and development,covered_by_final_series,,Czech Academy of Sciences — network of research institutes. Major public R&D performer.; dropped after Czech source audit: implausibly inflated summary/unit artefact; recovered from audited Czech agency source row or chapter summary block with explicit total and page traceability
2000,Grantová agentura České republiky (GA ČR),science_agency,,,,,,,,,,covered_by_final_series,,Czech Science Foundation — competitive basic research grants. Major R&D funder from 1993.; dropped after Czech source audit: 2000 GA CR has conflicting candidate amounts in the same source and needs manual recovery
