canonical_name,category,name_variants,preferred_item_type,active_years,notes,agency_type,confidence,source_entity,n_years_seen,avg_amount,reason,country
Aarhus University Operational Expenses,higher_education,[],"['section_total', 'program_total', 'line_item']","(1977, 1977)",Operational expenses at Aarhus University support research activities.,higher_education,0.7,8.02. Århus Universitet: Driftsudgifter,1,318170400.0,confidence below threshold,Denmark
Aarhus University Operational Expenses,higher_education,[],"['section_total', 'program_total', 'line_item']","(1976, 1976)",Operational expenses at Aarhus University support research activities.,higher_education,0.7,Århus Universitet: Driftsudgifter,1,292367200.0,confidence below threshold,Denmark
Aarhus University Operational Expenses,higher_education,[],"['section_total', 'program_total', 'line_item']","(1975, 1975)",Operational expenses at Aarhus University support research activities.,higher_education,0.7,6.02. Århus Universitet: Driftsudgifter,1,224408300.0,confidence below threshold,Denmark
Participation in International Organizations,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1989, 1989)",This program supports participation in international research organizations.,rd_programme,0.65,09.11. Deltagelse i internationale organisationer,1,206060000.0,confidence below threshold,Denmark
Research Programs,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1995, 1995)",This program funds various research initiatives.,rd_programme,0.7,"Forskningsprogrammer 186,1 mill. kr.",1,186100000.0,confidence below threshold,Denmark
Aarhus University,higher_education,[],"['section_total', 'program_total', 'line_item']","(1979, 1983)",Aarhus University is a major research institution.,higher_education,0.7,08.02. Århus Universitet,2,175526149.05,confidence below threshold,Denmark
Support for Danish Research,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1980, 1980)",This program provides support for Danish research initiatives.,rd_programme,0.7,"Støtte af dansk forskning, L 199 1972 med senere ændringer i medfør af L 142 1973 (tekstanm. 84) 140.915.000",1,140915000.0,confidence below threshold,Denmark
Teknika Operational Expenses,higher_education,[],"['section_total', 'program_total', 'line_item']","(1977, 1977)",Operational expenses at Teknika support research activities.,higher_education,0.6,8.13. Teknika: Driftsudgifter,1,134057000.0,confidence below threshold,Denmark
Royal Veterinary and Agricultural University Operational Expenses,higher_education,[],"['section_total', 'program_total', 'line_item']","(1977, 1977)",Operational expenses at this university support research activities.,higher_education,0.6,8.16. Den kgl. Veterinær- og Landbohøjskole: Driftsudgifter,1,110973200.0,confidence below threshold,Denmark
Aalborg University Operational Expenses,higher_education,[],"['section_total', 'program_total', 'line_item']","(1977, 1977)",Operational expenses at Aalborg University support research activities.,higher_education,0.6,8.05. Ålborg Universitetscenter: Driftsudgifter,1,110727100.0,confidence below threshold,Denmark
Support for Activities under the Research Academy,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1989, 1989)",This programme supports research activities within the academy.,rd_programme,0.7,53.01 Støtte til aktiviteter under forskerakademiet,1,78570000.0,confidence below threshold,Denmark
EU Research Contracts,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1990, 1990)",This programme supports research contracts funded by the EU.,rd_programme,0.7,09.41. EF-forskningskontrakter,1,45000000.0,confidence below threshold,Denmark
Systematic Geological Survey Operating Expenses,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1978, 1978)",This entity is involved in geological research activities.,rd_programme,0.7,7.02. Systematisk geologisk undersøgelse: Driftsudgifter.,1,22851000.0,confidence below threshold,Denmark
EU Research Contracts,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1987, 1987)",This entity relates to research contracts funded by the EU.,rd_programme,0.7,53.02 EF-forskningskontrakter,1,20000000.0,confidence below threshold,Denmark
EU Research Contracts,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1986, 1986)",This entity relates to research contracts funded by the EU.,rd_programme,0.7,EF-forskningskontrakter,1,20000000.0,confidence below threshold,Denmark
Universities (text amendment 216),higher_education,[],"['section_total', 'program_total', 'line_item']","(2023, 2023)","This entity relates to funding for universities, which are involved in R&D.",higher_education,0.6,Universiteter (tekstanm. 216),1,19016900.0,confidence below threshold,Denmark
Universities (text amendment 161),higher_education,[],"['section_total', 'program_total', 'line_item']","(2015, 2016)","This entity relates to funding for universities, which are involved in R&D.",higher_education,0.6,Universiteter (tekstanm. 161),2,17147950.0,confidence below threshold,Denmark
Universities (text amendment 161 and 196),higher_education,[],"['section_total', 'program_total', 'line_item']","(2013, 2013)","This entity relates to funding for universities, which are involved in R&D.",higher_education,0.6,Universiteter (tekstanm. 161 og 196),1,15698700.0,confidence below threshold,Denmark
"Universities (text amendment 161, 171 and 172)",higher_education,[],"['section_total', 'program_total', 'line_item']","(2012, 2012)","This entity relates to funding for universities, which are involved in R&D.",higher_education,0.6,"Universiteter (tekstanm. 161, 171 og 172)",1,15205400.0,confidence below threshold,Denmark
"Universities (text amendment 161, 163 and 171)",higher_education,[],"['section_total', 'program_total', 'line_item']","(2008, 2008)","This entity relates to funding for universities, which are involved in R&D.",higher_education,0.6,"Universiteter (tekstanm. 161, 163 og 171)",1,12367200.0,confidence below threshold,Denmark
Graduate and Senior Scholarships,higher_education,[],"['section_total', 'program_total', 'line_item']","(1987, 1987)",Scholarships often support R&D activities in higher education.,rd_programme,0.7,53.02 Kandidatstipendier og seniorstipendier,1,5167000.0,confidence below threshold,Denmark
Research Academy and Education,higher_education,[],"['section_total', 'program_total', 'line_item']","(1990, 1990)",This program supports research education and training.,rd_programme,0.7,09.21. Forskerakademi og uddannelse,1,2738800.0,confidence below threshold,Denmark
Travel Support for Teachers and Scientists,higher_education,[],"['section_total', 'program_total', 'line_item']","(1987, 1987)",This program supports travel for educational and research purposes.,rd_programme,0.65,53.01 Rejseunderstøttelse til lærere og videnskabsmænd,1,2288000.0,confidence below threshold,Denmark
Danish Contribution to Nordic Institute for Theoretical Atomic Physics,science_agency,[],"['section_total', 'program_total', 'line_item']","(1980, 1980)",This contribution supports research in theoretical atomic physics.,rd_programme,0.7,Dansk bidrag til Nordisk institut for teoretisk atomfysik,1,1957600.0,confidence below threshold,Denmark
Registration of Research Equipment,science_agency,[],"['section_total', 'program_total', 'line_item']","(1987, 1987)",This program involves the registration of research equipment.,rd_programme,0.6,53.12 Registrering af forskningsapparatur,1,1785000.0,confidence below threshold,Denmark
Development of Competence and Technology,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2013, 2014)",This program supports the development of technology and skills.,rd_programme,0.7,Udvikling af kompetence og teknologi mv.,2,986150.0,confidence below threshold,Denmark
Development of Competence and Technology (text amendment 7),innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(2013, 2013)","This program is similar to the previous one, focusing on technology development.",rd_programme,0.7,Udvikling af kompetence og teknologi mv. (tekstanm. 7),1,984200.0,confidence below threshold,Denmark
Nordic Cooperation on Education and Research,higher_education,[],"['section_total', 'program_total', 'line_item']","(1987, 1987)",This program promotes collaboration in education and research across Nordic countries.,rd_programme,0.65,53.02 Nordisk samarbejde om undervisning og forskning,1,900000.0,confidence below threshold,Denmark
Travel Support for Young Scientists,innovation_instruments,[],"['section_total', 'program_total', 'line_item']","(1987, 1987)","This program supports young scientists, which is relevant for R&D.",rd_programme,0.7,53.01 Rejseunderstøttelse for unge videnskabsmænd,1,690000.0,confidence below threshold,Denmark
Tasks Related to Agricultural Conditions,direct_rd,[],"['section_total', 'program_total', 'line_item']","(2010, 2010)","This program is related to agricultural research, indicating R&D relevance.",rd_programme,0.7,Opgaver vedr. jordbrugsforhold (Reservationsbev.),1,323100.0,confidence below threshold,Denmark
Space Area (Text Note 157),science_agency,[],"['section_total', 'program_total', 'line_item']","(2021, 2021)","This entry also pertains to space research, indicating R&D relevance.",rd_programme,0.7,Rumområdet (tekstanm. 157),1,245300.0,confidence below threshold,Denmark
Danish Agricultural Research (Text Note 125),science_agency,[],"['section_total', 'program_total', 'line_item']","(2006, 2006)","This entity focuses on agricultural research, indicating R&D relevance.",rd_programme,0.7,Danmarks JordbrugsForskning (tekstanm. 125),1,223400.0,confidence below threshold,Denmark
Research Education,higher_education,[],"['section_total', 'program_total', 'line_item']","(2008, 2010)","This program supports research education, contributing to the R&D ecosystem.",higher_education,0.7,Forskeruddannelse (tekstanm. 7 og 157),2,81000.0,confidence below threshold,Denmark
Research Affiliation,science_agency,[],"['section_total', 'program_total', 'line_item']","(2008, 2008)",This program supports research affiliations.,rd_programme,0.7,Forskningstilknytning (tekstanm. 144) (Reservationsbev.),1,56500.0,confidence below threshold,Denmark
Scientific Investigations,direct_rd,[],"['section_total', 'program_total', 'line_item']","(1982, 1982)",This entity supports scientific investigations relevant to R&D.,rd_programme,0.7,Videnskabelige undersøgelser,1,42166.0,confidence below threshold,Denmark
Aalborg University Center,higher_education,[],"['section_total', 'program_total', 'line_item']","(1984, 1986)",This center is involved in higher education and research activities.,higher_education,0.7,70.05 Ålborg Universitetscenter,2,35750.0,confidence below threshold,Denmark
Acquisition of Equipment for Higher Education Institutions,higher_education,[],"['section_total', 'program_total', 'line_item']","(1984, 1986)",This funding supports the acquisition of equipment for educational institutions.,innovation_instruments,0.7,70.10 Anskaffelse af apparatur til højere og videregående uddannelsesinstitutioner,2,29435.0,confidence below threshold,Denmark
Aarhus University,higher_education,[],"['section_total', 'program_total', 'line_item']","(1984, 1986)",Aarhus University is involved in R&D activities.,higher_education,0.7,70.02 Århus Universitet,2,10764.0,confidence below threshold,Denmark
Training of Scientists,higher_education,[],"['section_total', 'program_total', 'line_item']","(1981, 1993)","This program supports the education of scientists, relevant to R&D.",rd_programme,0.7,Uddannelse af videnskabsmænd,5,6107.0,confidence below threshold,Denmark
"Research Activities, etc.",unclear,[],"['section_total', 'program_total', 'line_item']","(1995, 1995)",This entry is vague but suggests involvement in research activities.,rd_programme,0.6,Forskningsaktiviteter m.v.,1,2824.7,confidence below threshold,Denmark
"Research Activities, etc. (Operational Funding)",unclear,[],"['section_total', 'program_total', 'line_item']","(1994, 1996)","Similar to the previous entry, it indicates research activities but lacks specificity.",rd_programme,0.6,Forskningsaktiviteter m.v. (Driftsbev.),2,2760.9,confidence below threshold,Denmark
