canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
Aalborg Universitet (AAU),higher_education,1979,1979 9781_L1_som_vedtaget.pdf,Aalborg Universitet,7000.0,Ministry of Higher Education and Science,0,147,True
Aalborg Universitet (AAU),higher_education,1982,1982 19812_L1_som_vedtaget.pdf,Aalborg Universitet,,Ministry of Higher Education and Science,0,236,True
Aalborg Universitet (AAU),higher_education,1983,1983 19821_L1_som_vedtaget.pdf,19.11.04 Aalborg Universitet,23456.0,Ministry of Higher Education and Science,0,255,True
Aalborg Universitet (AAU),higher_education,1985,1985 19841_L1_som_vedtaget.pdf,Aalborg Universitet,7000.0,Ministry of Higher Education and Science,0,332,True
Aalborg Universitet (AAU),higher_education,1986,1986 19851_L1_som_vedtaget.pdf,Aalborg Universitet,7000.0,Ministry of Higher Education and Science,0,349,True
Aalborg Universitet (AAU),higher_education,1987,1987 19861_L1_som_vedtaget.pdf,Aalborg Universitet,700000.0,Ministry of Higher Education and Science,0,414,True
Aalborg Universitet (AAU),higher_education,1988,1988 19871_L1_som_vedtaget.pdf,20.04 Aalborg Universitet,10989495.0,Ministry of Education and Research,0,432,True
Aalborg Universitet (AAU),higher_education,1990,1990 19891_L1_som_vedtaget.pdf,20.04. Aalborg Universitet,1165939400.0,Ministry of Education and Research,0,509,True
Aalborg Universitet (AAU),higher_education,1992,1992 19911_L1_som_vedtaget.pdf,Aalborg Universitet,2345.0,Ministry of Higher Education and Science,0,590,True
Aalborg Universitet (AAU),higher_education,1994,1994 19931_L1_som_vedtaget.pdf,Aalborg Universitetscenter (Driftsbev.),205.2,Aalborg University,0,639,True
Aalborg Universitet (AAU),higher_education,1994,1994 19931_L1_som_vedtaget.pdf,Aalborg Universitet,4321.0,Ministry of Higher Education and Science,0,646,True
Aalborg Universitet (AAU),higher_education,1995,1995 19941_L1_som_vedtaget.pdf,Aalborg Universitet,215.7,Universities and University Centers,0,683,True
Aalborg Universitet (AAU),higher_education,1995,1995 19941_L1_som_vedtaget.pdf,Aalborg Universitet,7000.0,Ministry of Higher Education and Science,0,688,True
Aalborg Universitet (AAU),higher_education,1996,1996 19951_L1_som_vedtaget.pdf,"Aalborg Universitet (tekstanm. 68, 70) (Nettostyret virksomhed)",,Universities and University Centers,0,715,True
Aalborg Universitet (AAU),higher_education,1997,1997 19961_L1_som_vedtaget.pdf,Aalborg Universitet,6000.0,Ministry of Higher Education and Science,0,731,True
Aalborg Universitet (AAU),higher_education,1997,1997 19961_L1_som_vedtaget.pdf,05. Aalborg Universitet,700.0,Ministry of Higher Education and Science,0,757,True
Aalborg Universitet (AAU),higher_education,1998,1998 19971_L1_som_vedtaget.pdf,19.11.05 Aalborg Universitet,6000.0,Ministry of Higher Education and Science,0,768,True
Aalborg Universitet (AAU),higher_education,1998,1998 19971_L1_som_vedtaget.pdf,19.11.12 Aalborg University - Research,1000.0,Ministry of Higher Education and Science,0,775,True
Aalborg Universitet (AAU),higher_education,1999,1999 19981_L1_som_vedtaget.pdf,Aalborg Universitet,295900.0,Universities,0,834,True
Aalborg Universitet (AAU),higher_education,2000,2000 19991_L1_som_vedtaget.pdf,19.11.04 Aalborg Universitet,800.0,Ministry of Higher Education and Science,0,851,True
Aalborg Universitet (AAU),higher_education,2000,2000 19991_L1_som_vedtaget.pdf,Aalborg Universitet,354200.0,Universities,0,868,True
Aalborg Universitet (AAU),higher_education,2000,2000 19991_L1_som_vedtaget.pdf,Aalborg Universitet,4000.0,Ministry of Higher Education and Science,0,885,True
Aalborg Universitet (AAU),higher_education,2003,2003 20021_L1_som_vedtaget.pdf,"Aalborg Universitet 942,6 mio. kr.",942600.0,Universities,0,945,True
Aalborg Universitet (AAU),higher_education,2003,2003 20021_L1_som_vedtaget.pdf,Aalborg Universitet,27000.0,Ministry of Higher Education and Science,0,952,True
Aalborg Universitet (AAU),higher_education,2003,2003 20021_L1_som_vedtaget.pdf,Aalborg Universitet,500000.0,Ministry of Higher Education and Science,0,965,True
Aalborg Universitet (AAU),higher_education,2005,2005 20041_L1_som_vedtaget.pdf,Aalborg Universitet,0.0,"Ministry of Science, Technology and Development",0,1013,True
Aalborg Universitet (AAU),higher_education,2005,2005 20041_L1_som_vedtaget.pdf,Aalborg Universitet (Reservationsbev.),1026.8,Aalborg University,0,1033,True
Aalborg Universitet (AAU),higher_education,2006,2006 20051_L2_som_vedtaget.pdf,AAU,,Ministry of Education,0,1067,True
Aalborg Universitet (AAU),higher_education,2006,2006 20051_L2_som_vedtaget.pdf,Aalborg Universitet,1044400.0,Ministry of Higher Education and Science,0,1077,True
Aalborg Universitet (AAU),higher_education,2007,2007 20061_L1_som_vedtaget.pdf,20.01.04 Aalborg Universitet,1000.0,Ministry of Education,0,1111,True
Aalborg Universitet (AAU),higher_education,2007,2007 20061_L1_som_vedtaget.pdf,Aalborg Universitet,1080700.0,Universities,0,1119,True
Aalborg Universitet (AAU),higher_education,2007,2007 20061_L1_som_vedtaget.pdf,Aalborg Universitet,900000.0,Ministry of Higher Education and Science,0,1135,True
Aalborg Universitet (AAU),higher_education,2008,2008 A20080000130.pdf,Aalborg Universitet (Reservationsbev.),1219000.0,Ministry of Higher Education and Science,0,1166,True
Aalborg Universitet (AAU),higher_education,2009,2009 A20080000330.pdf,19.11.04 Aalborg Universitet,1537200.0,"Ministry of Science, Technology and Development",0,1201,True
Aalborg Universitet (AAU),higher_education,2010,2010 A20090000230.pdf,"17. Aalborg Universitet (tekstanm. 8, 107, 109, 150, 153, 156, 167, 171 og 172) (Reservationsbev.)",1417.6,Ministry of Higher Education and Science,0,1258,True
Aalborg Universitet (AAU),higher_education,2011,2011 A20100000230.pdf,20.01.04 Aalborg Universitet,1.0,Ministry of Education,0,1315,True
Aalborg Universitet (AAU),higher_education,2011,2011 A20100000230.pdf,Aalborg Universitet,1558300.0,Universities,0,1330,True
Aalborg Universitet (AAU),higher_education,2012,2012 A20120000130.pdf,"Aalborg Universitet (tekstanm. 8, 107, 109, 150, 153, 156, 167, 171, 172, 191, 192 og 193) (Selvejebev.)",1642500.0,Aalborg University,0,1372,True
Aalborg Universitet (AAU),higher_education,2013,2013 A20120000330.pdf,Aalborg Universitet,,Ministry of Higher Education and Science,0,1433,True
Aalborg Universitet (AAU),higher_education,2013,2013 A20120000330.pdf,19.11.04 Aalborg Universitet,700000.0,"Ministry of Research, Innovation and Higher Education",0,1447,True
Aalborg Universitet (AAU),higher_education,2014,2014 A20130000230.pdf,Aalborg Universitet,1000000.0,"Ministry of Research, Innovation and Higher Education",0,1458,True
Aalborg Universitet (AAU),higher_education,2014,2014 A20130000230.pdf,Aalborg Universitet,900000.0,Ministry of Higher Education and Science,0,1466,True
Aalborg Universitet (AAU),higher_education,2014,2014 A20130000230.pdf,Aalborg Universitet,,Ministry of Higher Education and Science,0,1493,True
Aalborg Universitet (AAU),higher_education,2014,2014 A20130000230.pdf,Aalborg Universitet,7000000.0,Ministry of Higher Education and Science,0,1499,True
Aalborg Universitet (AAU),higher_education,2015,2015 A20140000230.pdf,Aalborg Universitet,4321000.0,Ministry of Higher Education and Science,0,1525,True
Aalborg Universitet (AAU),higher_education,2015,2015 A20140000230.pdf,Aalborg Universitet (Selvejebev.),2052.3,Ministry of Higher Education and Science,0,1541,True
Aalborg Universitet (AAU),higher_education,2016,2016 A20150000230.pdf,Aalborg Universitet,,Ministry of Higher Education and Science,0,1570,True
Aalborg Universitet (AAU),higher_education,2016,2016 A20150000230.pdf,"Aalborg Universitet (tekstanm. 8, 107, 109, 150, 153, 185, 201, 203 og 206) (Selvejebev.)",2021800.0,Ministry of Higher Education and Science,0,1588,True
Aalborg Universitet (AAU),higher_education,2017,2017 A20160000230.pdf,AAU,0.0,Ministry of Higher Education and Science,0,1642,True
Aalborg Universitet (AAU),higher_education,2019,2019 AE2602.pdf,Aalborg Universitet,7000000.0,Ministry of Higher Education and Science,0,1671,True
