country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes,cleaning_notes,aggregation_role
Denmark,1975,section_total,20,Undervisningsministeriet,Ministry of Education,,I alt 5.844.550.300 kr.,"Total 5,844,550,300 DKK",5844550300.0,thousand,DKK,higher_education,review,0.5,1975 19742_L1_som_vedtaget.pdf,111,gpt-4o-mini,extract,"Amount 5.845e+12 DKK out of plausible range [1e+05, 1e+12]",[section_total: § overview aggregate],section
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,6.01. Københavns Universitet: Driftsudgifter,6.01. University of Copenhagen: Operating expenses,494343000.0,thousand,DKK,higher_education,review,0.3,1975 19742_L1_som_vedtaget.pdf,120,gpt-4o-mini,extract,,,
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,6.02. Århus Universitet: Driftsudgifter,6.02. Aarhus University: Operating expenses,224408300.0,thousand,DKK,higher_education,review,0.3,1975 19742_L1_som_vedtaget.pdf,120,gpt-4o-mini,extract,,,
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,6.03. Odense Universitet og Universitetscenter: Driftsudgifter,6.03. University of Odense and University Center: Operating expenses,74811800.0,thousand,DKK,higher_education,review,0.3,1975 19742_L1_som_vedtaget.pdf,120,gpt-4o-mini,extract,,,
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,6.04. Roskilde Universitetscenter: Driftsudgifter,6.04. Roskilde University Center: Operating expenses,44970000.0,thousand,DKK,higher_education,review,0.3,1975 19742_L1_som_vedtaget.pdf,120,gpt-4o-mini,extract,,,
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,6.05. Ålborg Universitetscenter: Driftsudgifter,6.05. Aalborg University Center: Operating expenses,81520000.0,thousand,DKK,higher_education,review,0.3,1975 19742_L1_som_vedtaget.pdf,120,gpt-4o-mini,extract,,,
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,"6.11. Den polytekniske Læreanstalt, Danmarks tekniske Højskole: Driftsudgifter","6.11. The Polytechnic Institute, Denmark's Technical University: Operating expenses",182884300.0,thousand,DKK,higher_education,review,0.3,1975 19742_L1_som_vedtaget.pdf,120,gpt-4o-mini,extract,,,
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,6.12. Danmarks Ingeniørakademi: Driftsudgifter,6.12. The Danish Academy of Engineering: Operating expenses,38351100.0,thousand,DKK,higher_education,review,0.3,1975 19742_L1_som_vedtaget.pdf,120,gpt-4o-mini,extract,,,
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,6.13. Danmarks farmaceutiske Højskole: Driftsudgifter,6.13. The Danish Pharmaceutical School: Operating expenses,20060000.0,thousand,DKK,higher_education,review,0.3,1975 19742_L1_som_vedtaget.pdf,120,gpt-4o-mini,extract,,,
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,6.14. Københavns Tandlægehøjskole: Driftsudgifter,6.14. Copenhagen Dental School: Operating expenses,46210200.0,thousand,DKK,higher_education,review,0.3,1975 19742_L1_som_vedtaget.pdf,120,gpt-4o-mini,extract,,,
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,6.15. Århus Tandlægehøjskole: Driftsudgifter,6.15. Aarhus Dental School: Operating expenses,31886000.0,thousand,DKK,higher_education,review,0.3,1975 19742_L1_som_vedtaget.pdf,120,gpt-4o-mini,extract,,,
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,6.16. Den kgl. Veterinær- og Landbohøjskole: Driftsudgifter,6.16. The Royal Veterinary and Agricultural University: Operating expenses,90675200.0,thousand,DKK,higher_education,review,0.3,1975 19742_L1_som_vedtaget.pdf,120,gpt-4o-mini,extract,,,
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,Forskerstipendier,Research Fellowships,2450000.0,thousand,DKK,higher_education,include,1.0,1975 19742_L1_som_vedtaget.pdf,122,gpt-4o-mini,extract,,,
Denmark,1975,section_total,20,Undervisningsministeriet,Ministry of Education,,I alt 626.000.000,"Total 626,000,000",626000.0,thousand,DKK,science_agency,include,1.0,1975 19742_L1_som_vedtaget.pdf,122,gpt-4o-mini,extract,,[section_total: § overview aggregate],section
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,Atomenergikommissionen: Driftsudgifter,Atomic Energy Commission: Operating Expenses,109120000.0,thousand,DKK,science_agency,review,0.3,1975 19742_L1_som_vedtaget.pdf,123,gpt-4o-mini,extract,,,
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,Dansk Rumforskningsinstitut: Driftsudgifter,Danish Space Research Institute: Operating Expenses,6100000.0,thousand,DKK,science_agency,review,0.3,1975 19742_L1_som_vedtaget.pdf,123,gpt-4o-mini,extract,,,
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,Dansk følgeforskning i forbindelse med den europæiske organisation for atomkerneforskning (CERN): Driftsudgifter,Danish follow-up research in connection with the European Organization for Nuclear Research (CERN): Operating Expenses,2291200.0,thousand,DKK,direct_rd,include,1.0,1975 19742_L1_som_vedtaget.pdf,123,gpt-4o-mini,extract,,,
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,"Tilskud til støtte af dansk forskning, L 199 1972 med senere ændringer i medfør af L 142 1973","Grants to support Danish research, L 199 1972 with later amendments under L 142 1973",87693200.0,thousand,DKK,direct_rd,review,0.3,1975 19742_L1_som_vedtaget.pdf,123,gpt-4o-mini,extract,,,
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,Særligt bidrag til Euratom,Special contribution to Euratom,550000.0,thousand,DKK,direct_rd,include,1.0,1975 19742_L1_som_vedtaget.pdf,123,gpt-4o-mini,extract,,,
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,Uddannelse af atomvidenskabsmænd i Danmark,Training of nuclear scientists in Denmark,2600000.0,thousand,DKK,higher_education,include,1.0,1975 19742_L1_som_vedtaget.pdf,123,gpt-4o-mini,extract,,,
Denmark,1975,line_item,20,Undervisningsministeriet,Ministry of Education,,Tilskud til videnskabelige formål,Grants for scientific purposes,562000.0,thousand,DKK,direct_rd,include,1.0,1975 19742_L1_som_vedtaget.pdf,35,gpt-4o-mini,extract,,,
Denmark,1975,line_item,19,Uddannelses- og Forskningsministeriet,Ministry of Higher Education and Science,,Statens naturvidenskabelige Forskningsrad,Danish Natural Science Research Council,2000000.0,thousand,DKK,science_agency,include,1.0,1975 19742_L1_som_vedtaget.pdf,4,gpt-4o-mini,extract,,,
Denmark,1975,line_item,19,Uddannelses- og Forskningsministeriet,Ministry of Higher Education and Science,,Statens humanistiske Forskningsrad,Humanities Research Council,500000.0,thousand,DKK,science_agency,include,1.0,1975 19742_L1_som_vedtaget.pdf,4,gpt-4o-mini,extract,,,
Denmark,1975,line_item,19,Uddannelses- og Forskningsministeriet,Ministry of Higher Education and Science,,Danmarks Innovationsfond,Innovation Fund Denmark,4000000.0,thousand,DKK,innovation_instruments,include,1.0,1975 19742_L1_som_vedtaget.pdf,4,gpt-4o-mini,extract,,,
Denmark,1975,line_item,19,Uddannelses- og Forskningsministeriet,Ministry of Higher Education and Science,,Statens laegervidenskabelige Forskningsrad,Medical Research Council,300000.0,thousand,DKK,science_agency,include,1.0,1975 19742_L1_som_vedtaget.pdf,4,gpt-4o-mini,extract,,,
Denmark,1975,line_item,19,Uddannelses- og Forskningsministeriet,Ministry of Higher Education and Science,,Statens samfundsvidenskabelige Forskningsrad,Social Science Research Council,1500000.0,thousand,DKK,science_agency,include,1.0,1975 19742_L1_som_vedtaget.pdf,4,gpt-4o-mini,extract,,,
Denmark,1975,line_item,19,Uddannelses- og Forskningsministeriet,Ministry of Higher Education and Science,,Statens teknisk-videnskabelige Forskningsfond,State Technical-Scientific Research Fund,1000000.0,thousand,DKK,science_agency,include,1.0,1975 19742_L1_som_vedtaget.pdf,4,gpt-4o-mini,extract,,,
Denmark,1975,section_total,19,Uddannelses- og Forskningsministeriet,Ministry of Higher Education and Science,,"I alt 28.789,7 mio. kr.","Total 28,789.7 million DKK",28789700000.0,thousand,DKK,science_agency,review,0.5,1975 19742_L1_som_vedtaget.pdf,4,gpt-4o-mini,extract,"Amount 2.879e+13 DKK out of plausible range [1e+05, 1e+12]",[section_total: § overview aggregate],section
Denmark,1975,section_total,20,Undervisningsministeriet,Ministry of Education,,I alt 3.549.062.600,"Total 3,549,062,600",3549062600.0,thousand,DKK,science_agency,review,0.5,1975 19742_L1_som_vedtaget.pdf,4,gpt-4o-mini,extract,"Amount 3.549e+12 DKK out of plausible range [1e+05, 1e+12]",[section_total: § overview aggregate],section
Denmark,1976,section_total,20,Undervisningsministeriet,Ministry of Education,,Nettotal,Net total,6779788100.0,thousand,DKK,higher_education,review,0.5,1976 19751_L100_som_vedtaget.pdf,109,gpt-4o-mini,extract,"Amount 6.780e+12 DKK out of plausible range [1e+05, 1e+12]",[section_total: § overview aggregate],section
Denmark,1976,line_item,20,Undervisningsministeriet,Ministry of Education,,Ålborg Universitetscenter: Driftsudgifter,Aalborg University Center: Operating expenses,102600000.0,thousand,DKK,higher_education,review,0.3,1976 19751_L100_som_vedtaget.pdf,119,gpt-4o-mini,extract,,,
Denmark,1976,line_item,20,Undervisningsministeriet,Ministry of Education,,Århus Universitet: Driftsudgifter,Aarhus University: Operating expenses,292367200.0,thousand,DKK,higher_education,review,0.3,1976 19751_L100_som_vedtaget.pdf,119,gpt-4o-mini,extract,,,
Denmark,1976,line_item,20,Undervisningsministeriet,Ministry of Education,,Københavns Universitet: Driftsudgifter,Copenhagen University: Operating expenses,588380500.0,thousand,DKK,higher_education,review,0.3,1976 19751_L100_som_vedtaget.pdf,119,gpt-4o-mini,extract,,,
