country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Denmark,1975,Aalborg Universitet (AAU),higher_education,81520000.0,krone,DKK,line_item,6.05. Aalborg University Center: Operating expenses,1975 19742_L1_som_vedtaget.pdf,120,corrected Denmark pre-2001 scale from misread thousand-unit row
Denmark,1976,Aalborg Universitet (AAU),higher_education,102600000.0,krone,DKK,line_item,Aalborg University Center: Operating expenses,1976 19751_L100_som_vedtaget.pdf,119,corrected Denmark pre-2001 scale from misread thousand-unit row
Denmark,1977,Aalborg Universitet (AAU),higher_education,110727100.0,krone,DKK,line_item,8.05. Aalborg University Center: Operating expenses,1977 19762_L1_som_vedtaget.pdf,115,corrected Denmark pre-2001 scale from misread thousand-unit row
Denmark,1978,Aalborg Universitet (AAU),higher_education,92897500.0,krone,DKK,verified_override,Verified against original Denmark budget file,1978 19771_L101_som_vedtaget.pdf,0,corrected Denmark pre-2001 scale from misread thousand-unit row; manual override from original Denmark budget file
Denmark,1979,Aalborg Universitet (AAU),higher_education,125300000.0,krone,DKK,verified_override,Verified against original Denmark budget file,1979 9781_L1_som_vedtaget.pdf,0,corrected Denmark pre-2001 scale from misread thousand-unit row; manual override from original Denmark budget file
Denmark,1980,Aalborg Universitet (AAU),higher_education,135330000.0,krone,DKK,verified_override,Verified against original Denmark budget file,1980 19792_L1_som_vedtaget.pdf,0,gap: no matching rows in this year; manual override from original Denmark budget file
Denmark,1981,Aalborg Universitet (AAU),higher_education,145110200.0,krone,DKK,verified_override,Verified against original Denmark budget file,1981 19801_L1_som_vedtaget.pdf,0,gap: no matching rows in this year; manual override from original Denmark budget file
Denmark,1982,Aalborg Universitet (AAU),higher_education,153830000.0,krone,DKK,verified_override,Verified against original Denmark budget file,1982 19812_L1_som_vedtaget.pdf,0,gap: no matching rows in this year; manual override from original Denmark budget file
Denmark,1983,Aalborg Universitet (AAU),higher_education,177440600.0,krone,DKK,line_item,08.05. Aalborg University,1983 19821_L1_som_vedtaget.pdf,109,
Denmark,1984,Aalborg Universitet (AAU),higher_education,200095000.0,krone,DKK,verified_override,Verified against original Denmark budget file,1984 19832_L1_som_vedtaget.pdf,0,manual override from original Denmark budget file
Denmark,1985,Aalborg Universitet (AAU),higher_education,216743900.0,krone,DKK,verified_override,Verified against original Denmark budget file,1985 19841_L1_som_vedtaget.pdf,0,manual override from original Denmark budget file
Denmark,1986,Aalborg Universitet (AAU),higher_education,227852000.0,krone,DKK,verified_override,Verified against original Denmark budget file,1986 19851_L1_som_vedtaget.pdf,0,manual override from original Denmark budget file
Denmark,1987,Aalborg Universitet (AAU),higher_education,254162000.0,krone,DKK,verified_override,Verified against original Denmark budget file,1987 19861_L1_som_vedtaget.pdf,135,manual override from original Denmark budget file
Denmark,1988,Aalborg Universitet (AAU),higher_education,283819000.0,krone,DKK,verified_override,Verified against original Denmark budget file,1988 19871_L1_som_vedtaget.pdf,153,manual override from original Denmark budget file
Denmark,1989,Aalborg Universitet (AAU),higher_education,321111000.0,krone,DKK,verified_override,Verified against original Denmark budget file,1989 19881_L1_som_vedtaget.pdf,133,gap: no matching rows in this year; manual override from original Denmark budget file
Denmark,1990,Aalborg Universitet (AAU),higher_education,329207000.0,krone,DKK,verified_override,Verified against original Denmark budget file,1990 19891_L1_som_vedtaget.pdf,118,manual override from original Denmark budget file
Denmark,1991,Aalborg Universitet (AAU),higher_education,374100000.0,krone,DKK,verified_override,Verified against original Denmark budget file,1991 19902_L1_som_vedtaget.pdf,0,gap: no matching rows in this year; manual override from original Denmark budget file
Denmark,1992,Aalborg Universitet (AAU),higher_education,393900000.0,krone,DKK,verified_override,Verified against original Denmark budget file,1992 19911_L1_som_vedtaget.pdf,0,manual override from original Denmark budget file
Denmark,1993,Aalborg Universitet (AAU),higher_education,414100000.0,krone,DKK,verified_override,Verified against original Denmark budget file,1993 19921_L1_som_vedtaget.pdf,0,gap: no matching rows in this year; manual override from original Denmark budget file
Denmark,1994,Aalborg Universitet (AAU),higher_education,205200000.0,krone,DKK,verified_override,Verified against original Denmark budget file,1994 19931_L1_som_vedtaget.pdf,0,manual override from original Denmark budget file
Denmark,1995,Aalborg Universitet (AAU),higher_education,215700000.0,krone,DKK,verified_override,Verified against original Denmark budget file,1995 19941_L1_som_vedtaget.pdf,0,manual override from original Denmark budget file
Denmark,1996,Aalborg Universitet (AAU),higher_education,,,,,,,,gap: no matching rows in this year
Denmark,1997,Aalborg Universitet (AAU),higher_education,,,,,,,,
Denmark,1998,Aalborg Universitet (AAU),higher_education,,,,,,,,
Denmark,1999,Aalborg Universitet (AAU),higher_education,295900000.0,krone,DKK,line_item,Aalborg University,1999 19981_L1_som_vedtaget.pdf,88,
Denmark,2000,Aalborg Universitet (AAU),higher_education,354200000.0,krone,DKK,line_item,Aalborg University,2000 19991_L1_som_vedtaget.pdf,89,
Denmark,2001,Aalborg Universitet (AAU),higher_education,,,,,,,,gap: no matching rows in this year
Denmark,2003,Aalborg Universitet (AAU),higher_education,942600000.0,krone,DKK,line_item,Aalborg University 942.6 million DKK,2003 20021_L1_som_vedtaget.pdf,88,
Denmark,2004,Aalborg Universitet (AAU),higher_education,,,,,,,,gap: no matching rows in this year
Denmark,2005,Aalborg Universitet (AAU),higher_education,1026800000.0,krone,DKK,verified_override,Verified against original Denmark budget file,20041_L1_som_vedtaget.pdf,86,manual override from original Denmark budget file
Denmark,2006,Aalborg Universitet (AAU),higher_education,1044400000.0,krone,DKK,line_item,Aalborg University,2006 20051_L2_som_vedtaget.pdf,83,
Denmark,2007,Aalborg Universitet (AAU),higher_education,1080700000.0,krone,DKK,line_item,Aalborg University,2007 20061_L1_som_vedtaget.pdf,81,
Denmark,2008,Aalborg Universitet (AAU),higher_education,1219000000.0,krone,DKK,line_item,Aalborg University (Reservation appropriation),2008 A20080000130.pdf,89,
Denmark,2009,Aalborg Universitet (AAU),higher_education,1300900000.0,krone,DKK,verified_override,Verified against original Denmark budget file,A20080000330.pdf,0,manual override from original Denmark budget file
Denmark,2010,Aalborg Universitet (AAU),higher_education,1417600000.0,krone,DKK,verified_override,Verified against original Denmark budget file,A20090000230.pdf,0,manual override from original Denmark budget file
Denmark,2011,Aalborg Universitet (AAU),higher_education,1558300000.0,krone,DKK,line_item,Aalborg University,2011 A20100000230.pdf,91,
Denmark,2012,Aalborg Universitet (AAU),higher_education,1642500000.0,krone,DKK,line_item,"Aalborg University (text note 8, 107, 109, 150, 153, 156, 167, 171, 172, 191, 192 and 193) (Self-financed)",2012 A20120000130.pdf,103,
Denmark,2013,Aalborg Universitet (AAU),higher_education,1793700000.0,krone,DKK,verified_override,Verified against original Denmark budget file,A20120000330.pdf,0,manual override from original Denmark budget file
Denmark,2014,Aalborg Universitet (AAU),higher_education,1899300000.0,krone,DKK,verified_override,Verified against original Denmark budget file,A20130000230.pdf,0,manual override from original Denmark budget file
Denmark,2015,Aalborg Universitet (AAU),higher_education,2052300000.0,krone,DKK,verified_override,Verified against original Denmark budget file,A20140000230.pdf,0,manual override from original Denmark budget file
Denmark,2016,Aalborg Universitet (AAU),higher_education,2021800000.0,krone,DKK,line_item,Aalborg University,2016 A20150000230.pdf,98,
