country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Denmark,Aalborg Universitet (AAU),1975,81520000.0,81520000.0,1,1975 19742_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1976,102600000.0,102600000.0,1,1976 19751_L100_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1977,110727100.0,110727100.0,1,1977 19762_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1978,92897500.0,92897500.0,1,1978 19771_L101_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1979,125300000.0,125300000.0,1,1979 9781_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1980,135330000.0,135330000.0,1,1980 19792_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1981,145110200.0,145110200.0,1,1981 19801_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1982,153830000.0,153830000.0,1,1982 19812_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1983,177440600.0,177440600.0,1,1983 19821_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1984,200095000.0,200095000.0,1,1984 19832_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1985,216743900.0,216743900.0,1,1985 19841_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1986,227852000.0,227852000.0,1,1986 19851_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1987,254162000.0,254162000.0,1,1987 19861_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1988,283819000.0,283819000.0,1,1988 19871_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1989,321111000.0,321111000.0,1,1989 19881_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1990,329207000.0,329207000.0,1,1990 19891_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1991,374100000.0,374100000.0,1,1991 19902_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1992,393900000.0,393900000.0,1,1992 19911_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1993,414100000.0,414100000.0,1,1993 19921_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1994,205200000.0,205200000.0,1,1994 19931_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1995,215700000.0,215700000.0,1,1995 19941_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),1996,,,0,,gap,,,higher_education
Denmark,Aalborg Universitet (AAU),1997,,,0,,gap,,,higher_education
Denmark,Aalborg Universitet (AAU),1998,,,0,,gap,,,higher_education
Denmark,Aalborg Universitet (AAU),1999,295900000.0,295900000.0,1,1999 19981_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),2000,354200000.0,354200000.0,1,2000 19991_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),2001,,,0,,gap,,,higher_education
Denmark,Aalborg Universitet (AAU),2003,942600000.0,942600000.0,1,2003 20021_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),2004,,,0,,gap,,,higher_education
Denmark,Aalborg Universitet (AAU),2005,1026800000.0,1026800000.0,1,20041_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),2006,1044400000.0,1044400000.0,1,2006 20051_L2_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),2007,1080700000.0,1080700000.0,1,2007 20061_L1_som_vedtaget.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),2008,1219000000.0,1219000000.0,1,2008 A20080000130.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),2009,1300900000.0,1300900000.0,1,A20080000330.pdf,single,DKK,krone,higher_education
Denmark,Aalborg Universitet (AAU),2010,1417600000.0,1417600000.0,1,A20090000230.pdf,single,DKK,krone,higher_education
