country,year,canonical_name,gap_type,action,series_amount,prev_amount,next_amount,diagnosis,verdict,correct_amount_local,correct_unit,preferred_source_files,evidence_page,confidence,reason
Denmark,2003,Statens laegervidenskabelige Forskningsrad,outlier,verify,250000000.0,0.0,,"Amount 250,000,000 outside expected range [-174,726,525 – 232,968,700] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,250000000.0,krone,"[""2003 20021_L1_som_vedtaget.pdf""]",124,1.0,"The current annual total of 250,000,000 krone is directly supported by the source document row, which lists the same amount for the Medical Research Council."
Denmark,2014,Danmarks Innovationsfond,outlier,verify,100000000.0,,1619200000.0,"Amount 100,000,000 outside expected range [252,750,000 – 2,961,050,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,100000000.0,krone,"[""2014 A20130000230.pdf""]",86,0.9,"The current annual total of 100,000,000 krone is directly supported by the source document row, which lists the same amount for the Innovation Fund Denmark."
Denmark,1999,Danmarks Grundforskningsfond (DNRF),outlier,verify,5000000.0,0.0,0.0,"Amount 5,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,5000000.0,krone,"[""1999 19981_L1_som_vedtaget.pdf""]",60,1.0,"The current annual total of 5,000,000 krone is directly supported by the source document row, which lists the same amount for the Danish National Research Foundation."
Denmark,2003,Danmarks Grundforskningsfond (DNRF),outlier,verify,285000000.0,0.0,0.0,"Amount 285,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,285000000.0,krone,"[""2003 20021_L1_som_vedtaget.pdf""]",4,1.0,"The current annual total of 285,000,000 krone is directly supported by the source document row, which describes it as research funds for the Danish National Research Foundation."
Denmark,2006,Danmarks Grundforskningsfond (DNRF),outlier,verify,85400000.0,0.0,500000.0,"Amount 85,400,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,85400000.0,krone,"[""2006 20051_L2_som_vedtaget.pdf""]",135,1.0,"The current annual total of 85,400,000 krone is directly supported by the source document row, which confirms the amount and the agency name."
Denmark,2007,Danmarks Grundforskningsfond (DNRF),outlier,verify,500000.0,85400000.0,800000000.0,"Amount 500,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,500000.0,krone,"[""2007 20061_L1_som_vedtaget.pdf""]",139,1.0,"The current annual total of 500,000 krone is directly supported by the source document row, which lists the same amount for the Danish National Research Foundation."
Denmark,2008,Danmarks Grundforskningsfond (DNRF),outlier,verify,800000000.0,500000.0,0.0,"Amount 800,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,800000000.0,krone,"[""2008 A20080000130.pdf""]",180,0.9,"The current annual total of 800,000,000 krone is directly supported by the source document row, which lists the same amount for the Danish National Research Foundation."
Denmark,2012,Danmarks Grundforskningsfond (DNRF),outlier,verify,500000000.0,0.0,300000000.0,"Amount 500,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,500000000.0,krone,"[""2012 A20120000130.pdf""]",202,1.0,"The current annual total of 500,000,000 krone is directly supported by the source document row, which lists the same amount for the Danish National Research Foundation."
Denmark,2013,Danmarks Grundforskningsfond (DNRF),outlier,verify,300000000.0,500000000.0,50000000.0,"Amount 300,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,300000000.0,krone,"[""2013 A20120000330.pdf""]",192,1.0,"The current annual total of 300,000,000 krone is directly supported by the source document row, which confirms the amount for the Danish National Research Foundation."
Denmark,2014,Danmarks Grundforskningsfond (DNRF),outlier,verify,50000000.0,300000000.0,0.0,"Amount 50,000,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,50000000.0,krone,"[""2014 A20130000230.pdf""]",86,1.0,"The current annual total of 50,000,000 krone is directly supported by the source document row, which lists the same amount for the Danish National Research Foundation."
Denmark,1975,Atomenergikommissionen,outlier,verify,109120000.0,,120844500.0,"Amount 109,120,000 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,109120000.0,krone,"[""1975 19742_L1_som_vedtaget.pdf""]",123,1.0,"The current annual total of 109,120,000 krone is directly supported by the source document row indicating the operating expenses for Atomenergikommissionen."
Denmark,1976,Atomenergikommissionen,outlier,verify,120844500.0,109120000.0,0.0,"Amount 120,844,500 outside expected range [0 – 0] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,120844500.0,krone,"[""1976 19751_L100_som_vedtaget.pdf""]",93,1.0,"The current annual total of 120,844,500 krone is directly supported by the source document, which lists this exact amount as the operational expenses for Atomenergikommissionen."
