country,year,canonical_name,verdict,old_rows,old_amounts,review_amount,review_unit,preferred_source_files,reason,confidence,applied,skip_reason,match_reason
Denmark,2003,Statens laegervidenskabelige Forskningsrad,keep,1,250000000.0,250000000.0,krone,"[""2003 20021_L1_som_vedtaget.pdf""]","The current annual total of 250,000,000 krone is directly supported by the source document row, which lists the same amount for the Medical Research Council.",1.0,False,verdict_not_actionable,
Denmark,2014,Danmarks Innovationsfond,keep,1,100000000.0,100000000.0,krone,"[""2014 A20130000230.pdf""]","The current annual total of 100,000,000 krone is directly supported by the source document row, which lists the same amount for the Innovation Fund Denmark.",0.9,False,verdict_not_actionable,
Denmark,1999,Danmarks Grundforskningsfond (DNRF),keep,1,5000000.0,5000000.0,krone,"[""1999 19981_L1_som_vedtaget.pdf""]","The current annual total of 5,000,000 krone is directly supported by the source document row, which lists the same amount for the Danish National Research Foundation.",1.0,False,verdict_not_actionable,
Denmark,2003,Danmarks Grundforskningsfond (DNRF),keep,1,285000000.0,285000000.0,krone,"[""2003 20021_L1_som_vedtaget.pdf""]","The current annual total of 285,000,000 krone is directly supported by the source document row, which describes it as research funds for the Danish National Research Foundation.",1.0,False,verdict_not_actionable,
Denmark,2006,Danmarks Grundforskningsfond (DNRF),keep,1,85400000.0,85400000.0,krone,"[""2006 20051_L2_som_vedtaget.pdf""]","The current annual total of 85,400,000 krone is directly supported by the source document row, which confirms the amount and the agency name.",1.0,False,verdict_not_actionable,
Denmark,2007,Danmarks Grundforskningsfond (DNRF),keep,1,500000.0,500000.0,krone,"[""2007 20061_L1_som_vedtaget.pdf""]","The current annual total of 500,000 krone is directly supported by the source document row, which lists the same amount for the Danish National Research Foundation.",1.0,False,verdict_not_actionable,
Denmark,2008,Danmarks Grundforskningsfond (DNRF),keep,1,800000000.0,800000000.0,krone,"[""2008 A20080000130.pdf""]","The current annual total of 800,000,000 krone is directly supported by the source document row, which lists the same amount for the Danish National Research Foundation.",0.9,False,verdict_not_actionable,
Denmark,2012,Danmarks Grundforskningsfond (DNRF),keep,1,500000000.0,500000000.0,krone,"[""2012 A20120000130.pdf""]","The current annual total of 500,000,000 krone is directly supported by the source document row, which lists the same amount for the Danish National Research Foundation.",1.0,False,verdict_not_actionable,
Denmark,2013,Danmarks Grundforskningsfond (DNRF),keep,1,300000000.0,300000000.0,krone,"[""2013 A20120000330.pdf""]","The current annual total of 300,000,000 krone is directly supported by the source document row, which confirms the amount for the Danish National Research Foundation.",1.0,False,verdict_not_actionable,
Denmark,2014,Danmarks Grundforskningsfond (DNRF),keep,1,50000000.0,50000000.0,krone,"[""2014 A20130000230.pdf""]","The current annual total of 50,000,000 krone is directly supported by the source document row, which lists the same amount for the Danish National Research Foundation.",1.0,False,verdict_not_actionable,
Denmark,1975,Atomenergikommissionen,keep,1,109120000.0,109120000.0,krone,"[""1975 19742_L1_som_vedtaget.pdf""]","The current annual total of 109,120,000 krone is directly supported by the source document row indicating the operating expenses for Atomenergikommissionen.",1.0,False,verdict_not_actionable,
Denmark,1976,Atomenergikommissionen,keep,1,120844500.0,120844500.0,krone,"[""1976 19751_L100_som_vedtaget.pdf""]","The current annual total of 120,844,500 krone is directly supported by the source document, which lists this exact amount as the operational expenses for Atomenergikommissionen.",1.0,False,verdict_not_actionable,
