year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
1975,Aalborg Universitet (AAU),higher_education,81520000.0,krone,DKK,line_item,1975 19742_L1_som_vedtaget.pdf,120,Data/input/finance_bills/Denmark/1975 19742_L1_som_vedtaget.pdf,,6.05. Aalborg University Center: Operating expenses,covered_by_final_series,,,corrected Denmark pre-2001 scale from misread thousand-unit row
1975,Atomenergikommissionen,science_agency,109120000.0,krone,DKK,line_item,1975 19742_L1_som_vedtaget.pdf,123,Data/input/finance_bills/Denmark/1975 19742_L1_som_vedtaget.pdf,,Atomic Energy Commission: Operating Expenses,covered_by_final_series,,,Dissolved ~1990s; Risoe transferred to DTU 2012.; corrected Denmark pre-2001 scale from misread thousand-unit row
1975,Copenhagen Business School (CBS),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Danish Space Research Institute,science_agency,,,,,,,,,,covered_by_final_series,,,The institute focuses on space research and development.
1975,Danmarks Tekniske Universitet (DTU),higher_education,182884300.0,krone,DKK,line_item,1975 19742_L1_som_vedtaget.pdf,120,Data/input/finance_bills/Denmark/1975 19742_L1_som_vedtaget.pdf,,"6.11. The Polytechnic Institute, Denmark's Technical University: Operating expenses",covered_by_final_series,,,Renamed from Danmarks tekniske Højskole (DTH) to DTU in 1994.; corrected Denmark pre-2001 scale from misread thousand-unit row
1975,European Organization for Nuclear Research,science_agency,,,,,,,,,,covered_by_final_series,,,CERN is a leading research organization in particle physics.
1975,Grants for Scientific Purposes,direct_rd,,,,,,,,,,covered_by_final_series,,,These grants directly support scientific research activities.
1975,Kobenhavns Universitet (KU),higher_education,494343000.0,krone,DKK,line_item,1975 19742_L1_som_vedtaget.pdf,120,Data/input/finance_bills/Denmark/1975 19742_L1_som_vedtaget.pdf,,6.01. University of Copenhagen: Operating expenses,covered_by_final_series,,,Annual basisbevilling line item under UFM / Undervisningsministeriet.; corrected Denmark pre-2001 scale from misread thousand-unit row
1975,Riso Nationallaboratorium,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Roskilde Universitetscenter (RUC),higher_education,44970000.0,krone,DKK,line_item,1975 19742_L1_som_vedtaget.pdf,120,Data/input/finance_bills/Denmark/1975 19742_L1_som_vedtaget.pdf,,6.04. Roskilde University Center: Operating expenses,covered_by_final_series,,,corrected Denmark pre-2001 scale from misread thousand-unit row
1975,Special Contribution to Euratom,direct_rd,,,,,,,,,,covered_by_final_series,,,This contribution supports research in nuclear energy.
1975,Statens humanistiske Forskningsrad,science_agency,,,,,,,,,,covered_by_final_series,,,
1975,Statens laegervidenskabelige Forskningsrad,science_agency,,,,,,,,,,covered_by_final_series,,,
1975,Statens naturvidenskabelige Forskningsrad (SNF),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Statens samfundsvidenskabelige Forskningsrad,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Statens teknisk-videnskabelige Forskningsfond (STvF),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1975,Syddansk Universitet (SDU),higher_education,74811800.0,krone,DKK,line_item,1975 19742_L1_som_vedtaget.pdf,120,Data/input/finance_bills/Denmark/1975 19742_L1_som_vedtaget.pdf,,6.03. University of Odense and University Center: Operating expenses,covered_by_final_series,,,Previously Odense Universitet (pre-1998).; corrected Denmark pre-2001 scale from misread thousand-unit row
1975,Training of Nuclear Scientists in Denmark,higher_education,,,,,,,,,,covered_by_final_series,,,This program focuses on training in nuclear science.
1975,Undervisningsministeriet (research section),rd_ministry,,,,,,,,,,covered_by_final_series,,,§20 pre-2001. Only the research/university sub-section is in scope.
1975,Universiteterne (collective),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Aalborg Universitet (AAU),higher_education,102600000.0,krone,DKK,line_item,1976 19751_L100_som_vedtaget.pdf,119,Data/input/finance_bills/Denmark/1976 19751_L100_som_vedtaget.pdf,,Aalborg University Center: Operating expenses,covered_by_final_series,,,corrected Denmark pre-2001 scale from misread thousand-unit row
1976,Atomenergikommissionen,science_agency,120844500.0,krone,DKK,line_item,1976 19751_L100_som_vedtaget.pdf,93,Data/input/finance_bills/Denmark/1976 19751_L100_som_vedtaget.pdf,,Driftsudgifter,covered_by_final_series,,,Dissolved ~1990s; Risoe transferred to DTU 2012.
1976,Copenhagen Business School (CBS),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Danish Pharmaceutical University Operating Expenses,higher_education,,,,,,,,,,covered_by_final_series,,,This entity is associated with a higher education institution focused on pharmaceutical research.
1976,Danish Space Research Institute,science_agency,,,,,,,,,,covered_by_final_series,,,The institute focuses on space research and development.
1976,Danmarks Tekniske Universitet (DTU),higher_education,213909500.0,krone,DKK,line_item,1976 19751_L100_som_vedtaget.pdf,119,Data/input/finance_bills/Denmark/1976 19751_L100_som_vedtaget.pdf,,"The Polytechnic School, Denmark's Technical University: Operating expenses",covered_by_final_series,,,Renamed from Danmarks tekniske Højskole (DTH) to DTU in 1994.; corrected Denmark pre-2001 scale from misread thousand-unit row
1976,European Organization for Astronomical Research (ESO),science_agency,,,,,,,,,,covered_by_final_series,,,Funding for ESO supports astronomical research and projects.
1976,European Organization for Nuclear Research,science_agency,,,,,,,,,,covered_by_final_series,,,CERN is a leading research organization in particle physics.
1976,Grants for International Space Research Projects,direct_rd,,,,,,,,,,covered_by_final_series,,,These grants are specifically for space research collaboration.
1976,Kobenhavns Universitet (KU),higher_education,588380500.0,krone,DKK,line_item,1976 19751_L100_som_vedtaget.pdf,119,Data/input/finance_bills/Denmark/1976 19751_L100_som_vedtaget.pdf,,Copenhagen University: Operating expenses,covered_by_final_series,,,Annual basisbevilling line item under UFM / Undervisningsministeriet.; corrected Denmark pre-2001 scale from misread thousand-unit row
1976,Regional Fund for Medical Research,direct_rd,,,,,,,,,,covered_by_final_series,,,This fund supports medical research initiatives.
1976,Riso Nationallaboratorium,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Roskilde Universitetscenter (RUC),higher_education,55823700.0,krone,DKK,line_item,1976 19751_L100_som_vedtaget.pdf,119,Data/input/finance_bills/Denmark/1976 19751_L100_som_vedtaget.pdf,,Roskilde University Center: Operating expenses,covered_by_final_series,,,corrected Denmark pre-2001 scale from misread thousand-unit row
1976,Statens humanistiske Forskningsrad,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Statens laegervidenskabelige Forskningsrad,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Statens naturvidenskabelige Forskningsrad (SNF),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Statens samfundsvidenskabelige Forskningsrad,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Statens teknisk-videnskabelige Forskningsfond (STvF),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1976,Syddansk Universitet (SDU),higher_education,101629200.0,krone,DKK,line_item,1976 19751_L100_som_vedtaget.pdf,119,Data/input/finance_bills/Denmark/1976 19751_L100_som_vedtaget.pdf,,Odense University and University Center: Operating expenses,covered_by_final_series,,,Previously Odense Universitet (pre-1998).; corrected Denmark pre-2001 scale from misread thousand-unit row
1976,Undervisningsministeriet (research section),rd_ministry,,,,,,,,,,covered_by_final_series,,,§20 pre-2001. Only the research/university sub-section is in scope.
1976,Universiteterne (collective),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,Aalborg Universitet (AAU),higher_education,110727100.0,krone,DKK,line_item,1977 19762_L1_som_vedtaget.pdf,115,Data/input/finance_bills/Denmark/1977 19762_L1_som_vedtaget.pdf,,8.05. Aalborg University Center: Operating expenses,covered_by_final_series,,,corrected Denmark pre-2001 scale from misread thousand-unit row
1977,Atomenergikommissionen,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,Copenhagen Business School (CBS),higher_education,75120300.0,krone,DKK,line_item,1977 19762_L1_som_vedtaget.pdf,115,Data/input/finance_bills/Denmark/1977 19762_L1_som_vedtaget.pdf,,8.18. Copenhagen Business School: Operating expenses,covered_by_final_series,,,corrected Denmark pre-2001 scale from misread thousand-unit row
1977,Danish Space Research Institute,science_agency,,,,,,,,,,covered_by_final_series,,,The institute focuses on space research and development.
1977,Danmarks Tekniske Universitet (DTU),higher_education,228737500.0,krone,DKK,line_item,1977 19762_L1_som_vedtaget.pdf,115,Data/input/finance_bills/Denmark/1977 19762_L1_som_vedtaget.pdf,,"8.11. The Polytechnic Institute, Denmark's Technical University: Operating expenses",covered_by_final_series,,,Renamed from Danmarks tekniske Højskole (DTH) to DTU in 1994.; corrected Denmark pre-2001 scale from misread thousand-unit row
1977,EU Research Contracts,direct_rd,,,,,,,,,,covered_by_final_series,,,These contracts are likely to fund research and development activities.
1977,European Organization for Astronomical Research (ESO),science_agency,,,,,,,,,,covered_by_final_series,,,Funding for ESO supports astronomical research and projects.
1977,European Organization for Nuclear Research,science_agency,,,,,,,,,,covered_by_final_series,,,CERN is a leading research organization in particle physics.
1977,European Space Organization Grants,innovation_instruments,,,,,,,,,,covered_by_final_series,,,This entity provides grants for research in space science.
1977,Grants for Psychiatric Research,innovation_instruments,,,,,,,,,,covered_by_final_series,,,These grants support research in psychiatric fields.
1977,Kobenhavns Universitet (KU),higher_education,623528000.0,krone,DKK,line_item,1977 19762_L1_som_vedtaget.pdf,115,Data/input/finance_bills/Denmark/1977 19762_L1_som_vedtaget.pdf,,8.01. University of Copenhagen: Operating expenses,covered_by_final_series,,,Annual basisbevilling line item under UFM / Undervisningsministeriet.; corrected Denmark pre-2001 scale from misread thousand-unit row
1977,Riso Nationallaboratorium,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,Roskilde Universitetscenter (RUC),higher_education,59816000.0,krone,DKK,line_item,1977 19762_L1_som_vedtaget.pdf,115,Data/input/finance_bills/Denmark/1977 19762_L1_som_vedtaget.pdf,,8.04. Roskilde University Center: Operating expenses,covered_by_final_series,,,corrected Denmark pre-2001 scale from misread thousand-unit row
1977,Statens humanistiske Forskningsrad,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,Statens laegervidenskabelige Forskningsrad,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,Statens naturvidenskabelige Forskningsrad (SNF),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,Statens samfundsvidenskabelige Forskningsrad,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,Statens teknisk-videnskabelige Forskningsfond (STvF),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1977,Syddansk Universitet (SDU),higher_education,116262200.0,krone,DKK,line_item,1977 19762_L1_som_vedtaget.pdf,115,Data/input/finance_bills/Denmark/1977 19762_L1_som_vedtaget.pdf,,8.03. University of Odense and University Center: Operating expenses,covered_by_final_series,,,Previously Odense Universitet (pre-1998).; corrected Denmark pre-2001 scale from misread thousand-unit row
1977,Undervisningsministeriet (research section),rd_ministry,,,,,,,,,,covered_by_final_series,,,§20 pre-2001. Only the research/university sub-section is in scope.
1977,Universiteterne (collective),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,Aalborg Universitet (AAU),higher_education,92897500.0,krone,DKK,verified_override,1978 19771_L101_som_vedtaget.pdf,0,Data/input/finance_bills/Denmark/1978 19771_L101_som_vedtaget.pdf,,Verified against original Denmark budget file,verified_against_original_file,,,corrected Denmark pre-2001 scale from misread thousand-unit row; manual override from original Denmark budget file
1978,Aarhus Universitet (AU),higher_education,255239700.0,krone,DKK,verified_override,1978 19771_L101_som_vedtaget.pdf,0,Data/input/finance_bills/Denmark/1978 19771_L101_som_vedtaget.pdf,,Verified against original Denmark budget file,verified_against_original_file,,,manual override from original Denmark budget file
1978,Atomenergikommissionen,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,Copenhagen Business School (CBS),higher_education,61383200.0,krone,DKK,verified_override,1978 19771_L101_som_vedtaget.pdf,0,Data/input/finance_bills/Denmark/1978 19771_L101_som_vedtaget.pdf,,Verified against original Denmark budget file,verified_against_original_file,,,gap: no matching rows in this year; manual override from original Denmark budget file
1978,Danish Space Research Institute,science_agency,,,,,,,,,,covered_by_final_series,,,The institute focuses on space research and development.
1978,Danmarks Tekniske Universitet (DTU),higher_education,183747800.0,krone,DKK,verified_override,1978 19771_L101_som_vedtaget.pdf,0,Data/input/finance_bills/Denmark/1978 19771_L101_som_vedtaget.pdf,,Verified against original Denmark budget file,verified_against_original_file,,,gap: no matching rows in this year; manual override from original Denmark budget file
1978,EU Research Contracts,direct_rd,,,,,,,,,,covered_by_final_series,,,These contracts are likely to fund research and development activities.
1978,European Organization for Astronomical Research (ESO),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,European Organization for Nuclear Research,science_agency,,,,,,,,,,covered_by_final_series,,,CERN is a leading research organization in particle physics.
1978,Kobenhavns Universitet (KU),higher_education,489504600.0,krone,DKK,verified_override,1978 19771_L101_som_vedtaget.pdf,0,Data/input/finance_bills/Denmark/1978 19771_L101_som_vedtaget.pdf,,Verified against original Denmark budget file,verified_against_original_file,,,Annual basisbevilling line item under UFM / Undervisningsministeriet.; corrected Denmark pre-2001 scale from misread thousand-unit row; manual override from original Denmark budget file
1978,Research Center at Hørsholm,science_agency,,,,,,,,,,covered_by_final_series,,,This center is likely involved in research activities.
1978,Research Scholarships,direct_rd,,,,,,,,,,covered_by_final_series,,,These scholarships support individuals in conducting research.
1978,Riso Nationallaboratorium,science_agency,952500.0,krone,DKK,line_item,1978 19771_L101_som_vedtaget.pdf,85,Data/input/finance_bills/Denmark/1978 19771_L101_som_vedtaget.pdf,,"Ny telefoncentral, Risø",covered_by_final_series,,,Transferred to DTU as DTU Risoe in 2012.
1978,Roskilde Universitetscenter (RUC),higher_education,47827000.0,krone,DKK,verified_override,1978 19771_L101_som_vedtaget.pdf,0,Data/input/finance_bills/Denmark/1978 19771_L101_som_vedtaget.pdf,,Verified against original Denmark budget file,verified_against_original_file,,,gap: no matching rows in this year; manual override from original Denmark budget file
1978,Royal Veterinary and Agricultural University,higher_education,,,,,,,,,,covered_by_final_series,,,This institution is involved in agricultural and veterinary research.
1978,Statens humanistiske Forskningsrad,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,Statens laegervidenskabelige Forskningsrad,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,Statens naturvidenskabelige Forskningsrad (SNF),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,Statens samfundsvidenskabelige Forskningsrad,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,Statens teknisk-videnskabelige Forskningsfond (STvF),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1978,Support for International Collaboration Projects in Space Research,innovation_instruments,,,,,,,,,,covered_by_final_series,,,This program supports international collaboration in space research.
1978,Support for International Cooperation Projects in Space Research,innovation_instruments,,,,,,,,,,covered_by_final_series,,,This program supports collaborative space research initiatives.
1978,Syddansk Universitet (SDU),higher_education,97485200.0,krone,DKK,verified_override,1978 19771_L101_som_vedtaget.pdf,0,Data/input/finance_bills/Denmark/1978 19771_L101_som_vedtaget.pdf,,Verified against original Denmark budget file,verified_against_original_file,,,Previously Odense Universitet (pre-1998).; corrected Denmark pre-2001 scale from misread thousand-unit row; manual override from original Denmark budget file
1978,Undervisningsministeriet (research section),rd_ministry,,,,,,,,,,covered_by_final_series,,,§20 pre-2001. Only the research/university sub-section is in scope.
1978,Universiteterne (collective),higher_education,,,,,,,,,,covered_by_final_series,,,Collective line for all universities — use only when individual lines unavailable.
1979,Aalborg Universitet (AAU),higher_education,125300000.0,krone,DKK,verified_override,1979 9781_L1_som_vedtaget.pdf,0,Data/input/finance_bills/Denmark/1979 9781_L1_som_vedtaget.pdf,,Verified against original Denmark budget file,verified_against_original_file,,,corrected Denmark pre-2001 scale from misread thousand-unit row; manual override from original Denmark budget file
1979,Aarhus Universitet (AU),higher_education,350592400.0,krone,DKK,verified_override,1979 9781_L1_som_vedtaget.pdf,0,Data/input/finance_bills/Denmark/1979 9781_L1_som_vedtaget.pdf,,Verified against original Denmark budget file,verified_against_original_file,,,manual override from original Denmark budget file
1979,Atomenergikommissionen,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1979,Copenhagen Business School (CBS),higher_education,88877800.0,krone,DKK,verified_override,1979 9781_L1_som_vedtaget.pdf,0,Data/input/finance_bills/Denmark/1979 9781_L1_som_vedtaget.pdf,,Verified against original Denmark budget file,verified_against_original_file,,,manual override from original Denmark budget file
1979,Danish Space Research Institute,science_agency,,,,,,,,,,covered_by_final_series,,,The institute focuses on space research and development.
1979,Danmarks Tekniske Universitet (DTU),higher_education,251849000.0,krone,DKK,verified_override,1979 9781_L1_som_vedtaget.pdf,0,Data/input/finance_bills/Denmark/1979 9781_L1_som_vedtaget.pdf,,Verified against original Denmark budget file,verified_against_original_file,,,Renamed from Danmarks tekniske Højskole (DTH) to DTU in 1994.; manual override from original Denmark budget file
1979,EU Research Contracts,direct_rd,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1979,European Organization for Astronomical Research (ESO),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
1979,European Organization for Nuclear Research,science_agency,,,,,,,,,,covered_by_final_series,,,CERN is a leading research organization in particle physics.
1979,European Southern Observatory,direct_rd,,,,,,,,,,covered_by_final_series,,,The ESO is a significant contributor to astronomical research.
1979,European Space Agency,innovation_instruments,,,,,,,,,,covered_by_final_series,,,ESA is involved in various research and development projects in space.
