source_file,pdf_path,full_text_cache,selected_rows,selected_canonicals,selected_pages,selected_line_descriptions,selected_amounts,traceability_status,source_audit_note
1975 19742_L1_som_vedtaget.pdf,Data/input/finance_bills/Denmark/1975 19742_L1_som_vedtaget.pdf,,6,Aalborg Universitet (AAU) | Atomenergikommissionen | Danmarks Tekniske Universitet (DTU) | Kobenhavns Universitet (KU) | Roskilde Universitetscenter (RUC) | Syddansk Universitet (SDU),120 | 123 | 120 | 120 | 120 | 120,"6.05. Aalborg University Center: Operating expenses | Atomic Energy Commission: Operating Expenses | 6.11. The Polytechnic Institute, Denmark's Technical University: Operating expenses | 6.01. University of Copenhagen: Operating expenses | 6.04. Roskilde University Center: Operating expenses | 6.03. University of Odense and University Center: Operating expenses",81520000.0 | 109120000.0 | 182884300.0 | 494343000.0 | 44970000.0 | 74811800.0,covered_by_final_series,
1976 19751_L100_som_vedtaget.pdf,Data/input/finance_bills/Denmark/1976 19751_L100_som_vedtaget.pdf,,6,Aalborg Universitet (AAU) | Atomenergikommissionen | Danmarks Tekniske Universitet (DTU) | Kobenhavns Universitet (KU) | Roskilde Universitetscenter (RUC) | Syddansk Universitet (SDU),119 | 93 | 119 | 119 | 119 | 119,"Aalborg University Center: Operating expenses | Driftsudgifter | The Polytechnic School, Denmark's Technical University: Operating expenses | Copenhagen University: Operating expenses | Roskilde University Center: Operating expenses | Odense University and University Center: Operating expenses",102600000.0 | 120844500.0 | 213909500.0 | 588380500.0 | 55823700.0 | 101629200.0,covered_by_final_series,
1977 19762_L1_som_vedtaget.pdf,Data/input/finance_bills/Denmark/1977 19762_L1_som_vedtaget.pdf,,6,Aalborg Universitet (AAU) | Copenhagen Business School (CBS) | Danmarks Tekniske Universitet (DTU) | Kobenhavns Universitet (KU) | Roskilde Universitetscenter (RUC) | Syddansk Universitet (SDU),115 | 115 | 115 | 115 | 115 | 115,"8.05. Aalborg University Center: Operating expenses | 8.18. Copenhagen Business School: Operating expenses | 8.11. The Polytechnic Institute, Denmark's Technical University: Operating expenses | 8.01. University of Copenhagen: Operating expenses | 8.04. Roskilde University Center: Operating expenses | 8.03. University of Odense and University Center: Operating expenses",110727100.0 | 75120300.0 | 228737500.0 | 623528000.0 | 59816000.0 | 116262200.0,covered_by_final_series,
1978 19771_L101_som_vedtaget.pdf,Data/input/finance_bills/Denmark/1978 19771_L101_som_vedtaget.pdf,,8,Aalborg Universitet (AAU) | Aarhus Universitet (AU) | Copenhagen Business School (CBS) | Danmarks Tekniske Universitet (DTU) | Kobenhavns Universitet (KU) | Riso Nationallaboratorium | Roskilde Universitetscenter (RUC) | Syddansk Universitet (SDU),0 | 0 | 0 | 0 | 0 | 85 | 0 | 0,"Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Ny telefoncentral, Risø | Verified against original Denmark budget file | Verified against original Denmark budget file",92897500.0 | 255239700.0 | 61383200.0 | 183747800.0 | 489504600.0 | 952500.0 | 47827000.0 | 97485200.0,covered_by_final_series,
1979 9781_L1_som_vedtaget.pdf,Data/input/finance_bills/Denmark/1979 9781_L1_som_vedtaget.pdf,,13,Aalborg Universitet (AAU) | Aarhus Universitet (AU) | Copenhagen Business School (CBS) | Danmarks Tekniske Universitet (DTU) | Kobenhavns Universitet (KU) | Riso Nationallaboratorium | Roskilde Universitetscenter (RUC) | Statens humanistiske Forskningsrad | Statens laegervidenskabelige Forskningsrad | Statens naturvidenskabelige Forskningsrad (SNF) | Statens samfundsvidenskabelige Forskningsrad | Statens teknisk-videnskabelige Forskningsfond (STvF) | Syddansk Universitet (SDU),0 | 0 | 0 | 0 | 0 | 86 | 0 | 176 | 176 | 176 | 176 | 176 | 0,Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Reparation af bygninger på Risø | Verified against original Denmark budget file | Humanities Research Council | Medical Research Council | Danish Natural Science Research Council | Social Science Research Council | State Technical-Scientific Research Fund | Verified against original Denmark budget file,125300000.0 | 350592400.0 | 88877800.0 | 251849000.0 | 657835200.0 | 2780000.0 | 65170000.0 | 9000000.0 | 8000000.0 | 12000000.0 | 11000000.0 | 15000000.0 | 137915300.0,covered_by_final_series,
1980 19792_L1_som_vedtaget.pdf,Data/input/finance_bills/Denmark/1980 19792_L1_som_vedtaget.pdf,,7,Aalborg Universitet (AAU) | Aarhus Universitet (AU) | Copenhagen Business School (CBS) | Danmarks Tekniske Universitet (DTU) | Kobenhavns Universitet (KU) | Roskilde Universitetscenter (RUC) | Syddansk Universitet (SDU),0 | 0 | 0 | 0 | 0 | 0 | 0,Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file,135330000.0 | 369796900.0 | 97784100.0 | 264977900.0 | 706215300.0 | 70037000.0 | 149321100.0,covered_by_final_series,
1981 19801_L1_som_vedtaget.pdf,Data/input/finance_bills/Denmark/1981 19801_L1_som_vedtaget.pdf,,7,Aalborg Universitet (AAU) | Aarhus Universitet (AU) | Copenhagen Business School (CBS) | Danmarks Tekniske Universitet (DTU) | Kobenhavns Universitet (KU) | Roskilde Universitetscenter (RUC) | Syddansk Universitet (SDU),0 | 0 | 0 | 0 | 0 | 0 | 0,Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file,145110200.0 | 387209100.0 | 106883000.0 | 282517800.0 | 746334700.0 | 75670300.0 | 161331700.0,covered_by_final_series,
1982 19812_L1_som_vedtaget.pdf,Data/input/finance_bills/Denmark/1982 19812_L1_som_vedtaget.pdf,,8,Aalborg Universitet (AAU) | Aarhus Universitet (AU) | Copenhagen Business School (CBS) | Danmarks Tekniske Universitet (DTU) | Kobenhavns Universitet (KU) | Riso Nationallaboratorium | Roskilde Universitetscenter (RUC) | Syddansk Universitet (SDU),0 | 0 | 0 | 0 | 0 | 154 | 0 | 0,"Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Nyt edb-anlæg, Risø | Verified against original Denmark budget file | Verified against original Denmark budget file",153830000.0 | 409057400.0 | 118567000.0 | 307976000.0 | 787533400.0 | 20400000.0 | 82215000.0 | 170411000.0,covered_by_final_series,
1983 19821_L1_som_vedtaget.pdf,Data/input/finance_bills/Denmark/1983 19821_L1_som_vedtaget.pdf,,5,Aalborg Universitet (AAU) | Danmarks Tekniske Universitet (DTU) | Kobenhavns Universitet (KU) | Roskilde Universitetscenter (RUC) | Syddansk Universitet (SDU),109 | 110 | 108 | 109 | 109,08.05. Aalborg University | 08.11. Technical University of Denmark | 08.01. University of Copenhagen | 08.04. Roskilde University | 08.03. University of Southern Denmark,177440600.0 | 356974900.0 | 885727700.0 | 94502800.0 | 195433000.0,covered_by_final_series,
1984 19832_L1_som_vedtaget.pdf,Data/input/finance_bills/Denmark/1984 19832_L1_som_vedtaget.pdf,,7,Aalborg Universitet (AAU) | Aarhus Universitet (AU) | Copenhagen Business School (CBS) | Danmarks Tekniske Universitet (DTU) | Kobenhavns Universitet (KU) | Roskilde Universitetscenter (RUC) | Syddansk Universitet (SDU),0 | 0 | 0 | 0 | 0 | 0 | 0,Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file,200095000.0 | 496960800.0 | 157249100.0 | 395319000.0 | 937335100.0 | 102756000.0 | 214923500.0,covered_by_final_series,
1985 19841_L1_som_vedtaget.pdf,Data/input/finance_bills/Denmark/1985 19841_L1_som_vedtaget.pdf,,6,Aalborg Universitet (AAU) | Copenhagen Business School (CBS) | Danmarks Tekniske Universitet (DTU) | Kobenhavns Universitet (KU) | Roskilde Universitetscenter (RUC) | Syddansk Universitet (SDU),0 | 0 | 0 | 124 | 0 | 0,Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | 08.01. University of Copenhagen | Verified against original Denmark budget file | Verified against original Denmark budget file,216743900.0 | 177020000.0 | 408672500.0 | 957115000.0 | 106845800.0 | 222464200.0,covered_by_final_series,
1986 19851_L1_som_vedtaget.pdf,Data/input/finance_bills/Denmark/1986 19851_L1_som_vedtaget.pdf,,7,Aalborg Universitet (AAU) | Aarhus Universitet (AU) | Copenhagen Business School (CBS) | Danmarks Tekniske Universitet (DTU) | Kobenhavns Universitet (KU) | Roskilde Universitetscenter (RUC) | Syddansk Universitet (SDU),0 | 0 | 0 | 0 | 0 | 0 | 0,Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file,227852000.0 | 502137200.0 | 188803400.0 | 406483000.0 | 909929500.0 | 102491000.0 | 214892000.0,covered_by_final_series,
1987 19861_L1_som_vedtaget.pdf,Data/input/finance_bills/Denmark/1987 19861_L1_som_vedtaget.pdf,,7,Aalborg Universitet (AAU) | Aarhus Universitet (AU) | Copenhagen Business School (CBS) | Danmarks Tekniske Universitet (DTU) | Kobenhavns Universitet (KU) | Roskilde Universitetscenter (RUC) | Syddansk Universitet (SDU),135 | 133 | 138 | 135 | 133 | 135 | 134,Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file,254162000.0 | 539958200.0 | 209992300.0 | 434333000.0 | 961498800.0 | 111135000.0 | 232763000.0,covered_by_final_series,
1988 19871_L1_som_vedtaget.pdf,Data/input/finance_bills/Denmark/1988 19871_L1_som_vedtaget.pdf,,8,Aalborg Universitet (AAU) | Aarhus Universitet (AU) | Copenhagen Business School (CBS) | Danmarks Tekniske Universitet (DTU) | Kobenhavns Universitet (KU) | Riso Nationallaboratorium | Roskilde Universitetscenter (RUC) | Syddansk Universitet (SDU),153 | 151 | 156 | 153 | 151 | 232 | 152 | 152,Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file,283819000.0 | 575174800.0 | 233282600.0 | 468193400.0 | 1030719500.0 | 237120000.0 | 117211500.0 | 249946600.0,covered_by_final_series,
1989 19881_L1_som_vedtaget.pdf,Data/input/finance_bills/Denmark/1989 19881_L1_som_vedtaget.pdf,,13,Aalborg Universitet (AAU) | Aarhus Universitet (AU) | Copenhagen Business School (CBS) | Danmarks Tekniske Universitet (DTU) | Kobenhavns Universitet (KU) | Riso Nationallaboratorium | Roskilde Universitetscenter (RUC) | Statens humanistiske Forskningsrad | Statens laegervidenskabelige Forskningsrad | Statens naturvidenskabelige Forskningsrad (SNF) | Statens samfundsvidenskabelige Forskningsrad | Statens teknisk-videnskabelige Forskningsfond (STvF) | Syddansk Universitet (SDU),133 | 132 | 138 | 135 | 131 | 206 | 133 | 137 | 137 | 137 | 137 | 137 | 132,"Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Risø Research Center, Experimental Activities | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file | Verified against original Denmark budget file",321111000.0 | 622085900.0 | 263080000.0 | 513662000.0 | 1103277500.0 | 235710000.0 | 134721000.0 | 48660000.0 | 56930000.0 | 104910000.0 | 34890000.0 | 129570000.0 | 274805000.0,covered_by_final_series,
