country,year,canonical_name,category,amount_local,currency,unit,item_type,source_kind,source_file,page_number,line_description_en,series_notes,traceability_status
Denmark,1978,Aalborg Universitet (AAU),higher_education,92897500.0,DKK,krone,verified_override,original_pdf,1978 19771_L101_som_vedtaget.pdf,0,Verified against original Denmark budget file,corrected Denmark pre-2001 scale from misread thousand-unit row; manual override from original Denmark budget file,verified_against_original_file
Denmark,1979,Aalborg Universitet (AAU),higher_education,125300000.0,DKK,krone,verified_override,original_pdf,1979 9781_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,corrected Denmark pre-2001 scale from misread thousand-unit row; manual override from original Denmark budget file,verified_against_original_file
Denmark,1980,Aalborg Universitet (AAU),higher_education,135330000.0,DKK,krone,verified_override,original_pdf,1980 19792_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,gap: no matching rows in this year; manual override from original Denmark budget file,verified_against_original_file
Denmark,1981,Aalborg Universitet (AAU),higher_education,145110200.0,DKK,krone,verified_override,original_pdf,1981 19801_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,gap: no matching rows in this year; manual override from original Denmark budget file,verified_against_original_file
Denmark,1982,Aalborg Universitet (AAU),higher_education,153830000.0,DKK,krone,verified_override,original_pdf,1982 19812_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,gap: no matching rows in this year; manual override from original Denmark budget file,verified_against_original_file
Denmark,1984,Aalborg Universitet (AAU),higher_education,200095000.0,DKK,krone,verified_override,original_pdf,1984 19832_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1985,Aalborg Universitet (AAU),higher_education,216743900.0,DKK,krone,verified_override,original_pdf,1985 19841_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1986,Aalborg Universitet (AAU),higher_education,227852000.0,DKK,krone,verified_override,original_pdf,1986 19851_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1987,Aalborg Universitet (AAU),higher_education,254162000.0,DKK,krone,verified_override,original_pdf,1987 19861_L1_som_vedtaget.pdf,135,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1988,Aalborg Universitet (AAU),higher_education,283819000.0,DKK,krone,verified_override,original_pdf,1988 19871_L1_som_vedtaget.pdf,153,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1989,Aalborg Universitet (AAU),higher_education,321111000.0,DKK,krone,verified_override,original_pdf,1989 19881_L1_som_vedtaget.pdf,133,Verified against original Denmark budget file,gap: no matching rows in this year; manual override from original Denmark budget file,verified_against_original_file
Denmark,1990,Aalborg Universitet (AAU),higher_education,329207000.0,DKK,krone,verified_override,original_pdf,1990 19891_L1_som_vedtaget.pdf,118,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1991,Aalborg Universitet (AAU),higher_education,374100000.0,DKK,krone,verified_override,original_pdf,1991 19902_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,gap: no matching rows in this year; manual override from original Denmark budget file,verified_against_original_file
Denmark,1992,Aalborg Universitet (AAU),higher_education,393900000.0,DKK,krone,verified_override,original_pdf,1992 19911_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
Denmark,1993,Aalborg Universitet (AAU),higher_education,414100000.0,DKK,krone,verified_override,original_pdf,1993 19921_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,gap: no matching rows in this year; manual override from original Denmark budget file,verified_against_original_file
Denmark,1994,Aalborg Universitet (AAU),higher_education,205200000.0,DKK,krone,verified_override,original_pdf,1994 19931_L1_som_vedtaget.pdf,0,Verified against original Denmark budget file,manual override from original Denmark budget file,verified_against_original_file
