country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes,cleaning_notes,aggregation_role
Estonia,1991,section_total,Haridusministeerium,Haridusministeerium,Ministry of Education and Research,,Haridusministeerium,Ministry of Education and Research,69307600.0,unit,RUB,science_agency,include,1.0,1991 13111571.pdf,1,gpt-4o-mini,extract,,[estonia_section_total][estonia_large_full_value_not_thousand],section
Estonia,1991,program_total,Teadusfond,Teadusfond,Science Foundation,,Teadusfond,Science Foundation,28241200.0,unit,RUB,science_agency,include,1.0,1991 13111571.pdf,1,gpt-4o-mini,extract,,[estonia_large_full_value_not_thousand],
Estonia,1991,line_item,Teadusfond,Teadusfond,Science Foundation,,Teadusfond,Science Foundation,5000000.0,unit,RUB,direct_rd,include,1.0,1991 13111571.pdf,1,gpt-4o-mini,extract,,[estonia_large_full_value_not_thousand],
Estonia,1991,line_item,Teaduste Akadeemia,Teaduste Akadeemia,Academy of Sciences,,Teaduste Akadeemia,Academy of Sciences,690000.0,thousand,RUB,science_agency,include,1.0,1991 13111571.pdf,3,gpt-4o-mini,extract,,,
Estonia,1991,line_item,Innovatsioonifond,Innovatsioonifond,Innovation Fund,,Innovatsioonifond,Innovation Fund,5000000.0,unit,RUB,innovation_instruments,include,1.0,1991 13111571.pdf,3,gpt-4o-mini,extract,,[estonia_large_full_value_not_thousand],
Estonia,1992,line_item,Eesti Teadusfond,Eesti Teadusfond,Estonian Science Foundation,,Kapitaalmahutused,Capital investments,1817.0,thousand,EEK,research_infrastructure,include,0.8,1992 13105790.pdf,4,gpt-4o-mini,extract,Includes capital investments for research purposes.,,
Estonia,1992,line_item,Eesti Teadusfond,Eesti Teadusfond,Estonian Science Foundation,,Teaduskulud,Research expenses,34917.0,thousand,EEK,direct_rd,include,0.9,1992 13105790.pdf,4,gpt-4o-mini,extract,,,
Estonia,1992,section_total,Haridusministeerium,Haridus- ja Teadusministeerium,Ministry of Education and Research,,Kulud kokku,Total expenses,137942.0,thousand,EEK,higher_education,review,0.5,1992 13105790.pdf,4,gpt-4o-mini,extract,Mixed-purpose ministry; total includes non-R&D components.,[estonia_section_total],section
Estonia,1992,program_total,Eesti Teadusfond,Eesti Teadusfond,Estonian Science Foundation,,Kulud kokku,Total expenses,36734.0,thousand,EEK,science_agency,include,0.9,1992 13105790.pdf,4,gpt-4o-mini,extract,,[estonia_section_total],section
Estonia,1994,program_total,Eesti Teadusfond,Eesti Teadusfond,Estonian Science Foundation,,Eesti Teadusfond,Estonian Science Foundation,117162000.0,unit,EEK,science_agency,include,0.9,1994 28618.pdf,10,gpt-4o-mini,extract,Core operating funding for a dedicated science agency.,[estonia_large_full_value_not_thousand],
Estonia,1994,section_total,Kultuuri- ja Haridusministeerium,Kultuuri- ja Haridusministeerium,Ministry of Culture and Education,,Kultuuri- ja Haridusministeeriumi valitsemisala,Ministry of Culture and Education management area,1196872200.0,unit,EEK,higher_education,review,0.5,1994 28618.pdf,9,gpt-4o-mini,extract,Mixed-purpose ministry; includes non-R&D components.,[estonia_infrastructure_non_rd][estonia_section_total][estonia_large_full_value_not_thousand],section
Estonia,1994,line_item,Kultuuri- ja Haridusministeerium,Kultuuri- ja Haridusministeerium,Ministry of Culture and Education,,Tallinna Tehnikaülikool,Tallinn University of Technology,55478000.0,unit,EEK,higher_education,include,0.9,1994 28618.pdf,9,gpt-4o-mini,extract,Explicitly for research activities.,[estonia_large_full_value_not_thousand],
Estonia,1994,program_total,Kultuuri- ja Haridusministeerium,Kultuuri- ja Haridusministeerium,Ministry of Culture and Education,,ülikoolide kulud,University expenses,175706000.0,unit,EEK,higher_education,include,0.8,1994 28618.pdf,9,gpt-4o-mini,extract,Includes research funding for universities.,[estonia_large_full_value_not_thousand],
Estonia,1994,line_item,Kultuuri- ja Haridusministeerium,Kultuuri- ja Haridusministeerium,Ministry of Culture and Education,,Tartu Ülikool,University of Tartu,78312000.0,unit,EEK,higher_education,include,0.9,1994 28618.pdf,9,gpt-4o-mini,extract,Explicitly for research activities.,[estonia_large_full_value_not_thousand],
Estonia,1995,line_item,35,KULTUURI- JA HARIDUSMINISTEERIUM,Ministry of Culture and Education,,Kalamajanduslikud teadusuuringud,Fisheries research,1000000.0,unit,EEK,direct_rd,include,0.9,1995 28719.pdf,10,gpt-4o-mini,extract,Explicitly for research activities.,[estonia_large_full_value_not_thousand],
Estonia,1995,section_total,35,KULTUURI- JA HARIDUSMINISTEERIUM,Ministry of Culture and Education,,KULTUURI- JA HARIDUSMINISTEERIUM,Ministry of Culture and Education,9008000.0,unit,EEK,unclear,review,0.5,1995 28719.pdf,12,gpt-4o-mini,extract,Mixed-purpose ministry; includes non-R&D components.,[estonia_infrastructure_non_rd][estonia_section_total][estonia_large_full_value_not_thousand],section
Estonia,1995,program_total,35,KULTUURI- JA HARIDUSMINISTEERIUM,Ministry of Culture and Education,,Ülikoolid,Universities,272488000.0,unit,EEK,higher_education,include,0.8,1995 28719.pdf,13,gpt-4o-mini,extract,Total includes research activities at universities.,[estonia_large_full_value_not_thousand],
Estonia,1995,line_item,35,KULTUURI- JA HARIDUSMINISTEERIUM,Ministry of Culture and Education,,Eesti Teadusfond,Estonian Science Foundation,166870000.0,unit,EEK,science_agency,include,0.9,1995 28719.pdf,18,gpt-4o-mini,extract,Core operating funding for a dedicated science agency.,[estonia_large_full_value_not_thousand],
Estonia,1995,line_item,,Estonian Academy of Sciences,Estonian Academy of Sciences,,Eesti Teaduste Akadeemia hoone,Eesti Teaduste Akadeemia hoone,1200000.0,unit,EEK,science_agency,include,1.0,1995 28719.pdf,20,gpt-4o-mini,targeted_recovery,,[estonia_large_full_value_not_thousand],
Estonia,1995,section_total,Eesti Teadusagentuur,Eesti Teadusagentuur,Estonian Research Council,,Eesti Teadusagentuuri kulud kokku,Total expenses of the Estonian Research Council,,unit,EEK,science_agency,review,0.4,1995 28719.pdf,21,gpt-4o-mini,extract,Total not specified; needs further breakdown. | no_amount,[estonia_section_total],section
Estonia,1995,section_total,Haridus- ja Teadusministeerium,Haridus- ja Teadusministeerium,Ministry of Education and Research,,Kultuuri- ja Haridusministeeriumi kulud kokku,Total expenses of the Ministry of Culture and Education,1959315500.0,unit,EEK,science_agency,review,0.5,1995 28719.pdf,21,gpt-4o-mini,extract,Mixed-purpose ministry; total includes non-R&D components.,[estonia_infrastructure_non_rd][estonia_section_total][estonia_large_full_value_not_thousand],section
