country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Estonia,2003,Archimedes Foundation,science_agency,13596000.0,kroon,EEK,line_item,Archimedes Foundation,2003 608767.pdf,11,
Estonia,2004,Archimedes Foundation,science_agency,40701400.0,kroon,EEK,line_item,Archimedes Foundation,2004 822726.pdf,15,
Estonia,2005,Archimedes Foundation,science_agency,44671400.0,kroon,EEK,line_item,Sihtasutus Archimedes,2005 960922.pdf,13,
Estonia,2006,Archimedes Foundation,science_agency,46221403.0,kroon,EEK,line_item,Archimedes Foundation,2006 969308.pdf,13,
Estonia,2007,Archimedes Foundation,science_agency,52273840.0,kroon,EEK,line_item,Sihtasutus Archimedes,2007 12768664.pdf,16,
Estonia,2008,Archimedes Foundation,science_agency,34027056.0,kroon,EEK,line_item,Archimedes Foundation,2008 12901846.pdf,22,
Estonia,2009,Archimedes Foundation,science_agency,1425053475.0,kroon,EEK,program_total,Archimedes Foundation,2009 13111066.pdf,16,
Estonia,2010,Archimedes Foundation,science_agency,277232235.0,kroon,EEK,line_item,Sihtasutus Archimedes,2010 13252314.pdf,16,
Estonia,2011,Archimedes Foundation,science_agency,122463679.0,euro,EUR,line_item,Archimedes Foundation,2011_Estonia.pdf,7,
Estonia,2022,Estonia R&D / Innovation Programmes (post-2011),rd_programme,218717000.0,euro,EUR,verified_override,Verified against original Estonia budget file,2022 125052022002.pdf,4,manual override from original Estonia budget file
Estonia,2025,Estonia R&D / Innovation Programmes (post-2011),rd_programme,247281000.0,euro,EUR,verified_override,Verified against original Estonia budget file,2025 123122024014.pdf,4,"Programmatic continuation after the institutional series. Use as a post-2011 hybrid bridge only, not as a directly comparable agency line.; manual override from original Estonia budget file"
Estonia,1991,Estonian Academy of Sciences,science_agency,690000.0,ruble,RUB,line_item,Academy of Sciences,1991 13111571.pdf,3,
Estonia,1992,Estonian Academy of Sciences,science_agency,,,,,,,,gap: no matching rows in this year
Estonia,1994,Estonian Academy of Sciences,science_agency,,,,,,,,gap: no matching rows in this year
Estonia,1995,Estonian Academy of Sciences,science_agency,1200000.0,kroon,EEK,line_item,Eesti Teaduste Akadeemia hoone,1995 28719.pdf,20,
Estonia,1996,Estonian Academy of Sciences,science_agency,6522000.0,kroon,EEK,line_item,Allocations to the Estonian Academy of Sciences,1996 28475.pdf,10,
Estonia,1997,Estonian Academy of Sciences,science_agency,11435000.0,kroon,EEK,program_total,Estonian Academy of Sciences,1997 28613.pdf,10,
Estonia,1998,Estonian Academy of Sciences,science_agency,12260000.0,kroon,EEK,line_item,Toetus,1998 74471.pdf,15,
Estonia,1999,Estonian Academy of Sciences,science_agency,13310000.0,kroon,EEK,section_total,Estonian Academy of Sciences,1999.pdf,13,
Estonia,2000,Estonian Academy of Sciences,science_agency,12610000.0,kroon,EEK,program_total,Total for Estonian Academy of Sciences,2000 71664.pdf,11,
Estonia,2001,Estonian Academy of Sciences,science_agency,,,,,,,,gap: no matching rows in this year
Estonia,2002,Estonian Academy of Sciences,science_agency,16510000.0,kroon,EEK,line_item,To the Academy of Sciences,2002 173848.pdf,8,
Estonia,2003,Estonian Academy of Sciences,science_agency,,,,,,,,gap: no matching rows in this year
Estonia,2004,Estonian Academy of Sciences,science_agency,,,,,,,,gap: no matching rows in this year
Estonia,2005,Estonian Academy of Sciences,science_agency,,,,,,,,gap: no matching rows in this year
Estonia,2006,Estonian Academy of Sciences,science_agency,,,,,,,,gap: no matching rows in this year
Estonia,2007,Estonian Academy of Sciences,science_agency,,,,,,,,gap: no matching rows in this year
Estonia,2008,Estonian Academy of Sciences,science_agency,,,,,,,,gap: no matching rows in this year
Estonia,2009,Estonian Academy of Sciences,science_agency,,,,,,,,gap: no matching rows in this year
Estonia,2010,Estonian Academy of Sciences,science_agency,,,,,,,,gap: no matching rows in this year
Estonia,2011,Estonian Academy of Sciences,science_agency,1208953.0,euro,EUR,line_item,Estonian Academy of Sciences,2011_Estonia.pdf,7,
Estonia,2007,Estonian Biocenter Projects,direct_rd,11525328.0,kroon,EEK,program_total,Projects of the Estonian Biocenter,2007 12768664.pdf,25,This entity is involved in biological research projects.
Estonia,2005,Estonian Cardiology Institute,science_agency,145000000.0,kroon,EEK,section_total,Operating expenses,2005 960922.pdf,60,This institute is dedicated to research in cardiology.
Estonia,2008,Estonian Genome Center,science_agency,8010000.0,kroon,EEK,line_item,Estonian Genome Center,2008 12901846.pdf,78,"This center focuses on genomic research, which is highly relevant to R&D."
Estonia,2007,Estonian Information Technology Foundation,science_agency,5151020.0,kroon,EEK,line_item,Estonian Information Technology Foundation,2007 12768664.pdf,21,This foundation supports R&D in information technology.
