country,year,source_file,file_path,missing_agencies
Estonia,1992,1992 13105790.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Estonia/1992 13105790.pdf,Estonian Academy of Sciences
Estonia,1994,1994 28618.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Estonia/1994 28618.pdf,Estonian Academy of Sciences
Estonia,2001,2001 72597.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Estonia/2001 72597.pdf,Estonian Academy of Sciences
Estonia,2003,2003 608767.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Estonia/2003 608767.pdf,Estonian Academy of Sciences
Estonia,2004,2004 822726.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Estonia/2004 822726.pdf,Estonian Academy of Sciences
Estonia,2005,2005 960922.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Estonia/2005 960922.pdf,Estonian Academy of Sciences
Estonia,2006,2006 969308.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Estonia/2006 969308.pdf,Estonian Academy of Sciences
Estonia,2007,2007 12768664.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Estonia/2007 12768664.pdf,Estonian Academy of Sciences
Estonia,2008,2008 12901846.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Estonia/2008 12901846.pdf,Estonian Academy of Sciences
Estonia,2009,2009 13111066.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Estonia/2009 13111066.pdf,Estonian Academy of Sciences
Estonia,2010,2010 13252314.pdf,/Users/danielm/Desktop/oecd-work/Innovation-Policy/Data/input/finance_bills/Estonia/2010 13252314.pdf,Estonian Academy of Sciences
