country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes,cleaning_notes,aggregation_role,dedup_notes,temporal_flag
Finland,1985,line_item,32.01,Geologian tutkimuskeskus,Geological Survey of Finland,,Geologian tutkimuskeskuksen tulot,Revenue of the Geological Survey of Finland,1880000.0,thousand,FIM,science_agency,review,1.0,1985 proposal fi19840128.pdf,137,gpt-4o-mini,extract,,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,program_total,32.20,Innovaatiopolitiikka,Innovation Policy,,Valtion teknillisen tutkimuskeskuksen tu- lot,Revenue of the Technical Research Centre of Finland,267459000.0,thousand,FIM,innovation_instruments,review,1.0,1985 proposal fi19840128.pdf,137,gpt-4o-mini,extract,,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,line_item,32.20.40,Julkinen tutkimus- ja kehittämistoiminta,Public R&D Grants to Companies,,Valtionapu tutkimustoimintaan,State aid for research activities,5400000.0,thousand,FIM,direct_rd,review,1.0,1985 proposal fi19840128.pdf,180,gpt-4o-mini,extract,,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,line_item,29.60.50,Suomen Akatemia,Academy of Finland,,Suomen Akatemian tutkimusmäärärahat,Academy research grants,242000000.0,thousand,FIM,direct_rd,review,1.0,1985 proposal fi19840128.pdf,19,gpt-4o-mini,extract,,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,section_total,29,Opetusministeriö,Ministry of Education,,Yleinen tutkimus ja tuotekehittely,General research and product development,242000000.0,thousand,FIM,direct_rd,review,0.7,1985 proposal fi19840128.pdf,19,gpt-4o-mini,extract,Includes non-R&D components,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify][section_total: chapter/pääluokka aggregate],section,,
Finland,1985,line_item,32.20.06,Kauppa- ja teollisuusministeriö,Ministry of Trade and Industry,,Tekes toimintamenot,Tekes operating costs,,unit,FIM,science_agency,review,0.4,1985 proposal fi19840128.pdf,22,gpt-4o-mini,extract,no_amount,,,,
Finland,1985,line_item,32.01.02,Kauppa- ja teollisuusministeriö,Ministry of Trade and Industry,,VTT toimintamenot,VTT operating costs,,unit,FIM,science_agency,review,0.4,1985 proposal fi19840128.pdf,22,gpt-4o-mini,extract,no_amount,,,,
Finland,1985,program_total,29.60,Tiede,Science,,Suomen Akatemian tutkimusmäärärahat,Academy research grants,2000000.0,thousand,FIM,direct_rd,review,0.9,1985 proposal fi19840128.pdf,230,gpt-4o-mini,extract,Specific research grants from the Academy,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,line_item,29.60.50,Suomen Akatemia,Academy of Finland,,Tieteellinen tutkimus (siirtomääräraha),Scientific research (transfer appropriation),2000000.0,thousand,FIM,direct_rd,review,0.9,1985 proposal fi19840128.pdf,230,gpt-4o-mini,extract,Funding for research projects and special studies,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,section_total,32,Kauppa- ja teollisuusministeriö,Ministry of Trade and Industry,,Innovaatiopolitiikka,Innovation policy,0.0,thousand,FIM,innovation_instruments,review,0.4,1985 proposal fi19840128.pdf,304,gpt-4o-mini,extract,Total includes non-R&D components,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify][section_total: chapter/pääluokka aggregate],section,,
Finland,1985,section_total,29,Opetusministeriö,Ministry of Education,,Korkeakouluopetus ja tutkimus,University education and research,105727000.0,thousand,FIM,higher_education,review,0.7,1985 proposal fi19840128.pdf,306,gpt-4o-mini,extract,Total includes non-R&D components,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify][section_total: chapter/pääluokka aggregate],section,,
Finland,1985,line_item,29.10,Opetusministeriö,Ministry of Education,,Helsingin yliopiston määrärahasta 20 000 mk on tarkoitettu Svenska social- ja kommunalhögskolan -nimiselle yksikölle.,"From the appropriation for the University of Helsinki, 20,000 mk is intended for the unit named Svenska social- och kommunalhögskolan.",20000.0,thousand,FIM,higher_education,review,0.5,1985 proposal fi19840128.pdf,307,gpt-4o-mini,extract,Not explicitly for research activities,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,section_total,29,Opetusministeriö,Ministry of Education,,Korkeakouluopetus ja tutkimus,University education and research,4300000.0,thousand,FIM,higher_education,review,0.5,1985 proposal fi19840128.pdf,307,gpt-4o-mini,extract,Total includes non-R&D components,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify][section_total: chapter/pääluokka aggregate],section,,
Finland,1985,program_total,29.60,Tiede,Science,,Suomen Akatemian tutkimusmäärärahat,Academy research grants,116900000.0,thousand,FIM,direct_rd,review,0.9,1985 proposal fi19840128.pdf,402,gpt-4o-mini,extract,Key R&D line,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,line_item,29.88,Suomen Akatemia,Academy of Finland,,"Perustutkimuksen ja soveltavan tutkimuksen tutkimushankkeisiin, ympäristönsuojelun sekä tutkijakoulutuksen edistämiseen.","For basic and applied research projects, environmental protection, and promoting researcher training.",49500000.0,thousand,FIM,direct_rd,review,0.9,1985 proposal fi19840128.pdf,403,gpt-4o-mini,extract,Part of the Academy research grants,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,line_item,29.88,Suomen Akatemia,Academy of Finland,,Kansainvälinen tutkimusyhteistyö.,International research cooperation.,9800000.0,thousand,FIM,rd_adjacent,review,0.8,1985 proposal fi19840128.pdf,403,gpt-4o-mini,extract,International collaboration funding,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,line_item,29.60.50,Suomen Akatemia,Academy of Finland,,Suomen Akatemian käytettäväksi julkaisu-toiminnan ja tieteellisten seurojen muun toiminnan tukemiseen sekä matka-apurahoihin,For the Academy of Finland to support publication activities and other activities of scientific societies as well as travel grants,11600000.0,thousand,FIM,direct_rd,review,0.9,1985 proposal fi19840128.pdf,404,gpt-4o-mini,extract,,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,line_item,29.60.50,Suomen Akatemia,Academy of Finland,,"Er~isiin t~tkimus-, selvitys- ja julkaisupro- Jektelhm","For various research, investigation, and publication projects",600000.0,thousand,FIM,direct_rd,review,0.8,1985 proposal fi19840128.pdf,404,gpt-4o-mini,extract,,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,section_total,29,Opetusministeriö,Ministry of Education,,Yhteensä,Total,51390000.0,thousand,FIM,science_agency,review,0.7,1985 proposal fi19840128.pdf,404,gpt-4o-mini,extract,Total includes non-R&D components.,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify][section_total: chapter/pääluokka aggregate],section,,
Finland,1985,line_item,32.20.06,Tekes,Tekes,,Tekes toimintamenot,Operating costs of Tekes,10000000.0,thousand,FIM,science_agency,review,0.9,1985 proposal fi19840128.pdf,408,gpt-4o-mini,extract,,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,line_item,32.20.40,Julkinen tutkimus- ja kehittämistoiminta,Public R&D grants to companies,,Julkinen tutkimus- ja kehittämistoiminta,Public R&D activities,20000000.0,thousand,FIM,innovation_instruments,review,0.9,1985 proposal fi19840128.pdf,408,gpt-4o-mini,extract,,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,line_item,32.01,VTT,VTT,,VTT toimintamenot,Operating costs of VTT,20000000.0,thousand,FIM,science_agency,review,0.9,1985 proposal fi19840128.pdf,426,gpt-4o-mini,extract,,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,program_total,29.60,Tiede,Science,,Suomen Akatemian tutkimusmäärärahat,Academy research grants,0.0,thousand,FIM,direct_rd,review,0.9,1985 proposal fi19840128.pdf,479,gpt-4o-mini,extract,Key R&D line.,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,line_item,32.01,Geologian tutkimuskeskus,Geological Survey of Finland,,Toimintamenot,Operating costs,0.0,thousand,FIM,science_agency,review,0.9,1985 proposal fi19840128.pdf,482,gpt-4o-mini,extract,Operating costs for research agency.,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,line_item,32.20.40,Innovaatiopolitiikka,Innovation policy,,Julkinen tutkimus- ja kehittämistoiminta,Public R&D grants to companies,0.0,thousand,FIM,innovation_instruments,review,0.9,1985 proposal fi19840128.pdf,482,gpt-4o-mini,extract,Specific line for public R&D grants.,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,section_total,29,Opetusministeriö,Ministry of Education,,1985 esitys,1985 proposal,44954000.0,thousand,FIM,unclear,review,0.5,1985 proposal fi19840128.pdf,483,gpt-4o-mini,extract,Mixed-purpose ministry; total includes non-R&D components.,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify][section_total: chapter/pääluokka aggregate],section,,
Finland,1985,program_total,29.60,Tiede,Science,,Suomen Akatemian tutkimusmäärärahat,Academy research grants,,unit,FIM,direct_rd,review,0.4,1985 proposal fi19840128.pdf,484,gpt-4o-mini,extract,Key R&D line. | no_amount,,,,
Finland,1985,line_item,29.60.50,Suomen Akatemia,Academy of Finland,,Tutkimusmäärärahat,Research grants,9000000.0,thousand,FIM,direct_rd,review,0.9,1985 proposal fi19840128.pdf,484,gpt-4o-mini,extract,Specific research grants for domestic research.,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify],,,
Finland,1985,section_total,32,Kauppa- ja teollisuusministeriö,Ministry of Trade and Industry,,1985 esitys,1985 proposal,11999000.0,thousand,FIM,unclear,review,0.5,1985 proposal fi19840128.pdf,485,gpt-4o-mini,extract,Mixed-purpose ministry; total includes non-R&D components.,[unit_error: Finland amounts should be unit='unit' (full EUR/FIM); unit=million/thousand is likely wrong — re-verify][section_total: chapter/pääluokka aggregate],section,,
