country,year,canonical_name,category,amount_local,unit,currency,item_type,line_description_en,source_file,page_number,series_notes
Finland,1985,Business Finland / Tekes (innovation agency),innovation_instruments,20000000.0,unit,FIM,line_item,Operating costs of Tekes,1985 proposal fi19840128.pdf,600,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,1986,Business Finland / Tekes (innovation agency),innovation_instruments,169941000.0,unit,FIM,line_item,Tekes operating costs,1986 proposal fi19850112.pdf,439,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,1987,Business Finland / Tekes (innovation agency),innovation_instruments,130000000.0,unit,FIM,line_item,Other consumption expenses,1987 proposal fi19860110.pdf,84,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,1988,Business Finland / Tekes (innovation agency),innovation_instruments,100000000.0,unit,FIM,line_item,Operating costs,1988 proposal fi19870050.pdf,478,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,1989,Business Finland / Tekes (innovation agency),innovation_instruments,100000000.0,unit,FIM,line_item,"An appropriation of 100,000,000 mk is granted.",1989 proposal fi19880104.pdf,500,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,1992,Business Finland / Tekes (innovation agency),innovation_instruments,75000000.0,unit,FIM,line_item,Space research activities (transfer appropriation),1992 proposal fi19910057.pdf,394,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,1993,Business Finland / Tekes (innovation agency),innovation_instruments,10000000.0,unit,FIM,line_item,Public R&D grants to companies,1993 proposal fi19920122.pdf,335,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,1996,Business Finland / Tekes (innovation agency),innovation_instruments,169941000.0,unit,FIM,line_item,Tekes operating costs,1996 proposal fi19950072.pdf,202-204,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,1997,Business Finland / Tekes (innovation agency),innovation_instruments,62300000.0,unit,FIM,line_item,Operating expenses,1997 proposal fi19960103.pdf,338,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,1998,Business Finland / Tekes (innovation agency),innovation_instruments,200000000.0,unit,FIM,line_item,Operating costs,1998 proposal fi19970100.pdf,207,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,1999,Business Finland / Tekes (innovation agency),innovation_instruments,100000000.0,unit,FIM,line_item,Tekes operating costs,1999 proposal fi19980105.pdf,492,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2000,Business Finland / Tekes (innovation agency),innovation_instruments,124000000.0,unit,FIM,line_item,Operating costs of the Technology Development Centre,2000 proposal budget bill fi19990040.pdf,405,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2001,Business Finland / Tekes (innovation agency),innovation_instruments,138000000.0,unit,FIM,verified_override,Verified against original Finland budget file,2001 proposal budget bill draft.pdf,389.0,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).; manual override from original Finland budget file
Finland,2002,Business Finland / Tekes (innovation agency),innovation_instruments,24051000.0,unit,EUR,program_total,Operating costs of the Technology Development Centre,2002 Finland budget download.jsp.pdf,14,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2003,Business Finland / Tekes (innovation agency),innovation_instruments,23983000.0,unit,EUR,line_item,Operating costs of the Technology Development Centre (carryover appropriation 2 years),State budget for 2003.pdf,108,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2004,Business Finland / Tekes (innovation agency),innovation_instruments,6214000.0,unit,EUR,line_item,"State grant for promoting invention, quality, and standardization activities (transfer appropriation 3 years)",State budget for 2004.pdf,112,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2005,Business Finland / Tekes (innovation agency),innovation_instruments,23027000.0,unit,EUR,line_item,Tekes operating costs,State budget for 2005.pdf,110,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2006,Business Finland / Tekes (innovation agency),innovation_instruments,27991000.0,unit,EUR,program_total,Operating costs of the Technology Development Centre,State budget for 2006.pdf,115,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2007,Business Finland / Tekes (innovation agency),innovation_instruments,74016000.0,unit,EUR,line_item,Operating expenses of the Technical Research Centre of Finland,State budget for 2007.pdf,115,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2008,Business Finland / Tekes (innovation agency),innovation_instruments,30490000.0,unit,EUR,line_item,Operating costs of Tekes - Technology and Innovation Development Centre,State budget for 2008.pdf,112,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2009,Business Finland / Tekes (innovation agency),innovation_instruments,47602000.0,unit,EUR,line_item,Tekes - Technology and Innovation Development Centre operating costs (transfer appropriation 3 years),State budget for 2009.pdf,20,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2010,Business Finland / Tekes (innovation agency),innovation_instruments,46347000.0,unit,EUR,line_item,Tekes - Technology and Innovation Development Centre operating costs (transfer appropriation for 3 years),State budget for 2010.pdf,20,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2011,Business Finland / Tekes (innovation agency),innovation_instruments,47686000.0,unit,EUR,line_item,Tekes - operating costs (transfer appropriation for 3 years),State budget for 2011.pdf,20,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2012,Business Finland / Tekes (innovation agency),innovation_instruments,42322000.0,unit,EUR,line_item,Operating costs of Tekes - Technology and Innovation Development Centre,State budget for 2012.pdf,107,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2013,Business Finland / Tekes (innovation agency),innovation_instruments,40704000.0,unit,EUR,program_total,Operating costs for Tekes - Development Centre for Technology and Innovations,State budget for 2013.pdf,20,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2014,Business Finland / Tekes (innovation agency),innovation_instruments,41284000.0,unit,EUR,line_item,Operating expenses of the Innovation Funding Agency Tekes (transfer appropriation 3 years),State budget for 2014.pdf,150,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2015,Business Finland / Tekes (innovation agency),innovation_instruments,40372000.0,unit,EUR,line_item,"An appropriation of 40,372,000 euros is granted.",State budget for 2015.pdf,152,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2016,Business Finland / Tekes (innovation agency),innovation_instruments,38448000.0,unit,EUR,line_item,Operating costs of the Innovation Funding Agency Tekes (transfer appropriation for 3 years),State budget for 2016.pdf,18,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2017,Business Finland / Tekes (innovation agency),innovation_instruments,20000000.0,unit,EUR,line_item,Tekes operating costs,State budget for 2017.pdf,150,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2018,Business Finland / Tekes (innovation agency),innovation_instruments,84021000.0,unit,EUR,line_item,Operating costs for Business Finland (reservation appropriation for 3 years),State budget for 2018.pdf,148,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2019,Business Finland / Tekes (innovation agency),innovation_instruments,0.0,unit,EUR,program_total,Operating costs of the Innovation Funding Agency Business Finland (transfer appropriation for 3 years),State budget for 2019.pdf,143,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2020,Business Finland / Tekes (innovation agency),innovation_instruments,0.0,unit,EUR,program_total,Tekes operating costs,State budget for 2020.pdf,100,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2021,Business Finland / Tekes (innovation agency),innovation_instruments,6291000.0,unit,EUR,line_item,Support for actors promoting sustainable growth policy,State budget for 2021.pdf,152,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2022,Business Finland / Tekes (innovation agency),innovation_instruments,0.0,unit,EUR,line_item,Tekes operating costs,State budget for 2022.pdf,112,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2023,Business Finland / Tekes (innovation agency),innovation_instruments,0.0,unit,EUR,line_item,Tekes operating costs,State budget for 2023.pdf,152,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2024,Business Finland / Tekes (innovation agency),innovation_instruments,99326000.0,unit,EUR,program_total,Operating costs of the Innovation Funding Agency Business Finland,State budget for 2024.pdf,154,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,2025,Business Finland / Tekes (innovation agency),innovation_instruments,71708000.0,unit,EUR,line_item,Operating costs of Business Finland,State budget for 2025.pdf,150,Tekes renamed Business Finland in 2018. Moment 32.20.06 (Tekes) → 32.20.05 (BF).
Finland,1985,Business Finland / Tekes — public R&D grants,innovation_instruments,382000000.0,unit,FIM,line_item,Public R&D grants to companies,1985 proposal fi19840128.pdf,598,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,1986,Business Finland / Tekes — public R&D grants,innovation_instruments,37000000.0,unit,FIM,line_item,1986 proposal,1986 proposal fi19850112.pdf,557,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,1987,Business Finland / Tekes — public R&D grants,innovation_instruments,115000000.0,unit,FIM,line_item,Public R&D grants to companies,1987 proposal fi19860110.pdf,542,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,1988,Business Finland / Tekes — public R&D grants,innovation_instruments,100000000.0,unit,FIM,line_item,Public R&D grants to companies,1988 proposal fi19870050.pdf,478,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,1989,Business Finland / Tekes — public R&D grants,innovation_instruments,38000000.0,unit,FIM,line_item,"An appropriation of 38,000,000 mk is granted.",1989 proposal fi19880104.pdf,500,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,1992,Business Finland / Tekes — public R&D grants,innovation_instruments,9225000.0,unit,FIM,line_item,Research and development activities (transfer appropriation 2 years),1992 budget act Valtion tulo- ja menoarvio vuodelle 1992 _ 35_1992 _ Suomen säädöskokoelma _ Finlex.pdf,12,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,1992,Business Finland / Tekes — public R&D grants,innovation_instruments,245000000.0,unit,FIM,line_item,Public R&D activities,1992 proposal fi19910057.pdf,70,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,1993,Business Finland / Tekes — public R&D grants,innovation_instruments,254000000.0,unit,FIM,line_item,Public R&D grants to companies,1993 proposal fi19920122.pdf,248,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,1996,Business Finland / Tekes — public R&D grants,innovation_instruments,677000000.0,unit,FIM,line_item,Product development grants (part of EU),1996 proposal fi19950072.pdf,334,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,1997,Business Finland / Tekes — public R&D grants,innovation_instruments,33000000.0,unit,FIM,line_item,Public R&D grants to companies,1997 proposal fi19960103.pdf,321,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,1998,Business Finland / Tekes — public R&D grants,innovation_instruments,200000000.0,unit,FIM,line_item,Public R&D grants to companies,1998 proposal fi19970100.pdf,207,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,1999,Business Finland / Tekes — public R&D grants,innovation_instruments,734000000.0,unit,FIM,line_item,"An allocation of 734,000,000 mk is granted.",1999 proposal fi19980105.pdf,411,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,2000,Business Finland / Tekes — public R&D grants,innovation_instruments,900000000.0,unit,FIM,line_item,"New grant decisions can be made up to 900,000,000 marks in 2000.",2000 proposal budget bill fi19990040.pdf,408,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,2001,Business Finland / Tekes — public R&D grants,innovation_instruments,1000000000.0,unit,FIM,line_item,Public R&D grants to companies,2001 proposal budget bill draft.pdf,49,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,2002,Business Finland / Tekes — public R&D grants,innovation_instruments,0.0,unit,EUR,line_item,Public R&D grants to companies,2002 Finland budget download.jsp.pdf,8,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,2003,Business Finland / Tekes — public R&D grants,innovation_instruments,130457000.0,unit,EUR,line_item,Grants for Technological Research and Development (estimated appropriation),State budget for 2003.pdf,22,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,2004,Business Finland / Tekes — public R&D grants,innovation_instruments,67723000.0,unit,EUR,line_item,Loans for technological research and development (estimated appropriation),State budget for 2004.pdf,113,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,2005,Business Finland / Tekes — public R&D grants,innovation_instruments,145931000.0,unit,EUR,line_item,Grants for Technological Research and Development (estimate),State budget for 2005.pdf,21,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,2006,Business Finland / Tekes — public R&D grants,innovation_instruments,158419000.0,unit,EUR,program_total,Grants for technological research and development,State budget for 2006.pdf,116,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,2007,Business Finland / Tekes — public R&D grants,innovation_instruments,161917000.0,unit,EUR,line_item,Grants for technological research and development,State budget for 2007.pdf,116,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,2008,Business Finland / Tekes — public R&D grants,innovation_instruments,171157000.0,unit,EUR,line_item,Grants for technological research and development,State budget for 2008.pdf,113,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,2009,Business Finland / Tekes — public R&D grants,innovation_instruments,194250000.0,unit,EUR,line_item,Public R&D activities (estimated appropriation),State budget for 2009.pdf,20,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,2010,Business Finland / Tekes — public R&D grants,innovation_instruments,409150000.0,unit,EUR,line_item,"Support for research, development, and innovation activities (estimated appropriation)",State budget for 2010.pdf,20,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,2011,Business Finland / Tekes — public R&D grants,innovation_instruments,430650000.0,unit,EUR,line_item,"Support for research, development, and innovation activities",State budget for 2011.pdf,110,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,2012,Business Finland / Tekes — public R&D grants,innovation_instruments,431016000.0,unit,EUR,line_item,"Support for research, development, and innovation activities",State budget for 2012.pdf,20,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,2013,Business Finland / Tekes — public R&D grants,innovation_instruments,431270000.0,unit,EUR,line_item,"Support for research, development, and innovation activities",State budget for 2013.pdf,20,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,2014,Business Finland / Tekes — public R&D grants,innovation_instruments,405320000.0,unit,EUR,line_item,"Support for research, development, and innovation activities",State budget for 2014.pdf,20,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
Finland,2015,Business Finland / Tekes — public R&D grants,innovation_instruments,367571000.0,unit,EUR,line_item,"An appropriation of 367,571,000 euros is granted.",State budget for 2015.pdf,154,Public R&D grants from Tekes/BF to companies and institutes. Moment 32.20.40.
