country,canonical_name,year,amount_total,amount_primary,n_acts,acts,additive_flag,currency,unit,category
Finland,Business Finland / Tekes (innovation agency),1985,20000000.0,20000000.0,1,1985 proposal fi19840128.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),1986,169941000.0,169941000.0,1,1986 proposal fi19850112.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),1987,130000000.0,130000000.0,1,1987 proposal fi19860110.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),1988,100000000.0,100000000.0,1,1988 proposal fi19870050.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),1989,100000000.0,100000000.0,1,1989 proposal fi19880104.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),1992,75000000.0,75000000.0,1,1992 proposal fi19910057.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),1993,10000000.0,10000000.0,1,1993 proposal fi19920122.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),1996,169941000.0,169941000.0,1,1996 proposal fi19950072.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),1997,62300000.0,62300000.0,1,1997 proposal fi19960103.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),1998,200000000.0,200000000.0,1,1998 proposal fi19970100.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),1999,100000000.0,100000000.0,1,1999 proposal fi19980105.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2000,124000000.0,124000000.0,1,2000 proposal budget bill fi19990040.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2001,138000000.0,138000000.0,1,2001 proposal budget bill draft.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2002,24051000.0,24051000.0,1,2002 Finland budget download.jsp.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2003,23983000.0,23983000.0,1,State budget for 2003.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2004,6214000.0,6214000.0,1,State budget for 2004.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2005,23027000.0,23027000.0,1,State budget for 2005.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2006,27991000.0,27991000.0,1,State budget for 2006.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2007,74016000.0,74016000.0,1,State budget for 2007.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2008,30490000.0,30490000.0,1,State budget for 2008.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2009,47602000.0,47602000.0,1,State budget for 2009.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2010,46347000.0,46347000.0,1,State budget for 2010.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2011,47686000.0,47686000.0,1,State budget for 2011.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2012,42322000.0,42322000.0,1,State budget for 2012.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2013,40704000.0,40704000.0,1,State budget for 2013.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2014,41284000.0,41284000.0,1,State budget for 2014.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2015,40372000.0,40372000.0,1,State budget for 2015.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2016,38448000.0,38448000.0,1,State budget for 2016.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2017,20000000.0,20000000.0,1,State budget for 2017.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2018,84021000.0,84021000.0,1,State budget for 2018.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2019,0.0,0.0,1,State budget for 2019.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2020,0.0,0.0,1,State budget for 2020.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2021,6291000.0,6291000.0,1,State budget for 2021.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2022,0.0,0.0,1,State budget for 2022.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2023,0.0,0.0,1,State budget for 2023.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2024,99326000.0,99326000.0,1,State budget for 2024.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes (innovation agency),2025,71708000.0,71708000.0,1,State budget for 2025.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,1985,382000000.0,382000000.0,1,1985 proposal fi19840128.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,1986,37000000.0,37000000.0,1,1986 proposal fi19850112.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,1987,115000000.0,115000000.0,1,1987 proposal fi19860110.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,1988,100000000.0,100000000.0,1,1988 proposal fi19870050.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,1989,38000000.0,38000000.0,1,1989 proposal fi19880104.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,1992,254225000.0,9225000.0,2,1992 budget act Valtion tulo- ja menoarvio vuodelle 1992 _ 35_1992 _ Suomen säädöskokoelma _ Finlex.pdf | 1992 proposal fi19910057.pdf,additive,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,1993,254000000.0,254000000.0,1,1993 proposal fi19920122.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,1996,677000000.0,677000000.0,1,1996 proposal fi19950072.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,1997,33000000.0,33000000.0,1,1997 proposal fi19960103.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,1998,200000000.0,200000000.0,1,1998 proposal fi19970100.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,1999,734000000.0,734000000.0,1,1999 proposal fi19980105.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2000,900000000.0,900000000.0,1,2000 proposal budget bill fi19990040.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2001,1000000000.0,1000000000.0,1,2001 proposal budget bill draft.pdf,single,FIM,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2002,0.0,0.0,1,2002 Finland budget download.jsp.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2003,130457000.0,130457000.0,1,State budget for 2003.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2004,67723000.0,67723000.0,1,State budget for 2004.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2005,145931000.0,145931000.0,1,State budget for 2005.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2006,158419000.0,158419000.0,1,State budget for 2006.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2007,161917000.0,161917000.0,1,State budget for 2007.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2008,171157000.0,171157000.0,1,State budget for 2008.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2009,194250000.0,194250000.0,1,State budget for 2009.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2010,409150000.0,409150000.0,1,State budget for 2010.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2011,430650000.0,430650000.0,1,State budget for 2011.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2012,431016000.0,431016000.0,1,State budget for 2012.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2013,431270000.0,431270000.0,1,State budget for 2013.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2014,405320000.0,405320000.0,1,State budget for 2014.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2015,367571000.0,367571000.0,1,State budget for 2015.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2016,330370000.0,330370000.0,1,State budget for 2016.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2017,274500000.0,274500000.0,1,State budget for 2017.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2018,250900000.0,250900000.0,1,State budget for 2018.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2019,0.0,0.0,1,State budget for 2019.pdf,single,EUR,unit,innovation_instruments
Finland,Business Finland / Tekes — public R&D grants,2020,200000000.0,200000000.0,1,State budget for 2020.pdf,single,EUR,unit,innovation_instruments
