country,year,canonical_name,category,gap_type,gap_subtype,diagnosis,raw_row_match,raw_row_amount,raw_row_file,action,series_amount,series_currency,prev_amount,next_amount
Finland,1985,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,242000000.0,FIM,,346000000.0
Finland,1986,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,346000000.0,FIM,242000000.0,515657000.0
Finland,1987,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,515657000.0,FIM,346000000.0,169941000.0
Finland,1988,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,169941000.0,FIM,515657000.0,330300000.0
Finland,1989,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,330300000.0,FIM,169941000.0,146310000.0
Finland,1992,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,146310000.0,FIM,330300000.0,385150000.0
Finland,1993,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,385150000.0,FIM,146310000.0,430211000.0
Finland,1996,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,430211000.0,FIM,385150000.0,169941000.0
Finland,1997,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,169941000.0,FIM,430211000.0,590000000.0
Finland,1998,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,590000000.0,FIM,169941000.0,713380000.0
Finland,1999,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,713380000.0,FIM,590000000.0,670000000.0
Finland,2000,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,670000000.0,FIM,713380000.0,749360000.0
Finland,2001,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,749360000.0,FIM,670000000.0,59701000.0
Finland,2002,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,59701000.0,EUR,749360000.0,387000000.0
Finland,2003,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,387000000.0,EUR,59701000.0,104184000.0
Finland,2004,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,104184000.0,EUR,387000000.0,485000000.0
Finland,2005,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,485000000.0,EUR,104184000.0,120132000.0
Finland,2006,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,120132000.0,EUR,485000000.0,130011000.0
Finland,2007,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,130011000.0,EUR,120132000.0,169941000.0
Finland,2008,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,169941000.0,EUR,130011000.0,169941000.0
Finland,2009,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,169941000.0,EUR,169941000.0,209099000.0
Finland,2010,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,209099000.0,EUR,169941000.0,234711000.0
Finland,2011,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,234711000.0,EUR,209099000.0,251526000.0
Finland,2012,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,251526000.0,EUR,234711000.0,238592000.0
Finland,2013,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,238592000.0,EUR,251526000.0,143809000.0
Finland,2014,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,143809000.0,EUR,238592000.0,500000000.0
Finland,2015,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,500000000.0,EUR,143809000.0,232133000.0
Finland,2016,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,232133000.0,EUR,500000000.0,238331000.0
Finland,2017,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,238331000.0,EUR,232133000.0,276665000.0
Finland,2018,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,276665000.0,EUR,238331000.0,215000000.0
Finland,2019,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,215000000.0,EUR,276665000.0,500000000.0
Finland,2020,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,500000000.0,EUR,215000000.0,353744000.0
Finland,2021,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,353744000.0,EUR,500000000.0,375896000.0
Finland,2022,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,375896000.0,EUR,353744000.0,345575000.0
Finland,2023,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,345575000.0,EUR,375896000.0,403137000.0
Finland,2024,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,403137000.0,EUR,345575000.0,458186000.0
Finland,2025,Suomen Akatemia — tutkimusmäärärahat (research grants),science_agency,ok,,,,,,none,458186000.0,EUR,403137000.0,
Finland,1985,Suomen Akatemia — toimintamenot (operating),science_agency,missing,,"Year absent from raw_rows, but extracted results contain a matching text row for this agency-year in 1985 proposal fi19840128.pdf without a defendable numeric total.",no,,1985 proposal fi19840128.pdf,reextract,,,,13220000.0
Finland,1986,Suomen Akatemia — toimintamenot (operating),science_agency,ok,,,,,,none,13220000.0,FIM,,0.0
Finland,1987,Suomen Akatemia — toimintamenot (operating),science_agency,missing,,"Year absent from raw_rows, but finland_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,1987 proposal fi19860110.pdf,reextract,,,13220000.0,0.0
Finland,1988,Suomen Akatemia — toimintamenot (operating),science_agency,missing,,"Year absent from raw_rows, but finland_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,1988 proposal fi19870050.pdf,reextract,,,13220000.0,0.0
Finland,1989,Suomen Akatemia — toimintamenot (operating),science_agency,ok,,,,,,none,0.0,FIM,13220000.0,124951000.0
Finland,1992,Suomen Akatemia — toimintamenot (operating),science_agency,missing,,"Year absent from raw_rows, but finland_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,1992 budget act Valtion tulo- ja menoarvio vuodelle 1992 _ 35_1992 _ Suomen säädöskokoelma _ Finlex.pdf,reextract,,,0.0,124951000.0
Finland,1993,Suomen Akatemia — toimintamenot (operating),science_agency,missing,,"Year absent from raw_rows, but finland_docx_results.csv already has extracted rows for this year. The missing agency likely reflects coverage/matching limits in the extracted results rather than an unparsed document.",no,,1993 proposal fi19920122.pdf,reextract,,,0.0,124951000.0
Finland,1996,Suomen Akatemia — toimintamenot (operating),science_agency,ok,,,,,,none,124951000.0,FIM,0.0,599000.0
Finland,1997,Suomen Akatemia — toimintamenot (operating),science_agency,ok,,,,,,none,599000.0,FIM,124951000.0,578000.0
Finland,1998,Suomen Akatemia — toimintamenot (operating),science_agency,ok,,,,,,none,578000.0,FIM,599000.0,63933000.0
Finland,1999,Suomen Akatemia — toimintamenot (operating),science_agency,ok,,,,,,none,63933000.0,FIM,578000.0,139800000.0
Finland,2000,Suomen Akatemia — toimintamenot (operating),science_agency,ok,,,,,,none,139800000.0,FIM,63933000.0,143748000.0
Finland,2001,Suomen Akatemia — toimintamenot (operating),science_agency,ok,,,,,,none,143748000.0,FIM,139800000.0,26131000.0
Finland,2002,Suomen Akatemia — toimintamenot (operating),science_agency,ok,,,,,,none,26131000.0,EUR,143748000.0,0.0
Finland,2003,Suomen Akatemia — toimintamenot (operating),science_agency,ok,,,,,,none,0.0,EUR,26131000.0,31333000.0
Finland,2004,Suomen Akatemia — toimintamenot (operating),science_agency,ok,,,,,,none,31333000.0,EUR,0.0,31440000.0
Finland,2005,Suomen Akatemia — toimintamenot (operating),science_agency,ok,,,,,,none,31440000.0,EUR,31333000.0,31827000.0
