country,year,canonical_name,gap_type,action,series_amount,prev_amount,next_amount,diagnosis,verdict,correct_amount_local,correct_unit,preferred_source_files,evidence_page,confidence,reason
Finland,1996,Suomen Akatemia — toimintamenot (operating),outlier,verify,124951000.0,0.0,599000.0,"Amount 124,951,000 outside expected range [-78,393,000 – 104,524,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,124951000.0,unit,"[""1996 proposal fi19950072.pdf""]",234,1.0,"The amount of 124,951,000 is explicitly stated in the source document as the approved budget for the agency's operating costs for 1996."
Finland,2000,Suomen Akatemia — toimintamenot (operating),outlier,verify,139800000.0,63933000.0,143748000.0,"Amount 139,800,000 outside expected range [-78,393,000 – 104,524,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,139800000.0,unit,"[""2000 proposal budget bill fi19990040.pdf""]",265,1.0,"The current annual total of 139,800,000 is directly supported by the source document, which confirms this amount as the operating costs of the Academy of Finland."
Finland,2001,Suomen Akatemia — toimintamenot (operating),outlier,verify,143748000.0,139800000.0,26131000.0,"Amount 143,748,000 outside expected range [-78,393,000 – 104,524,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,143748000.0,unit,"[""2001 proposal budget bill draft.pdf""]",283,1.0,"The current annual total of 143,748,000 is directly supported by the source document, which confirms this amount as the net funding for the operating costs of the Academy of Finland."
Finland,1987,VTT (Technical Research Centre of Finland),outlier,verify,567000000.0,169941000.0,383600000.0,"Amount 567,000,000 outside expected range [-230,895,000 – 470,568,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,567000000.0,unit,"[""1987 proposal fi19860110.pdf""]",31,0.9,"The amount of 567,000,000 is directly supported by the source document row indicating it as the operating costs of the Technical Research Centre of Finland."
Finland,1992,VTT (Technical Research Centre of Finland),outlier,verify,570000000.0,358450000.0,531000000.0,"Amount 570,000,000 outside expected range [-230,895,000 – 470,568,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,570000000.0,unit,"[""1992 proposal fi19910057.pdf""]",121,0.9,"The current annual total of 570,000,000 is directly supported by the source document row indicating operating expenses for the Technical Research Centre of Finland."
Finland,1993,VTT (Technical Research Centre of Finland),outlier,verify,531000000.0,570000000.0,169941000.0,"Amount 531,000,000 outside expected range [-230,895,000 – 470,568,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,531000000.0,unit,"[""1993 proposal fi19920122.pdf""]",107,1.0,"The current annual total of 531,000,000 is directly supported by the source document row indicating operating costs for the Technical Research Centre of Finland."
Finland,1989,GTK (Geological Survey of Finland),outlier,verify,169941000.0,15000000.0,124817000.0,"Amount 169,941,000 outside expected range [-16,040,000 – 98,130,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",correct,15000000.0,unit,"[""1989 proposal fi19880104.pdf""]",600,0.9,"The current total of 169,941,000 is inconsistent with the previous year's total of 15,000,000 and the next year's total of 124,817,000. The evidence suggests that the correct amount for GTK in 1989 should be 15,000,000 based on the context of the document snippets."
Finland,1992,GTK (Geological Survey of Finland),outlier,verify,124817000.0,169941000.0,183830000.0,"Amount 124,817,000 outside expected range [-16,040,000 – 98,130,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,124817000.0,unit,"[""1992 proposal fi19910057.pdf""]",390,1.0,"The current annual total of 124,817,000 is directly supported by the source document row, which states this amount is allocated for the operating costs of the Geological Survey of Finland."
Finland,1993,GTK (Geological Survey of Finland),outlier,verify,183830000.0,124817000.0,223212000.0,"Amount 183,830,000 outside expected range [-16,040,000 – 98,130,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,183830000.0,unit,"[""1993 proposal fi19920122.pdf""]",248.0,1.0,"The current annual total of 183,830,000 is verified against the original Finland budget file, making it a reliable figure."
Finland,1996,GTK (Geological Survey of Finland),outlier,verify,223212000.0,183830000.0,25000000.0,"Amount 223,212,000 outside expected range [-16,040,000 – 98,130,000] (IQR × 3.0). Possible current/prior year confusion or unit error.",keep,223212000.0,unit,"[""1996 proposal fi19950072.pdf""]",68,0.9,"The current annual total of 223,212,000 is directly supported by the source document row indicating operating costs for GTK in 1996."
