country,year,canonical_name,verdict,old_rows,old_amounts,review_amount,review_unit,preferred_source_files,reason,confidence,applied,skip_reason,match_reason
Finland,1996,Suomen Akatemia — toimintamenot (operating),keep,1,124951000.0,124951000.0,unit,"[""1996 proposal fi19950072.pdf""]","The amount of 124,951,000 is explicitly stated in the source document as the approved budget for the agency's operating costs for 1996.",1.0,False,verdict_not_actionable,
Finland,2000,Suomen Akatemia — toimintamenot (operating),keep,1,139800000.0,139800000.0,unit,"[""2000 proposal budget bill fi19990040.pdf""]","The current annual total of 139,800,000 is directly supported by the source document, which confirms this amount as the operating costs of the Academy of Finland.",1.0,False,verdict_not_actionable,
Finland,2001,Suomen Akatemia — toimintamenot (operating),keep,1,143748000.0,143748000.0,unit,"[""2001 proposal budget bill draft.pdf""]","The current annual total of 143,748,000 is directly supported by the source document, which confirms this amount as the net funding for the operating costs of the Academy of Finland.",1.0,False,verdict_not_actionable,
Finland,1987,VTT (Technical Research Centre of Finland),keep,1,567000000.0,567000000.0,unit,"[""1987 proposal fi19860110.pdf""]","The amount of 567,000,000 is directly supported by the source document row indicating it as the operating costs of the Technical Research Centre of Finland.",0.9,False,verdict_not_actionable,
Finland,1992,VTT (Technical Research Centre of Finland),keep,1,570000000.0,570000000.0,unit,"[""1992 proposal fi19910057.pdf""]","The current annual total of 570,000,000 is directly supported by the source document row indicating operating expenses for the Technical Research Centre of Finland.",0.9,False,verdict_not_actionable,
Finland,1993,VTT (Technical Research Centre of Finland),keep,1,531000000.0,531000000.0,unit,"[""1993 proposal fi19920122.pdf""]","The current annual total of 531,000,000 is directly supported by the source document row indicating operating costs for the Technical Research Centre of Finland.",1.0,False,verdict_not_actionable,
Finland,1989,GTK (Geological Survey of Finland),correct,1,169941000.0,15000000.0,unit,"[""1989 proposal fi19880104.pdf""]","The current total of 169,941,000 is inconsistent with the previous year's total of 15,000,000 and the next year's total of 124,817,000. The evidence suggests that the correct amount for GTK in 1989 should be 15,000,000 based on the context of the document snippets.",0.9,False,no_exact_source_match,no_exact_source_match
Finland,1992,GTK (Geological Survey of Finland),keep,1,124817000.0,124817000.0,unit,"[""1992 proposal fi19910057.pdf""]","The current annual total of 124,817,000 is directly supported by the source document row, which states this amount is allocated for the operating costs of the Geological Survey of Finland.",1.0,False,verdict_not_actionable,
Finland,1993,GTK (Geological Survey of Finland),keep,1,183830000.0,183830000.0,unit,"[""1993 proposal fi19920122.pdf""]","The current annual total of 183,830,000 is verified against the original Finland budget file, making it a reliable figure.",1.0,False,verdict_not_actionable,
Finland,1996,GTK (Geological Survey of Finland),keep,1,223212000.0,223212000.0,unit,"[""1996 proposal fi19950072.pdf""]","The current annual total of 223,212,000 is directly supported by the source document row indicating operating costs for GTK in 1996.",0.9,False,verdict_not_actionable,
Finland,1999,GTK (Geological Survey of Finland),keep,1,210877000.0,210877000.0,unit,"[""1999 proposal fi19980105.pdf""]","The amount of 210,877,000 FIM is verified against the original Finland budget file and is explicitly stated in the document snippet.",1.0,False,verdict_not_actionable,
Finland,2000,GTK (Geological Survey of Finland),keep,1,212450000.0,212450000.0,unit,"[""2000 proposal budget bill fi19990040.pdf""]","The amount of 212,450,000 is explicitly stated in the source document as the net appropriation for the Geological Survey of Finland, confirming its correctness.",1.0,False,verdict_not_actionable,
Finland,2001,GTK (Geological Survey of Finland),keep,1,215747000.0,215747000.0,unit,"[""2001 proposal budget bill draft.pdf""]","The current annual total of 215,747,000 is directly supported by the source document, which lists this amount as the verified budget for GTK in 2001.",1.0,False,verdict_not_actionable,
Finland,1987,Luke / MTT / Metla / RKTL (natural resources research),keep,1,105358000.0,105358000.0,unit,"[""1987 proposal fi19860110.pdf""]","The current annual total of 105,358,000 is directly supported by the source document row, which lists the same amount for the agency in question.",0.9,False,verdict_not_actionable,
Finland,1989,Luke / MTT / Metla / RKTL (natural resources research),keep,1,69768000.0,69768000.0,FIM,"[""1989 proposal fi19880104.pdf""]","The amount of 69,768,000 FIM is explicitly stated in the source document as the budget for the agency, confirming the current annual total.",1.0,False,verdict_not_actionable,
