canonical_name,category,year,source_file,entity_raw,amount_current,section_name,table_index,row_index,in_series
ANR (Agence Nationale de la Recherche),science_agency,2007,JORF_2007.pdf,"produit de la contribution mentionnée à l'article 235 ter ZC du code général des impôts perçu en 2007 est affecté, dans la limite de 955 millions d'euros, à l'Agence nationale de la recherche à hauteur de 86,4 %",826320.0,National Research Agency,0,3,True
Agricultural research and higher education,higher_education,2008,JORF_2008.pdf,Agricultural research and higher education,278000.0,Multidisciplinary Scientific and Technological Research,0,14,True
BRGM (Bureau de Recherches Géologiques et Minières),science_agency,1978,JORF_1978.pdf,BRGM appropriation,15800.0,BRGM (Bureau de Recherches Géologiques et Minières),0,10,True
BRGM (Bureau de Recherches Géologiques et Minières),science_agency,1978,JORF_1978.pdf,BRGM evaluation,12500.0,BRGM (Bureau de Recherches Géologiques et Minières),0,11,True
BRGM (Bureau de Recherches Géologiques et Minières),science_agency,1978,JORF_1978.pdf,BRGM total,435300.0,BRGM (Bureau de Recherches Géologiques et Minières),0,12,True
CEA (Commissariat à l'Énergie Atomique),science_agency,1984,JORF_1984.pdf,Crédits de paiement pour le CEA,4000.0,Atomic Energy Commission,0,30,True
CEA (Commissariat à l'Énergie Atomique),science_agency,1987,JORF_1987.pdf,Commissariat à l'énergie atomique,1628000.0,Atomic Energy Commission,0,91,True
CEA (Commissariat à l'Énergie Atomique),science_agency,1988,JORF_1988.pdf,Commissariat à l'énergie atomique,1633780.0,RESEARCH AND HIGHER EDUCATION,0,116,True
CEA (Commissariat à l'Énergie Atomique),science_agency,1988,JORF_1988.pdf,Commissariat à l'énergie atomique,3022000.0,Atomic Energy Commission,0,128,True
CEA (Commissariat à l'Énergie Atomique),science_agency,1988,JORF_1988.pdf,Commissariat à l'énergie atomique,561000.0,Atomic Energy Commission,0,129,True
CEA (Commissariat à l'Énergie Atomique),science_agency,1994,JORF_1994.pdf,Commissariat à l'énergie atomique,3512532.433,Atomic Energy Commission,0,163,True
CEA (Commissariat à l'Énergie Atomique),science_agency,1994,JORF_1994.pdf,Commissariat à l'énergie atomique,3477513.6,Atomic Energy Commission,0,164,True
CNES (Centre National d'Études Spatiales),science_agency,1986,JORF_1986.pdf,Centre national d'études spatiales,637524.095,CNES (Centre National d'Études Spatiales),0,79,True
CNES (Centre National d'Études Spatiales),science_agency,1987,JORF_1987.pdf,Centre national d'études spatiales,646170.095,National Center for Space Studies,0,92,True
CNES (Centre National d'Études Spatiales),science_agency,1988,JORF_1988.pdf,Centre national d'études spatiales,261000.0,CNES (Centre National d'Études Spatiales),0,136,True
CNES (Centre National d'Études Spatiales),science_agency,1994,JORF_1994.pdf,Centre national d'études spatiales,850374.925,National Center for Space Studies,0,159,True
CNRS (Centre National de la Recherche Scientifique),science_agency,1984,JORF_1984.pdf,Crédits de paiement pour le CNRS,5000.0,National Center for Scientific Research,0,28,False
CNRS (Centre National de la Recherche Scientifique),science_agency,1986,JORF_1986.pdf,Centre national de la recherche scientifique et instituts nationaux,2020165.0,National Center for Scientific Research and National Institutes,0,61,False
CNRS (Centre National de la Recherche Scientifique),science_agency,1987,JORF_1987.pdf,Centre national de la recherche scientifique et instituts nationaux,104248.913,National Center for Scientific Research,0,93,False
CNRS (Centre National de la Recherche Scientifique),science_agency,1987,JORF_1987.pdf,Centre national de la recherche scientifique et instituts nationaux,2070000.0,National Center for Scientific Research and National Institutes,0,98,False
CNRS (Centre National de la Recherche Scientifique),science_agency,1988,JORF_1988.pdf,Centre national de la recherche scientifique et instituts nationaux,6753542.773,RESEARCH AND HIGHER EDUCATION,0,114,False
CNRS (Centre National de la Recherche Scientifique),science_agency,1988,JORF_1988.pdf,Centre national de la recherche scientifique et instituts nationaux,2131000.0,National Center for Scientific Research and National Institutes,0,123,False
CNRS (Centre National de la Recherche Scientifique),science_agency,1994,JORF_1994.pdf,Centre national de la recherche scientifique et instituts nationaux,9625687.454,National Center for Scientific Research and National Institutes,0,155,False
Cultural Research and Scientific Culture,rd_programme,2008,JORF_2008.pdf,Cultural research and scientific culture,159000.0,Multidisciplinary Scientific and Technological Research,0,13,True
Cultural Research and Scientific Culture,rd_programme,2009,JORF_2009.pdf,Cultural research and scientific culture,159805.909,Cultural Research and Scientific Culture,0,24,True
Cultural Research and Scientific Culture,rd_programme,2009,JORF_2009.pdf,Recherche culturelle et culture scientifique,157255.909,Research and Higher Education,0,87,True
Cultural Research and Scientific Culture,rd_programme,2011,JORF_2011.pdf,Total for cultural research and scientific culture,125000.0,Cultural Research and Scientific Culture,0,37,True
Cultural Research and Scientific Culture,rd_programme,2014,JORF_2014.pdf,Recherche culturelle et culture scientifique,114539.698,Research and Higher Education,0,96,True
Cultural Research and Scientific Culture,rd_programme,2015,JORF_2015.pdf,Recherche culturelle et culture scientifique,117233.198,Research and Higher Education,0,101,True
Cultural Research and Scientific Culture,rd_programme,2016,JORF_2016.pdf,Recherche culturelle et culture scientifique,122147.698,Research and Higher Education,0,108,True
Cultural Research and Scientific Culture,rd_programme,2017,JORF_2017.pdf,Recherche culturelle et culture scientifique,116570.698,Research and Higher Education,0,115,True
French Agency for Energy Management,science_agency,1988,JORF_1988.pdf,Agence française pour la maîtrise de l'énergie,248750.0,French Agency for Energy Management,0,130,True
Higher Education and Agricultural Research,rd_programme,2009,JORF_2009.pdf,Enseignement supérieur et recherche agricoles,296732.542,Research and Higher Education,0,88,True
Higher Education and Agricultural Research,rd_programme,2011,JORF_2011.pdf,Total for higher education and agricultural research,298000.0,Higher Education and Agricultural Research,0,38,True
Higher Education and Agricultural Research,rd_programme,2014,JORF_2014.pdf,Enseignement supérieur et recherche agricoles,312006.931,Research and Higher Education,0,97,True
Higher Education and Agricultural Research,rd_programme,2015,JORF_2015.pdf,Enseignement supérieur et recherche agricoles,329442.176,Research and Higher Education,0,102,True
Higher Education and Agricultural Research,rd_programme,2016,JORF_2016.pdf,Enseignement supérieur et recherche agricoles,330927.317,Research and Higher Education,0,109,True
Higher Education and Agricultural Research,rd_programme,2017,JORF_2017.pdf,Enseignement supérieur et recherche agricoles,339670.121,Research and Higher Education,0,116,True
IFREMER (Institut Français de Recherche pour l'Exploitation de la Mer),science_agency,1986,JORF_1986.pdf,"Taxe perçue pour financer la participation de l'IFREMER aux études, analyses et contrôles de qualité sur les fabrications des conserves et semi-conserves de poissons",498000.0,IFREMER (Institut Français de Recherche pour l'Exploitation de la Mer),0,80,True
IFREMER (Institut Français de Recherche pour l'Exploitation de la Mer),science_agency,1987,JORF_1987.pdf,Institut français de recherche pour l'exploitation de la mer,506000.0,French Institute for Research in Exploitation of the Sea,0,97,True
IFREMER (Institut Français de Recherche pour l'Exploitation de la Mer),science_agency,1988,JORF_1988.pdf,Institut français de recherche pour l'exploitation de la mer,325677.429,RESEARCH AND HIGHER EDUCATION,0,113,True
