country,year,item_type,section_code,section_name,section_name_en,line_code,line_description,line_description_en,amount_local,unit,currency,rd_category,decision,confidence,source_file,page_number,llm_model,extraction_pass,notes,cleaning_notes,aggregation_role,dedup_notes,temporal_flag
France,1970,program_total,Développement industriel et scientifique,Développement industriel et scientifique,Industrial and Scientific Development,,Crédits de paiement pour le développement industriel et scientifique,Payment credits for industrial and scientific development,204150.0,thousand,FRF,direct_rd,include,1.0,JORF_1970.pdf,32,gpt-4o-mini,extract,,,,,
France,1970,line_item,56-30,Services du Premier ministre,Prime Minister's Services,,Contrats pour le développement des résultats de la recherche,Contracts for the development of research results,12000.0,thousand,FRF,direct_rd,include,1.0,JORF_1970.pdf,55,gpt-4o-mini,extract,,,,,
France,1970,line_item,56-10,Services du Premier ministre,Prime Minister's Services,,Subvention au commissariat à l’énergie atomique,Subsidy to the Atomic Energy Commission,30000.0,thousand,FRF,science_agency,include,1.0,JORF_1970.pdf,55,gpt-4o-mini,extract,,,,,
France,1972,line_item,Développement industriel et scientifique,Développement industriel et scientifique,Industrial and Scientific Development,,Développement industriel et scientifique,Industrial and Scientific Development,210590.0,thousand,FRF,unclear,include,1.0,JORF_1972.pdf,24,gpt-4o-mini,extract,,,,,
France,1972,line_item,Recherche,Recherche,Research,,Subvention pour la recherche en socio-économie,Subsidy for research in socio-economics,0.0,thousand,FRF,unclear,review,0.5,JORF_1972.pdf,43,gpt-4o-mini,extract,Relevant to research but not strictly R&D.,,,,
France,1973,program_total,Recherche,Recherche,Research,,Développement industriel et scientifique,Industrial and scientific development,366947.808,thousand,FRF,direct_rd,include,1.0,JORF_1973.pdf,22,gpt-4o-mini,extract,,,,,
France,1974,line_item,Développement industriel et scientifique,Développement industriel et scientifique,Industrial and Scientific Development,,Développement industriel et scientifique,Industrial and Scientific Development,3178330.0,thousand,FRF,direct_rd,include,1.0,JORF_1974.pdf,24,gpt-4o-mini,extract,,,,,
France,1977,program_total,Ministère de la Recherche,Ministère de la Recherche,Ministry of Research,,Industrie et recherche,Industry and Research,22238.0,thousand,FRF,direct_rd,include,1.0,JORF_1977.pdf,25,gpt-4o-mini,extract,,,,,
France,1977,line_item,Ministère de la Recherche,Ministère de la Recherche,Ministry of Research,,Crédits de paiement pour la recherche,Payment credits for research,22338.0,thousand,FRF,direct_rd,include,1.0,JORF_1977.pdf,25,gpt-4o-mini,extract,,,,,
France,1977,program_total,Universités,Universités,Universities,,Crédits de paiement pour les universités,Payment credits for universities,895448.0,thousand,FRF,higher_education,include,1.0,JORF_1977.pdf,25,gpt-4o-mini,extract,,,,,
France,1978,program_total,Universités,Universités,Universities,,Crédits de paiement pour les Universités,Payment credits for Universities,845351.0,thousand,FRF,higher_education,review,0.8,JORF_1978.pdf,31,gpt-4o-mini,extract,Includes both research and teaching components,,,,
France,1978,program_total,VI,Recherche,Research,,Crédits de paiement pour la recherche,Payment credits for research,298475.0,thousand,FRF,direct_rd,include,1.0,JORF_1978.pdf,31,gpt-4o-mini,extract,,,,,
France,1978,line_item,VI,Recherche,Research,,Recherche,Research,1020.0,thousand,FRF,direct_rd,include,1.0,JORF_1978.pdf,31,gpt-4o-mini,extract,,,,,
France,1978,line_item,,BRGM (Bureau de Recherches Géologiques et Minières),BRGM (Bureau de Recherches Géologiques et Minières),,BRGM appropriation,BRGM appropriation,15800.0,thousand,EUR,science_agency,include,1.0,JORF_1978.pdf,45,gpt-4o-mini,targeted_recovery,Amount directly associated with BRGM.,,,,
France,1978,line_item,,BRGM (Bureau de Recherches Géologiques et Minières),BRGM (Bureau de Recherches Géologiques et Minières),,BRGM evaluation,BRGM evaluation,12500.0,thousand,EUR,science_agency,include,1.0,JORF_1978.pdf,45,gpt-4o-mini,targeted_recovery,Amount directly associated with BRGM evaluation for 1978.,,,,
France,1978,line_item,,BRGM (Bureau de Recherches Géologiques et Minières),BRGM (Bureau de Recherches Géologiques et Minières),,BRGM total,BRGM total,435300.0,thousand,EUR,science_agency,include,1.0,JORF_1978.pdf,45,gpt-4o-mini,targeted_recovery,Total amount for BRGM.,,,,
France,1979,line_item,Universités,Universités,Universities,,Subventions de recherche scientifique,Grants for scientific research,3755.0,thousand,FRF,higher_education,include,1.0,JORF_1979.pdf,69,gpt-4o-mini,extract,,,,,
France,1979,line_item,Universités,Universités,Universities,,Subventions de fonctionnement pour la recherche scientifique,Operating grants for scientific research,270000.0,thousand,FRF,higher_education,include,1.0,JORF_1979.pdf,69,gpt-4o-mini,extract,,,,,
France,1979,line_item,Universités,Universités,Universities,,Subventions d’équipement à la recherche médicale.,Subsidies for medical research equipment.,5000.0,thousand,FRF,direct_rd,include,1.0,JORF_1979.pdf,72,gpt-4o-mini,extract,,,,,
France,1979,section_total,Universités,Universités,Universities,,Totaux pour les universités.,Totals for universities.,204620.0,thousand,FRF,higher_education,review,1.0,JORF_1979.pdf,72,gpt-4o-mini,extract,,"[section_total: aggregate, not individual programme]",redundant,,
France,1981,program_total,Universités,Universités,Universities,,Total net des crédits,Total net of credits,510764.298,thousand,FRF,higher_education,include,1.0,JORF_1981.pdf,102,gpt-4o-mini,extract,,,,,
France,1981,section_total,Recherche,Services du Premier Ministre. — Recherche,Prime Minister's Services — Research,,Total net des crédits,Total net of credits,18930.89,thousand,FRF,science_agency,review,1.0,JORF_1981.pdf,70,gpt-4o-mini,extract,,"[section_total: aggregate, not individual programme]",redundant,,
France,1981,line_item,Recherche,Services du Premier Ministre. — Recherche,Prime Minister's Services — Research,,Prélèvement sur le fonds d’amortissement pour couvrir les dépenses de gros entretien des installations industrielles,Withdrawal from the amortization fund to cover major maintenance expenses of industrial facilities,35500.0,thousand,FRF,unclear,review,0.5,JORF_1981.pdf,70,gpt-4o-mini,extract,Ambiguous if directly related to R&D,,,,
France,1981,program_total,Universités,Universités,Universities,,Total net des crédits,Total net of credits,1285472.719,thousand,FRF,higher_education,include,1.0,JORF_1981.pdf,72,gpt-4o-mini,extract,,,,,
France,1981,section_total,Premier Ministre,Services du Premier ministre. — Recherche,Prime Minister's Office. — Research,,Total net des crédits,Total net of credits,120093.0,thousand,FRF,science_agency,review,1.0,JORF_1981.pdf,84,gpt-4o-mini,extract,,"[section_total: aggregate, not individual programme]",redundant,,
France,1982,program_total,Recherche et technologie,Recherche et technologie,Research and Technology,,Crédits de paiement pour la recherche et technologie,Payment credits for research and technology,5611.994,thousand,FRF,direct_rd,include,1.0,JORF_1982.pdf,35,gpt-4o-mini,extract,,,,,
France,1982,line_item,Recherche et technologie,Recherche et technologie,Research and Technology,,Crédits de paiement pour la recherche et technologie,Payment credits for research and technology,5600.244,thousand,FRF,direct_rd,include,1.0,JORF_1982.pdf,35,gpt-4o-mini,extract,,,,,
France,1983,line_item,Recherche,Recherche,Research,,Crédits de paiement pour la recherche scientifique et technique,Payment credits for scientific and technical research,2012990.279,thousand,FRF,direct_rd,include,1.0,JORF_1983.pdf,32,gpt-4o-mini,extract,,,,,
France,1983,program_total,Recherche,Recherche,Research,,Total budget for Research,Total budget for Research,2012990.279,thousand,FRF,science_agency,review,1.0,JORF_1983.pdf,32,gpt-4o-mini,extract,,[mission_total: aggregate of sub-programmes][bilingual_duplicate: English translation of French programme total],redundant,,
France,1983,section_total,Recherche et Industrie,Recherche et Industrie,Research and Industry,,Total budget for Research and Industry,Total budget for Research and Industry,2111643.81,thousand,FRF,science_agency,review,1.0,JORF_1983.pdf,32,gpt-4o-mini,extract,,"[mission_total: aggregate of sub-programmes][section_total: aggregate, not individual programme][bilingual_duplicate: English translation of French programme total]",redundant,,
France,1984,line_item,CEA,Commissariat à l'Énergie Atomique,Atomic Energy Commission,,Crédits de paiement pour le CEA,Payment credits for CEA,4000.0,thousand,FRF,science_agency,include,1.0,JORF_1984.pdf,35,gpt-4o-mini,extract,,,,,
France,1984,line_item,CNRS,Centre National de la Recherche Scientifique,National Center for Scientific Research,,Crédits de paiement pour le CNRS,Payment credits for CNRS,5000.0,thousand,FRF,science_agency,include,1.0,JORF_1984.pdf,35,gpt-4o-mini,extract,,,,,
France,1984,line_item,INRIA,Institut National de Recherche en Informatique et en Automatique,National Institute for Research in Computer Science and Automation,,Crédits de paiement pour l'INRIA,Payment credits for INRIA,2000.0,thousand,FRF,science_agency,include,1.0,JORF_1984.pdf,35,gpt-4o-mini,extract,,,,,
